ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL C,1950,1930,1949,1,0,0,0,,22,0,0.0
JEL C,1950,1930,1949,5,0,0,0,,22,0,0.0
JEL C,1950,1930,1949,10,0,0,0,,22,0,0.0
JEL C,1951,1931,1950,1,24,1,24,1,29,0,0.0
JEL C,1951,1931,1950,5,24,2,24,1,29,0,0.0
JEL C,1951,1931,1950,10,24,3,24,1,29,0,0.0
JEL C,1952,1932,1951,1,55,1,1,2,51,0,0.0
JEL C,1952,1932,1951,5,55,3,55,1,51,7,0.137255
JEL C,1952,1932,1951,10,55,6,55,1,51,7,0.137255
JEL C,1953,1933,1952,1,110,2,9,2,46,2,0.043478
JEL C,1953,1933,1952,5,110,6,9,2,46,2,0.043478
JEL C,1953,1933,1952,10,110,11,110,1,46,10,0.217391
JEL C,1954,1934,1953,1,156,2,3,3,50,0,0.0
JEL C,1954,1934,1953,5,156,8,20,2,50,5,0.1
JEL C,1954,1934,1953,10,156,16,20,2,50,5,0.1
JEL C,1955,1935,1954,1,201,3,3,4,46,3,0.065217
JEL C,1955,1935,1954,5,201,11,36,2,46,8,0.173913
JEL C,1955,1935,1954,10,201,21,36,2,46,8,0.173913
JEL C,1956,1936,1955,1,248,3,3,5,36,1,0.027778
JEL C,1956,1936,1955,5,248,13,16,3,36,1,0.027778
JEL C,1956,1936,1955,10,248,25,47,2,36,5,0.138889
JEL C,1957,1937,1956,1,286,3,3,5,46,1,0.021739
JEL C,1957,1937,1956,5,286,15,20,3,46,6,0.130435
JEL C,1957,1937,1956,10,286,29,57,2,46,8,0.173913
JEL C,1958,1938,1957,1,330,4,4,5,47,0,0.0
JEL C,1958,1938,1957,5,330,17,22,3,47,2,0.042553
JEL C,1958,1938,1957,10,330,33,72,2,47,6,0.12766
JEL C,1959,1939,1958,1,371,4,5,5,64,4,0.0625
JEL C,1959,1939,1958,5,371,19,27,3,64,10,0.15625
JEL C,1959,1939,1958,10,371,38,88,2,64,16,0.25
JEL C,1960,1940,1959,1,429,5,5,6,72,4,0.055556
JEL C,1960,1940,1959,5,429,22,34,3,72,20,0.277778
JEL C,1960,1940,1959,10,429,43,108,2,72,26,0.361111
JEL C,1961,1941,1960,1,483,5,6,7,86,5,0.05814
JEL C,1961,1941,1960,5,483,25,44,3,86,16,0.186047
JEL C,1961,1941,1960,10,483,49,122,2,86,27,0.313953
JEL C,1962,1942,1961,1,549,6,8,7,76,6,0.078947
JEL C,1962,1942,1961,5,549,28,29,4,76,14,0.184211
JEL C,1962,1942,1961,10,549,55,58,3,76,19,0.25
JEL C,1963,1943,1962,1,617,7,8,8,57,1,0.017544
JEL C,1963,1943,1962,5,617,31,34,4,57,8,0.140351
JEL C,1963,1943,1962,10,617,62,78,3,57,11,0.192982
JEL C,1964,1944,1963,1,659,7,9,8,60,6,0.1
JEL C,1964,1944,1963,5,659,33,37,4,60,14,0.233333
JEL C,1964,1944,1963,10,659,66,82,3,60,16,0.266667
JEL C,1965,1945,1964,1,704,8,10,8,65,3,0.046154
JEL C,1965,1945,1964,5,704,36,39,4,65,16,0.246154
JEL C,1965,1945,1964,10,704,71,89,3,65,20,0.307692
JEL C,1966,1946,1965,1,756,8,12,8,74,2,0.027027
JEL C,1966,1946,1965,5,756,38,43,4,74,12,0.162162
JEL C,1966,1946,1965,10,756,76,96,3,74,16,0.216216
JEL C,1967,1947,1966,1,823,9,14,8,66,2,0.030303
JEL C,1967,1947,1966,5,823,42,48,4,66,7,0.106061
JEL C,1967,1947,1966,10,823,83,105,3,66,12,0.181818
JEL C,1968,1948,1967,1,884,9,14,8,68,3,0.044118
JEL C,1968,1948,1967,5,884,45,54,4,68,9,0.132353
JEL C,1968,1948,1967,10,884,89,115,3,68,14,0.205882
JEL C,1969,1949,1968,1,954,10,14,8,96,8,0.083333
JEL C,1969,1949,1968,5,954,48,60,4,96,18,0.1875
JEL C,1969,1949,1968,10,954,96,123,3,96,21,0.21875
JEL C,1970,1950,1969,1,1033,11,15,8,102,5,0.04902
JEL C,1970,1950,1969,5,1033,52,65,4,102,13,0.127451
JEL C,1970,1950,1969,10,1033,104,142,3,102,18,0.176471
JEL C,1971,1951,1970,1,1110,12,16,8,96,1,0.010417
JEL C,1971,1951,1970,5,1110,56,73,4,96,7,0.072917
JEL C,1971,1951,1970,10,1110,111,151,3,96,17,0.177083
JEL C,1972,1952,1971,1,1166,12,18,8,122,6,0.04918
JEL C,1972,1952,1971,5,1166,59,81,4,122,13,0.106557
JEL C,1972,1952,1971,10,1166,117,164,3,122,23,0.188525
JEL C,1973,1953,1972,1,1246,13,17,8,92,1,0.01087
JEL C,1973,1953,1972,5,1246,63,91,4,92,9,0.097826
JEL C,1973,1953,1972,10,1246,125,172,3,92,12,0.130435
JEL C,1974,1954,1973,1,1287,13,17,8,103,3,0.029126
JEL C,1974,1954,1973,5,1287,65,93,4,103,23,0.223301
JEL C,1974,1954,1973,10,1287,129,181,3,103,34,0.330097
JEL C,1975,1955,1974,1,1314,14,14,9,72,0,0.0
JEL C,1975,1955,1974,5,1314,66,104,4,72,8,0.111111
JEL C,1975,1955,1974,10,1314,132,189,3,72,13,0.180556
JEL C,1976,1956,1975,1,1339,14,15,9,117,3,0.025641
JEL C,1976,1956,1975,5,1339,67,103,4,117,14,0.119658
JEL C,1976,1956,1975,10,1339,134,192,3,117,25,0.213675
JEL C,1977,1957,1976,1,1398,14,14,9,117,1,0.008547
JEL C,1977,1957,1976,5,1398,70,108,4,117,22,0.188034
JEL C,1977,1957,1976,10,1398,140,207,3,117,30,0.25641
JEL C,1978,1958,1977,1,1457,15,23,8,120,4,0.033333
JEL C,1978,1958,1977,5,1457,73,110,4,120,17,0.141667
JEL C,1978,1958,1977,10,1457,146,214,3,120,27,0.225
JEL C,1979,1959,1978,1,1516,16,23,8,96,2,0.020833
JEL C,1979,1959,1978,5,1516,76,118,4,96,15,0.15625
JEL C,1979,1959,1978,10,1516,152,219,3,96,22,0.229167
JEL C,1980,1960,1979,1,1534,16,20,8,129,4,0.031008
JEL C,1980,1960,1979,5,1534,77,120,4,129,24,0.186047
JEL C,1980,1960,1979,10,1534,154,225,3,129,33,0.255814
JEL C,1981,1961,1980,1,1601,17,26,7,89,2,0.022472
JEL C,1981,1961,1980,5,1601,81,126,4,89,11,0.123596
JEL C,1981,1961,1980,10,1601,161,228,3,89,20,0.224719
JEL C,1982,1962,1981,1,1608,17,26,7,70,6,0.085714
JEL C,1982,1962,1981,5,1608,81,132,4,70,17,0.242857
JEL C,1982,1962,1981,10,1608,161,228,3,70,27,0.385714
JEL C,1983,1963,1982,1,1590,16,25,7,80,10,0.125
JEL C,1983,1963,1982,5,1590,80,84,5,80,13,0.1625
JEL C,1983,1963,1982,10,1590,159,223,3,80,26,0.325
JEL C,1984,1964,1983,1,1596,16,16,8,74,2,0.027027
JEL C,1984,1964,1983,5,1596,80,86,5,74,14,0.189189
JEL C,1984,1964,1983,10,1596,160,229,3,74,24,0.324324
JEL C,1985,1965,1984,1,1613,17,22,8,56,3,0.053571
