ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL C,1951,1931,1950,1,AFZ000292,Clark,Allen,1
JEL C,1951,1931,1950,1,AFZ002231,Karl,Brunner,1
JEL C,1951,1931,1950,1,AFZ004954,William,Fellner,1
JEL C,1951,1931,1950,1,AFZ004956,Rendigs,Fels,1
JEL C,1951,1931,1950,1,AFZ005717,Roy,Geary,1
JEL C,1951,1931,1950,1,AFZ006193,de,Graaff,1
JEL C,1951,1931,1950,1,AFZ006941,Arthur,Hazlewood,1
JEL C,1951,1931,1950,1,AFZ007494,H,Houthakker,1
JEL C,1951,1931,1950,1,AFZ007509,R,Howey,1
JEL C,1951,1931,1950,1,AFZ007727,Shinichi,Ichimura,1
JEL C,1951,1931,1950,1,AFZ010792,Julius,Margolis,1
JEL C,1951,1931,1950,1,AFZ011187,Lionel,McKenzie,1
JEL C,1951,1931,1950,1,AFZ012203,John,Nash,1
JEL C,1951,1931,1950,1,AFZ012364,A,Nichol,1
JEL C,1951,1931,1950,1,AFZ013367,Cecil,Phipps,1
JEL C,1951,1931,1950,1,AFZ014070,Olav,Reiersol,1
JEL C,1951,1931,1950,1,AFZ015479,G,Shackle,1
JEL C,1951,1931,1950,1,AFZ015754,T,Silcock,1
JEL C,1951,1931,1950,1,AFZ016088,Harold,Somers,1
JEL C,1951,1931,1950,1,AFZ016197,J,Spengler,1
JEL C,1951,1931,1950,1,AFZ016494,Paul,Streeten,1
JEL C,1951,1931,1950,1,AFZ017125,James,Tobie,1
JEL C,1951,1931,1950,1,AFZ018019,Frederick,Waugh,1
JEL C,1951,1931,1950,1,AFZ018547,Holbrook,Working,1
JEL C,1951,1931,1950,5,AFZ000292,Clark,Allen,1
JEL C,1951,1931,1950,5,AFZ002231,Karl,Brunner,1
JEL C,1951,1931,1950,5,AFZ004954,William,Fellner,1
JEL C,1951,1931,1950,5,AFZ004956,Rendigs,Fels,1
JEL C,1951,1931,1950,5,AFZ005717,Roy,Geary,1
JEL C,1951,1931,1950,5,AFZ006193,de,Graaff,1
JEL C,1951,1931,1950,5,AFZ006941,Arthur,Hazlewood,1
JEL C,1951,1931,1950,5,AFZ007494,H,Houthakker,1
JEL C,1951,1931,1950,5,AFZ007509,R,Howey,1
JEL C,1951,1931,1950,5,AFZ007727,Shinichi,Ichimura,1
JEL C,1951,1931,1950,5,AFZ010792,Julius,Margolis,1
JEL C,1951,1931,1950,5,AFZ011187,Lionel,McKenzie,1
JEL C,1951,1931,1950,5,AFZ012203,John,Nash,1
JEL C,1951,1931,1950,5,AFZ012364,A,Nichol,1
JEL C,1951,1931,1950,5,AFZ013367,Cecil,Phipps,1
JEL C,1951,1931,1950,5,AFZ014070,Olav,Reiersol,1
JEL C,1951,1931,1950,5,AFZ015479,G,Shackle,1
JEL C,1951,1931,1950,5,AFZ015754,T,Silcock,1
JEL C,1951,1931,1950,5,AFZ016088,Harold,Somers,1
JEL C,1951,1931,1950,5,AFZ016197,J,Spengler,1
JEL C,1951,1931,1950,5,AFZ016494,Paul,Streeten,1
JEL C,1951,1931,1950,5,AFZ017125,James,Tobie,1
JEL C,1951,1931,1950,5,AFZ018019,Frederick,Waugh,1
JEL C,1951,1931,1950,5,AFZ018547,Holbrook,Working,1
JEL C,1951,1931,1950,10,AFZ000292,Clark,Allen,1
JEL C,1951,1931,1950,10,AFZ002231,Karl,Brunner,1
JEL C,1951,1931,1950,10,AFZ004954,William,Fellner,1
JEL C,1951,1931,1950,10,AFZ004956,Rendigs,Fels,1
JEL C,1951,1931,1950,10,AFZ005717,Roy,Geary,1
JEL C,1951,1931,1950,10,AFZ006193,de,Graaff,1
JEL C,1951,1931,1950,10,AFZ006941,Arthur,Hazlewood,1
JEL C,1951,1931,1950,10,AFZ007494,H,Houthakker,1
JEL C,1951,1931,1950,10,AFZ007509,R,Howey,1
JEL C,1951,1931,1950,10,AFZ007727,Shinichi,Ichimura,1
JEL C,1951,1931,1950,10,AFZ010792,Julius,Margolis,1
JEL C,1951,1931,1950,10,AFZ011187,Lionel,McKenzie,1
JEL C,1951,1931,1950,10,AFZ012203,John,Nash,1
JEL C,1951,1931,1950,10,AFZ012364,A,Nichol,1
JEL C,1951,1931,1950,10,AFZ013367,Cecil,Phipps,1
JEL C,1951,1931,1950,10,AFZ014070,Olav,Reiersol,1
JEL C,1951,1931,1950,10,AFZ015479,G,Shackle,1
JEL C,1951,1931,1950,10,AFZ015754,T,Silcock,1
JEL C,1951,1931,1950,10,AFZ016088,Harold,Somers,1
JEL C,1951,1931,1950,10,AFZ016197,J,Spengler,1
JEL C,1951,1931,1950,10,AFZ016494,Paul,Streeten,1
JEL C,1951,1931,1950,10,AFZ017125,James,Tobie,1
JEL C,1951,1931,1950,10,AFZ018019,Frederick,Waugh,1
JEL C,1951,1931,1950,10,AFZ018547,Holbrook,Working,1
JEL C,1952,1932,1951,1,AFZ008994,Tjalling,Koopmans,2
JEL C,1952,1932,1951,5,AFZ008994,Tjalling,Koopmans,2
JEL C,1952,1932,1951,5,AFZ000292,Clark,Allen,1
JEL C,1952,1932,1951,5,AFZ000437,T,Anderson,1
JEL C,1952,1932,1951,5,AFZ002065,Hans,Brems,1
JEL C,1952,1932,1951,5,AFZ002133,M,Bronfenbrenner,1
JEL C,1952,1932,1951,5,AFZ002231,Karl,Brunner,1
JEL C,1952,1932,1951,5,AFZ002480,Burgess,Cameron,1
JEL C,1952,1932,1951,5,AFZ003113,C,Christenson,1
JEL C,1952,1932,1951,5,AFZ004954,William,Fellner,1
JEL C,1952,1932,1951,5,AFZ004956,Rendigs,Fels,1
JEL C,1952,1932,1951,5,AFZ005422,Ragnar,Frisch,1
JEL C,1952,1932,1951,5,AFZ005717,Roy,Geary,1
JEL C,1952,1932,1951,5,AFZ006193,de,Graaff,1
JEL C,1952,1932,1951,5,AFZ006581,Everett,Hagen,1
JEL C,1952,1932,1951,5,AFZ006833,Albert,Hart,1
JEL C,1952,1932,1951,5,AFZ006910,Murray,Havens,1
JEL C,1952,1932,1951,5,AFZ006941,Arthur,Hazlewood,1
JEL C,1952,1932,1951,5,AFZ007265,Werner,Hirsch,1
JEL C,1952,1932,1951,5,AFZ007377,Julian,Holley,1
JEL C,1952,1932,1951,5,AFZ007494,H,Houthakker,1
JEL C,1952,1932,1951,5,AFZ007509,R,Howey,1
JEL C,1952,1932,1951,5,AFZ007727,Shinichi,Ichimura,1
JEL C,1952,1932,1951,5,AFZ007824,Walter,Isard,1
JEL C,1952,1932,1951,5,AFZ007954,Shoba,James,1
JEL C,1952,1932,1951,5,AFZ008015,Henry,Jenkins,1
JEL C,1952,1932,1951,5,AFZ008124,Harry,Johnson,1
JEL C,1952,1932,1951,5,AFZ008812,Lawrence,Klein,1
JEL C,1952,1932,1951,5,AFZ009061,Frank,Kottke,1
JEL C,1952,1932,1951,5,AFZ010733,Allan,Manne,1
JEL C,1952,1932,1951,5,AFZ010792,Julius,Margolis,1
JEL C,1952,1932,1951,5,AFZ011187,Lionel,McKenzie,1
JEL C,1952,1932,1951,5,AFZ011917,T,Motzkin,1
