publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,24,24,1.0,22,22,1.0
1951,31,31,1.0,29,29,1.0
1952,55,62,0.887097,44,51,0.862745
1953,46,56,0.821429,39,46,0.847826
1954,45,64,0.703125,38,50,0.76
1955,47,66,0.712121,33,46,0.717391
1956,38,53,0.716981,30,36,0.833333
1957,44,65,0.676923,33,46,0.717391
1958,41,60,0.683333,35,47,0.744681
1959,58,88,0.659091,47,64,0.734375
1960,54,88,0.613636,44,72,0.611111
1961,66,109,0.605505,52,86,0.604651
1962,68,117,0.581197,53,76,0.697368
1963,42,67,0.626866,40,57,0.701754
1964,45,81,0.555556,34,60,0.566667
1965,52,88,0.590909,43,65,0.661538
1966,67,99,0.676768,55,74,0.743243
1967,61,98,0.622449,46,66,0.69697
1968,70,105,0.666667,48,68,0.705882
1969,79,130,0.607692,60,96,0.625
1970,90,137,0.656934,78,102,0.764706
1971,73,125,0.584,64,96,0.666667
1972,112,170,0.658824,91,122,0.745902
1973,68,114,0.596491,59,92,0.641304
1974,65,129,0.503876,54,103,0.524272
1975,58,98,0.591837,49,72,0.680556
1976,89,154,0.577922,76,117,0.649573
1977,97,167,0.580838,77,117,0.65812
1978,86,151,0.569536,71,120,0.591667
1979,66,130,0.507692,51,96,0.53125
1980,105,173,0.606936,88,129,0.682171
1981,64,118,0.542373,53,89,0.595506
1982,45,92,0.48913,36,70,0.514286
1983,43,106,0.40566,36,80,0.45
1984,63,102,0.617647,55,74,0.743243
1985,33,74,0.445946,28,56,0.5
1986,53,100,0.53,45,78,0.576923
1987,65,121,0.53719,54,82,0.658537
1988,40,80,0.5,32,55,0.581818
1989,39,95,0.410526,34,58,0.586207
1990,53,106,0.5,44,66,0.666667
1991,67,106,0.632075,52,71,0.732394
1992,58,107,0.542056,45,74,0.608108
1993,55,108,0.509259,42,69,0.608696
1994,42,91,0.461538,33,53,0.622642
1995,32,63,0.507937,25,39,0.641026
1996,38,77,0.493506,29,47,0.617021
1997,44,88,0.5,32,55,0.581818
1998,43,88,0.488636,30,49,0.612245
1999,47,91,0.516484,35,52,0.673077
2000,40,90,0.444444,29,52,0.557692
2001,50,121,0.413223,39,69,0.565217
2002,73,136,0.536765,50,77,0.649351
2003,75,147,0.510204,57,88,0.647727
2004,62,133,0.466165,42,72,0.583333
2005,52,98,0.530612,38,53,0.716981
2006,56,108,0.518519,35,56,0.625
2007,53,120,0.441667,38,68,0.558824
2008,84,163,0.515337,56,77,0.727273
2009,87,167,0.520958,57,77,0.74026
2010,80,158,0.506329,55,76,0.723684
2011,93,172,0.540698,56,78,0.717949
2012,110,209,0.526316,68,96,0.708333
2013,91,168,0.541667,56,72,0.777778
2014,87,167,0.520958,47,69,0.681159
2015,99,191,0.518325,69,90,0.766667
2016,95,175,0.542857,50,73,0.684932
2017,124,235,0.52766,80,106,0.754717
2018,85,175,0.485714,57,82,0.695122
2019,115,202,0.569307,64,84,0.761905
2020,115,227,0.506608,65,97,0.670103
2021,151,268,0.563433,85,110,0.772727
2022,118,260,0.453846,74,106,0.698113
2023,129,223,0.578475,76,90,0.844444
2024,129,261,0.494253,74,98,0.755102
2025,107,202,0.529703,57,79,0.721519
2026,85,160,0.53125,36,54,0.666667
