first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,4,20,0,24,0.0,0.166667,0.833333
1951,6,25,0,31,0.0,0.193548,0.806452
1952,22,33,0,55,0.0,0.4,0.6
1953,18,25,3,46,0.065217,0.391304,0.543478
1954,14,25,6,45,0.133333,0.311111,0.555556
1955,23,19,5,47,0.106383,0.489362,0.404255
1956,12,17,9,38,0.236842,0.315789,0.447368
1957,17,17,10,44,0.227273,0.386364,0.386364
1958,13,20,8,41,0.195122,0.317073,0.487805
1959,18,25,15,58,0.258621,0.310345,0.431034
1960,13,25,16,54,0.296296,0.240741,0.462963
1961,27,26,13,66,0.19697,0.409091,0.393939
1962,18,22,28,68,0.411765,0.264706,0.323529
1963,6,28,8,42,0.190476,0.142857,0.666667
1964,11,15,19,45,0.422222,0.244444,0.333333
1965,6,22,24,52,0.461538,0.115385,0.423077
1966,22,31,14,67,0.208955,0.328358,0.462687
1967,16,21,24,61,0.393443,0.262295,0.344262
1968,26,26,18,70,0.257143,0.371429,0.371429
1969,31,31,17,79,0.21519,0.392405,0.392405
1970,28,40,22,90,0.244444,0.311111,0.444444
1971,17,37,19,73,0.260274,0.232877,0.506849
1972,44,43,25,112,0.223214,0.392857,0.383929
1973,11,40,17,68,0.25,0.161765,0.588235
1974,19,30,16,65,0.246154,0.292308,0.461538
1975,16,34,8,58,0.137931,0.275862,0.586207
1976,27,43,19,89,0.213483,0.303371,0.483146
1977,34,36,27,97,0.278351,0.350515,0.371134
1978,26,47,13,86,0.151163,0.302326,0.546512
1979,28,25,13,66,0.19697,0.424242,0.378788
1980,29,48,28,105,0.266667,0.27619,0.457143
1981,24,27,13,64,0.203125,0.375,0.421875
1982,15,15,15,45,0.333333,0.333333,0.333333
1983,13,19,11,43,0.255814,0.302326,0.44186
1984,22,24,17,63,0.269841,0.349206,0.380952
1985,8,18,7,33,0.212121,0.242424,0.545455
1986,15,20,18,53,0.339623,0.283019,0.377358
1987,23,22,20,65,0.307692,0.353846,0.338462
1988,14,9,17,40,0.425,0.35,0.225
1989,2,13,24,39,0.615385,0.051282,0.333333
1990,13,16,24,53,0.45283,0.245283,0.301887
1991,17,24,26,67,0.38806,0.253731,0.358209
1992,21,20,17,58,0.293103,0.362069,0.344828
1993,24,15,16,55,0.290909,0.436364,0.272727
1994,10,7,25,42,0.595238,0.238095,0.166667
1995,12,9,11,32,0.34375,0.375,0.28125
1996,12,7,19,38,0.5,0.315789,0.184211
1997,9,10,25,44,0.568182,0.204545,0.227273
1998,21,4,18,43,0.418605,0.488372,0.093023
1999,12,10,25,47,0.531915,0.255319,0.212766
2000,12,7,21,40,0.525,0.3,0.175
2001,14,11,25,50,0.5,0.28,0.22
2002,35,12,26,73,0.356164,0.479452,0.164384
2003,25,12,38,75,0.506667,0.333333,0.16
2004,27,4,31,62,0.5,0.435484,0.064516
2005,21,7,24,52,0.461538,0.403846,0.134615
2006,17,9,30,56,0.535714,0.303571,0.160714
2007,19,12,22,53,0.415094,0.358491,0.226415
2008,31,9,44,84,0.52381,0.369048,0.107143
2009,42,7,38,87,0.436782,0.482759,0.08046
2010,31,6,43,80,0.5375,0.3875,0.075
2011,36,9,48,93,0.516129,0.387097,0.096774
2012,22,11,77,110,0.7,0.2,0.1
2013,26,9,56,91,0.615385,0.285714,0.098901
2014,36,7,44,87,0.505747,0.413793,0.08046
2015,32,17,50,99,0.505051,0.323232,0.171717
2016,36,2,57,95,0.6,0.378947,0.021053
2017,49,11,64,124,0.516129,0.395161,0.08871
2018,25,9,51,85,0.6,0.294118,0.105882
2019,48,3,64,115,0.556522,0.417391,0.026087
2020,59,9,47,115,0.408696,0.513043,0.078261
2021,63,6,82,151,0.543046,0.417219,0.039735
2022,46,10,62,118,0.525424,0.389831,0.084746
2023,47,7,75,129,0.581395,0.364341,0.054264
2024,33,9,87,129,0.674419,0.255814,0.069767
2025,37,7,63,107,0.588785,0.345794,0.065421
2026,32,3,50,85,0.588235,0.376471,0.035294
