entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,187,5.459893,3.0,0.139037
1981-1990,2,3,2 to 3,117,5.025641,3.0,0.08547
1981-1990,3,4,3 to 4,84,5.214286,3.0,0.071429
1981-1990,4,5,4 to 5,65,5.169231,4.0,0.092308
1981-1990,5,6,5 to 6,47,4.489362,4.0,0.06383
1981-1990,6,7,6 to 7,42,4.238095,2.5,0.071429
1981-1990,7,8,7 to 8,32,4.59375,3.0,0.09375
1981-1990,8,9,8 to 9,19,3.842105,4.0,0.157895
1981-1990,9,10,9 to 10,16,2.75,1.5,0.125
1981-1990,10,11,10 to 11,14,3.357143,2.5,0.214286
1981-1990,11,12,11 to 12,12,3.75,3.5,0.166667
1981-1990,12,13,12 to 13,9,3.111111,1.0,0.0
1981-1990,13,14,13 to 14,7,2.0,2.0,0.142857
1981-1990,14,15,14 to 15,4,1.75,1.0,0.25
1981-1990,15,16,15 to 16,3,2.666667,1.0,0.333333
1981-1990,16,17,16 to 17,3,1.666667,2.0,0.333333
1981-1990,17,18,17 to 18,2,1.5,1.5,0.5
1981-1990,18,19,18 to 19,2,0.5,0.5,0.5
1981-1990,19,20,19 to 20,2,0.5,0.5,0.5
1981-1990,20,21,20 to 21,2,1.0,1.0,0.5
1981-1990,21,22,21 to 22,2,2.5,2.5,0.5
1981-1990,22,23,22 to 23,2,0.0,0.0,1.0
1981-1990,23,24,23 to 24,2,2.0,2.0,0.5
1981-1990,24,25,24 to 25,2,1.5,1.5,0.5
1981-1990,25,26,25 to 26,1,1.0,1.0,0.0
1981-1990,26,27,26 to 27,1,2.0,2.0,0.0
1981-1990,27,28,27 to 28,1,1.0,1.0,0.0
1981-1990,28,29,28 to 29,1,4.0,4.0,0.0
1981-1990,29,30,29 to 30,1,1.0,1.0,0.0
1981-1990,30,31,30 to 31,1,0.0,0.0,1.0
1981-1990,31,32,31 to 32,1,1.0,1.0,0.0
1991-2000,1,2,1 to 2,194,7.592784,6.0,0.051546
1991-2000,2,3,2 to 3,117,4.632479,3.0,0.111111
1991-2000,3,4,3 to 4,75,4.773333,4.0,0.066667
1991-2000,4,5,4 to 5,50,3.3,2.0,0.2
1991-2000,5,6,5 to 6,39,3.897436,2.0,0.153846
1991-2000,6,7,6 to 7,26,2.115385,2.0,0.153846
1991-2000,7,8,7 to 8,20,4.0,3.0,0.05
1991-2000,8,9,8 to 9,17,1.882353,2.0,0.294118
1991-2000,9,10,9 to 10,11,3.636364,2.0,0.0
