from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,11,5.909091,5.0,0.0
1,2,1 to 2,1951,14,3.571429,1.5,0.071429
1,2,1 to 2,1952,24,3.666667,2.0,0.041667
1,2,1 to 2,1953,25,3.52,3.0,0.12
1,2,1 to 2,1954,15,5.666667,4.0,0.0
1,2,1 to 2,1955,19,4.210526,4.0,0.052632
1,2,1 to 2,1956,11,3.181818,2.0,0.090909
1,2,1 to 2,1957,15,5.066667,4.0,0.133333
1,2,1 to 2,1958,21,6.809524,4.0,0.095238
1,2,1 to 2,1959,19,2.736842,2.0,0.210526
1,2,1 to 2,1960,20,2.9,2.5,0.1
1,2,1 to 2,1961,22,4.272727,3.5,0.136364
1,2,1 to 2,1962,26,7.076923,5.0,0.038462
1,2,1 to 2,1963,15,5.333333,2.0,0.066667
1,2,1 to 2,1964,12,5.5,6.5,0.083333
1,2,1 to 2,1965,23,2.73913,2.0,0.130435
1,2,1 to 2,1966,21,5.0,4.0,0.095238
1,2,1 to 2,1967,19,6.894737,3.0,0.0
1,2,1 to 2,1968,28,3.857143,4.0,0.107143
1,2,1 to 2,1969,21,5.0,3.0,0.047619
1,2,1 to 2,1970,32,3.28125,2.0,0.25
1,2,1 to 2,1971,18,3.388889,3.0,0.055556
1,2,1 to 2,1972,34,2.617647,2.0,0.176471
1,2,1 to 2,1973,27,4.296296,2.0,0.037037
1,2,1 to 2,1974,19,3.315789,3.0,0.052632
1,2,1 to 2,1975,22,5.954545,2.0,0.045455
1,2,1 to 2,1976,28,3.821429,2.0,0.107143
1,2,1 to 2,1977,33,5.272727,3.0,0.060606
1,2,1 to 2,1978,39,4.974359,3.0,0.0
1,2,1 to 2,1979,21,3.904762,3.0,0.095238
1,2,1 to 2,1980,31,4.258065,3.0,0.16129
1,2,1 to 2,1981,18,3.166667,2.0,0.333333
1,2,1 to 2,1982,25,4.88,5.0,0.04
1,2,1 to 2,1983,12,4.0,2.5,0.083333
1,2,1 to 2,1984,23,3.869565,3.0,0.217391
1,2,1 to 2,1985,16,6.5,4.5,0.0
1,2,1 to 2,1986,20,4.85,3.0,0.3
1,2,1 to 2,1987,25,6.4,4.0,0.08
1,2,1 to 2,1988,17,5.647059,5.0,0.176471
1,2,1 to 2,1989,14,9.785714,11.5,0.0
1,2,1 to 2,1990,17,6.529412,6.0,0.117647
1,2,1 to 2,1991,31,6.516129,6.0,0.032258
1,2,1 to 2,1992,24,10.458333,11.5,0.166667
1,2,1 to 2,1993,15,7.0,6.0,0.133333
1,2,1 to 2,1994,17,7.588235,6.0,0.058824
1,2,1 to 2,1995,18,7.611111,6.5,0.0
1,2,1 to 2,1996,19,8.631579,7.0,0.0
1,2,1 to 2,1997,22,6.727273,3.5,0.045455
1,2,1 to 2,1998,13,6.307692,6.0,0.076923
1,2,1 to 2,1999,22,5.318182,4.5,0.0
1,2,1 to 2,2000,13,10.615385,9.0,0.0
1,2,1 to 2,2001,19,6.578947,4.0,0.0
1,2,1 to 2,2002,36,6.777778,4.0,0.027778
1,2,1 to 2,2003,39,7.615385,6.0,0.0
1,2,1 to 2,2004,27,5.296296,4.0,0.074074
1,2,1 to 2,2005,23,3.956522,2.0,0.086957
1,2,1 to 2,2006,23,6.217391,4.0,0.0
1,2,1 to 2,2007,30,4.033333,3.0,0.066667
1,2,1 to 2,2008,31,7.774194,8.0,0.032258
1,2,1 to 2,2009,36,4.833333,3.5,0.027778
1,2,1 to 2,2010,38,4.657895,3.0,0.078947
1,2,1 to 2,2011,34,5.558824,4.0,0.0
1,2,1 to 2,2012,41,4.707317,4.0,0.146341
1,2,1 to 2,2013,29,3.931034,3.0,0.103448
1,2,1 to 2,2014,27,4.148148,3.0,0.0
1,2,1 to 2,2015,39,3.923077,4.0,0.076923
1,2,1 to 2,2016,26,3.730769,4.0,0.076923
1,2,1 to 2,2017,33,3.545455,3.0,0.181818
1,2,1 to 2,2018,25,3.64,3.0,0.08
1,2,1 to 2,2019,25,2.52,2.0,0.08
1,2,1 to 2,2020,30,2.8,2.0,0.066667
1,2,1 to 2,2021,28,2.178571,2.0,0.178571
1,2,1 to 2,2022,23,1.956522,2.0,0.130435
1,2,1 to 2,2023,20,1.5,1.0,0.15
1,2,1 to 2,2024,7,0.857143,1.0,0.285714
1,2,1 to 2,2025,5,0.6,1.0,0.4
