ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL D,1951,1931,1950,1,AFZ001950,Howard,Bowen,2
JEL D,1951,1931,1950,1,AFZ016411,George,Stigler,2
JEL D,1951,1931,1950,5,AFZ001950,Howard,Bowen,2
JEL D,1951,1931,1950,5,AFZ016411,George,Stigler,2
JEL D,1951,1931,1950,10,AFZ001950,Howard,Bowen,2
JEL D,1951,1931,1950,10,AFZ016411,George,Stigler,2
JEL D,1951,1931,1950,10,AFZ000242,Armen,Alchian,1
JEL D,1951,1931,1950,10,AFZ001231,Jack,Behrman,1
JEL D,1951,1931,1950,10,AFZ004421,Kenneth,Eaton,1
JEL D,1951,1931,1950,10,AFZ004471,Edgar,Edwards,1
JEL D,1951,1931,1950,10,AFZ004612,Hugh,Emerson,1
JEL D,1951,1931,1950,10,AFZ005761,Nicholas,GeorgescuRoegen,1
JEL D,1951,1931,1950,10,AFZ006549,Trygve,Haavelmo,1
JEL D,1951,1931,1950,10,AFZ008120,Gale,Johnson,1
JEL D,1951,1931,1950,10,AFZ008586,Cecelia,Kenyon,1
JEL D,1951,1931,1950,10,AFZ009724,Harvey,Leibenstein,1
JEL D,1951,1931,1950,10,AFZ010727,Fritz,Mann,1
JEL D,1951,1931,1950,10,AFZ010844,Jacob,Marschak,1
JEL D,1951,1931,1950,10,AFZ011024,Kenneth,May,1
JEL D,1951,1931,1950,10,AFZ014027,Melvin,Reder,1
JEL D,1951,1931,1950,10,AFZ014161,Samuel,Rezneck,1
JEL D,1951,1931,1950,10,AFZ015820,Paul,Simpson,1
JEL D,1951,1931,1950,10,AFZ016088,Harold,Somers,1
JEL D,1951,1931,1950,10,AFZ016494,Paul,Streeten,1
JEL D,1951,1931,1950,10,AFZ018143,Walter,Weisskopf,1
JEL D,1951,1931,1950,10,AFZ018480,A,Wolfe,1
JEL D,1952,1932,1951,1,AFZ000616,Kenneth,Arrow,2
JEL D,1952,1932,1951,1,AFZ001950,Howard,Bowen,2
JEL D,1952,1932,1951,1,AFZ005761,Nicholas,GeorgescuRoegen,2
JEL D,1952,1932,1951,1,AFZ006833,Albert,Hart,2
JEL D,1952,1932,1951,1,AFZ011819,James,Morgan,2
JEL D,1952,1932,1951,1,AFZ016411,George,Stigler,2
JEL D,1952,1932,1951,5,AFZ000616,Kenneth,Arrow,2
JEL D,1952,1932,1951,5,AFZ001950,Howard,Bowen,2
JEL D,1952,1932,1951,5,AFZ005761,Nicholas,GeorgescuRoegen,2
