publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,22,22,1.0,24,24,1.0
1951,35,36,0.972222,29,29,1.0
1952,52,59,0.881356,44,50,0.88
1953,19,23,0.826087,16,20,0.8
1954,30,41,0.731707,27,34,0.794118
1955,31,39,0.794872,24,27,0.888889
1956,29,31,0.935484,24,25,0.96
1957,31,40,0.775,26,31,0.83871
1958,23,37,0.621622,18,31,0.580645
1959,33,56,0.589286,26,40,0.65
1960,30,45,0.666667,27,39,0.692308
1961,34,62,0.548387,28,49,0.571429
1962,36,49,0.734694,30,37,0.810811
1963,28,38,0.736842,22,30,0.733333
1964,48,63,0.761905,33,42,0.785714
1965,25,40,0.625,24,34,0.705882
1966,34,48,0.708333,28,36,0.777778
1967,34,48,0.708333,24,33,0.727273
1968,34,48,0.708333,30,38,0.789474
1969,40,57,0.701754,34,45,0.755556
1970,47,60,0.783333,37,45,0.822222
1971,44,72,0.611111,32,47,0.680851
1972,69,102,0.676471,58,71,0.816901
1973,47,63,0.746032,39,53,0.735849
1974,40,64,0.625,35,50,0.7
1975,62,81,0.765432,56,70,0.8
1976,49,72,0.680556,43,66,0.651515
1977,60,92,0.652174,53,74,0.716216
1978,52,77,0.675325,43,60,0.716667
1979,52,89,0.58427,47,74,0.635135
1980,75,105,0.714286,65,85,0.764706
1981,54,91,0.593407,44,74,0.594595
1982,59,97,0.608247,48,71,0.676056
1983,79,120,0.658333,62,79,0.78481
1984,57,95,0.6,40,68,0.588235
1985,81,137,0.591241,63,93,0.677419
1986,60,112,0.535714,50,83,0.60241
1987,48,109,0.440367,43,76,0.565789
1988,46,77,0.597403,37,53,0.698113
1989,31,84,0.369048,24,57,0.421053
1990,50,96,0.520833,34,58,0.586207
1991,55,110,0.5,47,71,0.661972
1992,49,97,0.505155,44,64,0.6875
1993,49,95,0.515789,42,63,0.666667
1994,44,103,0.427184,36,60,0.6
1995,43,93,0.462366,34,58,0.586207
1996,41,76,0.539474,31,43,0.72093
1997,60,118,0.508475,39,65,0.6
1998,39,69,0.565217,30,43,0.697674
1999,93,175,0.531429,69,109,0.633028
2000,106,200,0.53,76,115,0.66087
2001,120,228,0.526316,82,130,0.630769
2002,114,232,0.491379,84,138,0.608696
2003,124,222,0.558559,80,128,0.625
2004,107,210,0.509524,74,117,0.632479
2005,76,184,0.413043,53,95,0.557895
2006,109,243,0.44856,73,130,0.561538
2007,129,280,0.460714,92,151,0.609272
2008,151,308,0.49026,108,159,0.679245
2009,160,341,0.469208,110,167,0.658683
2010,163,323,0.504644,97,150,0.646667
2011,192,365,0.526027,124,189,0.656085
2012,197,378,0.521164,124,180,0.688889
2013,181,370,0.489189,121,171,0.707602
2014,198,450,0.44,129,198,0.651515
2015,225,472,0.476695,157,232,0.676724
2016,220,437,0.503432,135,196,0.688776
2017,262,540,0.485185,159,229,0.694323
2018,192,398,0.482412,126,182,0.692308
2019,196,431,0.454756,118,177,0.666667
2020,215,487,0.441478,139,208,0.668269
2021,204,483,0.42236,130,196,0.663265
2022,217,487,0.445585,143,202,0.707921
2023,211,459,0.459695,128,181,0.707182
2024,223,508,0.438976,140,203,0.689655
2025,225,493,0.456389,140,196,0.714286
2026,118,242,0.487603,67,95,0.705263
