author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ002327,Mike,Burkart,1998,1,1,0,1,only_with_other_new_coauthors
AFZ006346,Denis,Gromb,1998,1,1,0,1,only_with_other_new_coauthors
AFZ012975,Fausto,Panunzi,1998,1,1,0,1,only_with_other_new_coauthors
AFZ011820,John,Morgan,1998,1,1,1,0,with_experienced_coauthor
AFZ003707,James,Dana,1998,1,0,0,0,solo
AFZ013244,Maria,Perozek,1998,1,0,0,0,solo
AFZ005991,Jacob,Goeree,1998,1,1,1,0,with_experienced_coauthor
AFZ017080,Manfred,Tietzel,1998,1,1,1,0,with_experienced_coauthor
AFZ005912,Victor,Ginsburgh,1998,1,0,0,0,solo
AFZ000533,Patricia,Apps,1999,1,1,0,1,only_with_other_new_coauthors
AFZ014047,Ray,Rees,1999,1,1,0,1,only_with_other_new_coauthors
AFZ007566,Ming,Huang,1999,1,1,1,0,with_experienced_coauthor
AFZ002819,William,Chan,1999,1,1,1,0,with_experienced_coauthor
AFZ017568,Valaria,Vendrzyk,1999,1,1,1,1,with_experienced_coauthor
AFZ015645,Robert,Shimer,1999,1,1,1,0,with_experienced_coauthor
AFZ007234,Pierre,Hillion,1999,1,1,1,0,with_experienced_coauthor
AFZ004232,Maura,Doyle,1999,1,1,0,1,only_with_other_new_coauthors
AFZ016028,Christopher,Snyder,1999,1,1,0,1,only_with_other_new_coauthors
AFZ004421,Kenneth,Eaton,1950,1,0,0,0,solo
AFZ018480,A,Wolfe,1950,1,0,0,0,solo
AFZ008120,Gale,Johnson,1950,1,0,0,0,solo
AFZ001950,Howard,Bowen,1950,2,0,0,0,solo
AFZ000242,Armen,Alchian,1950,1,0,0,0,solo
AFZ018143,Walter,Weisskopf,1950,1,0,0,0,solo
AFZ016411,George,Stigler,1950,2,0,0,0,solo
AFZ004612,Hugh,Emerson,1950,1,0,0,0,solo
AFZ010727,Fritz,Mann,1950,1,0,0,0,solo
AFZ008586,Cecelia,Kenyon,1950,1,0,0,0,solo
AFZ014161,Samuel,Rezneck,1950,1,0,0,0,solo
AFZ016088,Harold,Somers,1950,1,0,0,0,solo
AFZ001147,William,Baumol,1951,1,0,0,0,solo
AFZ015999,Victor,Smith,1951,1,0,0,0,solo
AFZ006833,Albert,Hart,1951,2,1,0,1,only_with_other_new_coauthors
AFZ014596,Stephen,Rousseas,1951,1,1,0,1,only_with_other_new_coauthors
AFZ002253,James,Buchanan,1951,1,0,0,0,solo
AFZ014299,Sidney,Robbins,1951,1,0,0,0,solo
AFZ011908,Frederick,Mosteller,1951,1,1,0,1,only_with_other_new_coauthors
AFZ012456,Philip,Nogee,1951,1,1,0,1,only_with_other_new_coauthors
AFZ007905,Neil,Jacoby,1951,1,0,0,0,solo
AFZ011819,James,Morgan,1951,2,0,0,0,solo
AFZ012364,A,Nichol,1951,1,0,0,0,solo
AFZ004305,John,Due,1951,1,0,0,0,solo
