first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,0,22,0,22,0.0,0.0,1.0
1951,15,19,1,35,0.028571,0.428571,0.542857
1952,21,29,2,52,0.038462,0.403846,0.557692
1953,6,12,1,19,0.052632,0.315789,0.631579
1954,6,19,5,30,0.166667,0.2,0.633333
1955,5,17,9,31,0.290323,0.16129,0.548387
1956,12,16,1,29,0.034483,0.413793,0.551724
1957,6,18,7,31,0.225806,0.193548,0.580645
1958,10,10,3,23,0.130435,0.434783,0.434783
1959,9,14,10,33,0.30303,0.272727,0.424242
1960,6,19,5,30,0.166667,0.2,0.633333
1961,9,18,7,34,0.205882,0.264706,0.529412
1962,9,21,6,36,0.166667,0.25,0.583333
1963,11,14,3,28,0.107143,0.392857,0.5
1964,19,15,14,48,0.291667,0.395833,0.3125
1965,7,14,4,25,0.16,0.28,0.56
1966,11,15,8,34,0.235294,0.323529,0.441176
1967,16,11,7,34,0.205882,0.470588,0.323529
1968,6,21,7,34,0.205882,0.176471,0.617647
1969,16,21,3,40,0.075,0.4,0.525
1970,19,24,4,47,0.085106,0.404255,0.510638
1971,13,17,14,44,0.318182,0.295455,0.386364
1972,17,35,17,69,0.246377,0.246377,0.507246
1973,16,28,3,47,0.06383,0.340426,0.595745
1974,10,24,6,40,0.15,0.25,0.6
1975,17,37,8,62,0.129032,0.274194,0.596774
1976,12,33,4,49,0.081633,0.244898,0.673469
1977,15,36,9,60,0.15,0.25,0.6
1978,15,30,7,52,0.134615,0.288462,0.576923
1979,16,27,9,52,0.173077,0.307692,0.519231
1980,23,42,10,75,0.133333,0.306667,0.56
1981,14,27,13,54,0.240741,0.259259,0.5
1982,19,22,18,59,0.305085,0.322034,0.372881
1983,32,24,23,79,0.291139,0.405063,0.303797
1984,27,22,8,57,0.140351,0.473684,0.385965
1985,29,30,22,81,0.271605,0.358025,0.37037
1986,23,24,13,60,0.216667,0.383333,0.4
1987,14,14,20,48,0.416667,0.291667,0.291667
1988,14,17,15,46,0.326087,0.304348,0.369565
1989,6,12,13,31,0.419355,0.193548,0.387097
1990,27,9,14,50,0.28,0.54,0.18
1991,11,21,23,55,0.418182,0.2,0.381818
1992,16,12,21,49,0.428571,0.326531,0.244898
1993,16,18,15,49,0.306122,0.326531,0.367347
1994,12,13,19,44,0.431818,0.272727,0.295455
1995,20,10,13,43,0.302326,0.465116,0.232558
1996,15,10,16,41,0.390244,0.365854,0.243902
1997,26,15,19,60,0.316667,0.433333,0.25
1998,17,11,11,39,0.282051,0.435897,0.282051
1999,41,18,34,93,0.365591,0.44086,0.193548
2000,42,21,43,106,0.40566,0.396226,0.198113
2001,55,13,52,120,0.433333,0.458333,0.108333
2002,49,26,39,114,0.342105,0.429825,0.22807
2003,61,16,47,124,0.379032,0.491935,0.129032
2004,50,15,42,107,0.392523,0.46729,0.140187
2005,24,10,42,76,0.552632,0.315789,0.131579
2006,51,10,48,109,0.440367,0.46789,0.091743
2007,51,11,67,129,0.51938,0.395349,0.085271
2008,41,24,86,151,0.569536,0.271523,0.15894
2009,48,16,96,160,0.6,0.3,0.1
2010,57,15,91,163,0.558282,0.349693,0.092025
2011,86,22,84,192,0.4375,0.447917,0.114583
2012,79,19,99,197,0.502538,0.401015,0.096447
2013,66,26,89,181,0.491713,0.364641,0.143646
2014,61,14,123,198,0.621212,0.308081,0.070707
2015,64,22,139,225,0.617778,0.284444,0.097778
2016,70,13,137,220,0.622727,0.318182,0.059091
2017,81,18,163,262,0.622137,0.30916,0.068702
2018,59,18,115,192,0.598958,0.307292,0.09375
2019,70,11,115,196,0.586735,0.357143,0.056122
2020,65,18,132,215,0.613953,0.302326,0.083721
2021,45,11,148,204,0.72549,0.220588,0.053922
2022,63,17,137,217,0.631336,0.290323,0.078341
2023,56,14,141,211,0.668246,0.265403,0.066351
2024,60,20,143,223,0.641256,0.269058,0.089686
2025,62,20,143,225,0.635556,0.275556,0.088889
2026,36,7,75,118,0.635593,0.305085,0.059322
