author_id,final_first_name,final_last_name,first_top5_publication_year,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000007,Alberto,Abadie,2003,2001-2010,10.1257/000282806777211847,1,2,1 to 2,2003,2006,3
AFZ000009,Jason,Abaluck,2011,2011-2020,10.1257/aer.101.4.1180,1,2,1 to 2,2011,2011,0
AFZ000009,Jason,Abaluck,2011,2011-2020,10.1093/qje/qjab008,2,3,2 to 3,2011,2021,10
AFZ000009,Jason,Abaluck,2011,2011-2020,10.1086/740223,3,4,3 to 4,2021,2026,5
AFZ000019,Mohammed,Abdellaoui,2002,2001-2010,10.1257/aer.101.2.695,1,2,1 to 2,2002,2011,9
AFZ000019,Mohammed,Abdellaoui,2002,2001-2010,10.1093/restud/rdag043,2,3,2 to 3,2011,2021,10
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/000282803322157061,1,2,1 to 2,1998,2003,5
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.99.5.1954,2,3,2 to 3,2003,2009,6
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.101.1.399,3,4,3 to 4,2009,2011,2
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.20150479,4,5,4 to 5,2011,2016,5
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.20151425,5,6,5 to 6,2016,2017,1
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.p20171111,6,7,6 to 7,2017,2017,0
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.3982/ecta13925,7,8,7 to 8,2017,2017,0
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.1257/aer.20172040,8,9,8 to 9,2017,2020,3
AFZ000020,Atila,Abdulkadiroglu,1998,1991-2000,10.3982/ecta17125,9,10,9 to 10,2020,2022,2
AFZ000023,Andrew,Abel,1983,1981-1990,10.2307/2938285,1,2,1 to 2,1983,1991,8
AFZ000023,Andrew,Abel,1983,1981-1990,10.1257/aer.91.1.128,2,3,2 to 3,1991,2001,10
AFZ000023,Andrew,Abel,1983,1981-1990,10.1257/aer.97.2.244,3,4,3 to 4,2001,2007,6
AFZ000026,Johannes,Abeler,2011,2011-2020,10.3982/ecta14673,1,2,1 to 2,2011,2019,8
AFZ000026,Johannes,Abeler,2011,2011-2020,10.1257/aer.20230751,2,3,2 to 3,2019,2025,6
AFZ000038,Ran,Abramitzky,2008,2001-2010,10.3982/ecta10763,1,2,1 to 2,2008,2014,6
AFZ000041,Burton,Abrams,1976,,10.1086/260665,1,2,1 to 2,1976,1978,2
AFZ000046,Dilip,Abreu,1991,1991-2000,10.2307/2951529,1,2,1 to 2,1991,1992,1
AFZ000046,Dilip,Abreu,1991,1991-2000,10.2307/2951536,2,3,2 to 3,1992,1992,0
AFZ000046,Dilip,Abreu,1991,1991-2000,10.1111/j.1468-0262.2007.00765.x,3,4,3 to 4,1992,2007,15
AFZ000046,Dilip,Abreu,1991,1991-2000,10.3982/ecta14357,4,5,4 to 5,2007,2020,13
AFZ000046,Dilip,Abreu,1991,1991-2000,10.3982/ecta19675,5,6,5 to 6,2020,2024,4
AFZ000046,Dilip,Abreu,1991,1991-2000,10.1093/restud/rdaf053,6,7,6 to 7,2024,2025,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/250084,1,2,1 to 2,1998,1999,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1162/003355300555042,2,3,2 to 3,1999,2000,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.90.1.194,3,4,3 to 4,2000,2000,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.91.4.938,4,5,4 to 5,2000,2001,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/000282805774669916,5,6,5 to 6,2001,2005,4
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/000282806777212549,6,7,6 to 7,2005,2006,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.97.3.916,7,8,7 to 8,2006,2007,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1111/j.1467-937x.2008.00503.x,8,9,8 to 9,2007,2008,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1111/j.1468-0262.2008.00849.x,9,10,9 to 10,2008,2008,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.98.1.267,10,11,10 to 11,2008,2008,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.98.3.808,11,12,11 to 12,2008,2008,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.99.2.298,12,13,12 to 13,2008,2009,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1162/qjec.2010.125.4.1511,13,14,13 to 14,2009,2010,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.100.2.115,14,15,14 to 15,2010,2010,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1093/restud/rdr004,15,16,15 to 16,2010,2011,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.3982/ecta8963,16,17,16 to 17,2011,2011,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1093/qje/qjs077,17,18,17 to 18,2011,2012,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.102.4.1446,18,19,18 to 19,2012,2012,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.104.4.1350,19,20,19 to 20,2012,2014,2
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/680685,20,21,20 to 21,2014,2015,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/682679,21,22,21 to 22,2015,2015,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.20130456,22,23,22 to 23,2015,2015,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.20140044,23,24,23 to 24,2015,2015,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/693038,24,25,24 to 25,2015,2017,2
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.20151086,25,26,25 to 26,2017,2017,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.20130470,26,27,26 to 27,2017,2018,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.20160696,27,28,27 to 28,2018,2018,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/707765,28,29,28 to 29,2018,2020,2
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1093/qje/qjac001,29,30,29 to 30,2020,2022,2
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.3982/ecta15847,30,31,30 to 31,2022,2022,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1093/restud/rdad043,31,32,31 to 32,2022,2023,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1093/restud/rdad111,32,33,32 to 33,2023,2023,0
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1086/742715,33,34,33 to 34,2023,2024,1
AFZ000056,Daron,Acemoglu,1998,1991-2000,10.1257/aer.115.6.1709,34,35,34 to 35,2024,2025,1
AFZ000071,Klaus,Adam,2017,2011-2020,10.1257/aer.20171066,1,2,1 to 2,2017,2019,2
