entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,255,7.427451,5.0,0.082353
1981-1990,2,3,2 to 3,173,6.248555,4.0,0.086705
1981-1990,3,4,3 to 4,118,4.389831,3.0,0.135593
1981-1990,4,5,4 to 5,98,4.061224,2.0,0.112245
1981-1990,5,6,5 to 6,73,3.876712,3.0,0.164384
1981-1990,6,7,6 to 7,54,3.537037,2.0,0.203704
1981-1990,7,8,7 to 8,51,2.72549,1.0,0.215686
1981-1990,8,9,8 to 9,44,3.022727,3.0,0.113636
1981-1990,9,10,9 to 10,36,4.055556,3.0,0.083333
1981-1990,10,11,10 to 11,33,2.333333,2.0,0.181818
1981-1990,11,12,11 to 12,26,1.653846,1.0,0.269231
1981-1990,12,13,12 to 13,20,2.55,1.5,0.2
1981-1990,13,14,13 to 14,19,2.157895,1.0,0.157895
1981-1990,14,15,14 to 15,15,2.266667,2.0,0.066667
1981-1990,15,16,15 to 16,11,2.545455,2.0,0.090909
1981-1990,16,17,16 to 17,11,1.727273,1.0,0.363636
1981-1990,17,18,17 to 18,10,1.6,1.0,0.2
1981-1990,18,19,18 to 19,9,2.444444,3.0,0.222222
1981-1990,19,20,19 to 20,8,1.25,1.0,0.125
1981-1990,20,21,20 to 21,6,1.666667,1.5,0.333333
1981-1990,21,22,21 to 22,6,1.0,1.0,0.333333
1981-1990,22,23,22 to 23,5,0.2,0.0,0.8
1981-1990,23,24,23 to 24,5,2.4,3.0,0.0
1981-1990,24,25,24 to 25,5,0.2,0.0,0.8
1981-1990,25,26,25 to 26,5,1.4,1.0,0.0
1981-1990,26,27,26 to 27,5,0.6,1.0,0.4
1981-1990,27,28,27 to 28,4,1.5,1.5,0.25
1981-1990,28,29,28 to 29,3,1.0,1.0,0.333333
1981-1990,29,30,29 to 30,3,1.666667,1.0,0.333333
1981-1990,30,31,30 to 31,3,0.0,0.0,1.0
1981-1990,31,32,31 to 32,2,1.5,1.5,0.5
1981-1990,32,33,32 to 33,1,1.0,1.0,0.0
1981-1990,33,34,33 to 34,1,2.0,2.0,0.0
1981-1990,34,35,34 to 35,1,0.0,0.0,1.0
1981-1990,35,36,35 to 36,1,0.0,0.0,1.0
1981-1990,36,37,36 to 37,1,2.0,2.0,0.0
1981-1990,37,38,37 to 38,1,1.0,1.0,0.0
1981-1990,38,39,38 to 39,1,0.0,0.0,1.0
1981-1990,39,40,39 to 40,1,0.0,0.0,1.0
1981-1990,40,41,40 to 41,1,3.0,3.0,0.0
1981-1990,41,42,41 to 42,1,0.0,0.0,1.0
1981-1990,42,43,42 to 43,1,0.0,0.0,1.0
1981-1990,43,44,43 to 44,1,1.0,1.0,0.0
1981-1990,44,45,44 to 45,1,2.0,2.0,0.0
1981-1990,45,46,45 to 46,1,0.0,0.0,1.0
1981-1990,46,47,46 to 47,1,0.0,0.0,1.0
1981-1990,47,48,47 to 48,1,3.0,3.0,0.0
1981-1990,48,49,48 to 49,1,0.0,0.0,1.0
1981-1990,49,50,49 to 50,1,3.0,3.0,0.0
1981-1990,50,51,50 to 51,1,1.0,1.0,0.0
1991-2000,1,2,1 to 2,305,6.957377,5.0,0.07541
1991-2000,2,3,2 to 3,211,4.616114,3.0,0.104265
1991-2000,3,4,3 to 4,156,4.346154,3.0,0.070513
1991-2000,4,5,4 to 5,120,3.408333,3.0,0.116667
1991-2000,5,6,5 to 6,96,3.427083,3.0,0.15625
1991-2000,6,7,6 to 7,69,2.971014,2.0,0.15942
1991-2000,7,8,7 to 8,54,2.203704,2.0,0.185185
1991-2000,8,9,8 to 9,47,2.595745,2.0,0.106383
1991-2000,9,10,9 to 10,38,2.473684,2.0,0.210526
1991-2000,10,11,10 to 11,32,2.375,2.0,0.125
1991-2000,11,12,11 to 12,29,1.586207,2.0,0.344828
1991-2000,12,13,12 to 13,24,1.583333,1.0,0.25
1991-2000,13,14,13 to 14,20,2.3,1.0,0.15
1991-2000,14,15,14 to 15,17,1.588235,1.0,0.294118
1991-2000,15,16,15 to 16,16,1.625,1.0,0.25
1991-2000,16,17,16 to 17,14,1.214286,1.0,0.285714
1991-2000,17,18,17 to 18,13,1.538462,1.0,0.307692
1991-2000,18,19,18 to 19,10,0.8,1.0,0.4
1991-2000,19,20,19 to 20,9,1.555556,1.0,0.444444
1991-2000,20,21,20 to 21,8,1.25,1.0,0.25
1991-2000,21,22,21 to 22,7,1.285714,1.0,0.285714
1991-2000,22,23,22 to 23,5,1.4,2.0,0.4
1991-2000,23,24,23 to 24,4,2.5,2.5,0.25
1991-2000,24,25,24 to 25,3,1.0,1.0,0.333333
1991-2000,25,26,25 to 26,3,2.0,2.0,0.333333
1991-2000,26,27,26 to 27,2,1.5,1.5,0.0
1991-2000,27,28,27 to 28,2,0.0,0.0,1.0
1991-2000,28,29,28 to 29,1,2.0,2.0,0.0
1991-2000,29,30,29 to 30,1,2.0,2.0,0.0
1991-2000,30,31,30 to 31,1,0.0,0.0,1.0
1991-2000,31,32,31 to 32,1,1.0,1.0,0.0
1991-2000,32,33,32 to 33,1,0.0,0.0,1.0
1991-2000,33,34,33 to 34,1,1.0,1.0,0.0
1991-2000,34,35,34 to 35,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,617,5.15235,4.0,0.056726
2001-2010,2,3,2 to 3,399,4.042607,3.0,0.105263
2001-2010,3,4,3 to 4,259,2.899614,2.0,0.150579
2001-2010,4,5,4 to 5,200,2.43,2.0,0.17
2001-2010,5,6,5 to 6,143,2.804196,2.0,0.132867
2001-2010,6,7,6 to 7,106,2.396226,2.0,0.122642
2001-2010,7,8,7 to 8,75,1.613333,1.0,0.186667
2001-2010,8,9,8 to 9,62,1.854839,1.0,0.177419
2001-2010,9,10,9 to 10,45,1.644444,1.0,0.222222
2001-2010,10,11,10 to 11,34,1.382353,1.0,0.235294
2001-2010,11,12,11 to 12,28,2.321429,2.0,0.178571
2001-2010,12,13,12 to 13,17,1.352941,1.0,0.352941
2001-2010,13,14,13 to 14,14,1.857143,1.0,0.071429
2001-2010,14,15,14 to 15,6,1.833333,1.5,0.0
2001-2010,15,16,15 to 16,4,2.5,1.5,0.0
2001-2010,16,17,16 to 17,2,2.0,2.0,0.0
2001-2010,17,18,17 to 18,1,0.0,0.0,1.0
2001-2010,18,19,18 to 19,1,1.0,1.0,0.0
2001-2010,19,20,19 to 20,1,0.0,0.0,1.0
2011-2020,1,2,1 to 2,754,3.651194,3.0,0.096817
2011-2020,2,3,2 to 3,374,2.842246,2.0,0.128342
2011-2020,3,4,3 to 4,198,2.141414,2.0,0.166667
2011-2020,4,5,4 to 5,115,1.678261,1.0,0.182609
2011-2020,5,6,5 to 6,65,1.430769,1.0,0.246154
2011-2020,6,7,6 to 7,41,1.341463,1.0,0.292683
2011-2020,7,8,7 to 8,29,1.482759,1.0,0.206897
2011-2020,8,9,8 to 9,20,1.1,1.0,0.4
2011-2020,9,10,9 to 10,15,1.133333,1.0,0.266667
2011-2020,10,11,10 to 11,9,1.222222,1.0,0.333333
2011-2020,11,12,11 to 12,7,1.142857,1.0,0.142857
2011-2020,12,13,12 to 13,5,0.6,1.0,0.4
2011-2020,13,14,13 to 14,4,0.0,0.0,1.0
2011-2020,14,15,14 to 15,2,1.0,1.0,0.0
2011-2020,15,16,15 to 16,2,0.5,0.5,0.5
2011-2020,16,17,16 to 17,2,0.5,0.5,0.5
2011-2020,17,18,17 to 18,2,0.0,0.0,1.0
2011-2020,18,19,18 to 19,1,1.0,1.0,0.0
2011-2020,19,20,19 to 20,1,0.0,0.0,1.0
