from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,11,7.363636,2.0,0.181818
1,2,1 to 2,1951,17,5.529412,4.0,0.176471
1,2,1 to 2,1952,28,5.857143,3.0,0.178571
1,2,1 to 2,1953,8,9.375,7.5,0.0
1,2,1 to 2,1954,12,11.083333,7.0,0.0
1,2,1 to 2,1955,10,7.3,7.5,0.0
1,2,1 to 2,1956,17,4.823529,4.0,0.058824
1,2,1 to 2,1957,15,5.133333,4.0,0.066667
1,2,1 to 2,1958,8,4.375,3.0,0.0
1,2,1 to 2,1959,9,7.111111,7.0,0.222222
1,2,1 to 2,1960,2,13.0,13.0,0.0
1,2,1 to 2,1961,7,9.857143,5.0,0.0
1,2,1 to 2,1962,15,7.266667,3.0,0.066667
1,2,1 to 2,1963,6,5.333333,7.0,0.0
1,2,1 to 2,1964,11,6.0,5.0,0.363636
1,2,1 to 2,1965,11,7.090909,5.0,0.181818
1,2,1 to 2,1966,7,5.142857,1.0,0.285714
1,2,1 to 2,1967,11,4.909091,4.0,0.0
1,2,1 to 2,1968,8,13.25,6.0,0.0
1,2,1 to 2,1969,10,5.4,3.0,0.2
1,2,1 to 2,1970,16,5.8125,3.0,0.0625
1,2,1 to 2,1971,15,6.533333,4.0,0.0
1,2,1 to 2,1972,20,8.5,4.0,0.0
1,2,1 to 2,1973,17,9.882353,7.0,0.0
1,2,1 to 2,1974,16,11.75,6.0,0.0625
1,2,1 to 2,1975,22,4.681818,4.0,0.181818
1,2,1 to 2,1976,22,8.0,5.0,0.045455
1,2,1 to 2,1977,22,6.545455,5.0,0.045455
1,2,1 to 2,1978,22,5.954545,3.0,0.045455
1,2,1 to 2,1979,26,6.769231,3.5,0.115385
1,2,1 to 2,1980,27,6.37037,3.0,0.185185
1,2,1 to 2,1981,20,8.5,5.0,0.2
1,2,1 to 2,1982,25,8.48,4.0,0.04
1,2,1 to 2,1983,35,7.457143,4.0,0.114286
1,2,1 to 2,1984,29,10.034483,8.0,0.0
1,2,1 to 2,1985,39,5.051282,3.0,0.025641
1,2,1 to 2,1986,20,4.95,4.0,0.15
1,2,1 to 2,1987,25,6.28,5.0,0.2
1,2,1 to 2,1988,20,8.15,5.5,0.05
1,2,1 to 2,1989,21,8.47619,6.0,0.047619
1,2,1 to 2,1990,21,7.904762,5.0,0.047619
1,2,1 to 2,1991,27,7.111111,5.0,0.074074
1,2,1 to 2,1992,29,9.896552,9.0,0.137931
1,2,1 to 2,1993,21,6.142857,4.0,0.142857
1,2,1 to 2,1994,22,5.954545,5.0,0.045455
1,2,1 to 2,1995,27,7.481481,5.0,0.111111
1,2,1 to 2,1996,27,5.666667,4.0,0.111111
1,2,1 to 2,1997,30,8.133333,7.0,0.033333
1,2,1 to 2,1998,24,4.416667,3.5,0.0
1,2,1 to 2,1999,43,6.534884,5.0,0.093023
1,2,1 to 2,2000,55,7.218182,6.0,0.036364
1,2,1 to 2,2001,58,5.775862,3.5,0.068966
1,2,1 to 2,2002,59,5.966102,5.0,0.050847
1,2,1 to 2,2003,65,5.815385,5.0,0.015385
1,2,1 to 2,2004,49,5.693878,4.0,0.040816
1,2,1 to 2,2005,34,5.911765,6.5,0.029412
1,2,1 to 2,2006,48,4.979167,4.0,0.041667
1,2,1 to 2,2007,70,4.171429,3.0,0.128571
1,2,1 to 2,2008,83,4.843373,4.0,0.036145
1,2,1 to 2,2009,74,5.013514,3.5,0.081081
1,2,1 to 2,2010,77,4.285714,3.0,0.051948
1,2,1 to 2,2011,78,4.576923,5.0,0.089744
1,2,1 to 2,2012,75,4.346667,3.0,0.08
1,2,1 to 2,2013,71,3.661972,2.0,0.112676
1,2,1 to 2,2014,76,4.25,3.0,0.092105
1,2,1 to 2,2015,96,3.510417,3.0,0.114583
1,2,1 to 2,2016,85,3.635294,4.0,0.129412
1,2,1 to 2,2017,81,3.654321,4.0,0.098765
1,2,1 to 2,2018,69,3.028986,3.0,0.086957
1,2,1 to 2,2019,62,2.903226,3.0,0.048387
1,2,1 to 2,2020,61,2.557377,2.0,0.098361
1,2,1 to 2,2021,45,2.111111,2.0,0.111111
1,2,1 to 2,2022,42,1.666667,2.0,0.166667
1,2,1 to 2,2023,32,1.53125,1.0,0.125
1,2,1 to 2,2024,15,1.066667,1.0,0.133333
1,2,1 to 2,2025,13,0.307692,0.0,0.692308
1,2,1 to 2,2026,1,0.0,0.0,1.0
