ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL E,1950,1930,1949,1,0,0,0,,24,0,0.0
JEL E,1950,1930,1949,5,0,0,0,,24,0,0.0
JEL E,1950,1930,1949,10,0,0,0,,24,0,0.0
JEL E,1951,1931,1950,1,26,1,26,1,30,6,0.2
JEL E,1951,1931,1950,5,26,2,26,1,30,6,0.2
JEL E,1951,1931,1950,10,26,3,26,1,30,6,0.2
JEL E,1952,1932,1951,1,54,1,1,3,42,0,0.0
JEL E,1952,1932,1951,5,54,3,5,2,42,1,0.02381
JEL E,1952,1932,1951,10,54,6,54,1,42,5,0.119048
JEL E,1953,1933,1952,1,98,1,2,3,39,0,0.0
JEL E,1953,1933,1952,5,98,5,12,2,39,1,0.025641
JEL E,1953,1933,1952,10,98,10,12,2,39,1,0.025641
JEL E,1954,1934,1953,1,133,2,6,3,40,0,0.0
JEL E,1954,1934,1953,5,133,7,26,2,40,2,0.05
JEL E,1954,1934,1953,10,133,14,26,2,40,2,0.05
JEL E,1955,1935,1954,1,179,2,10,3,39,1,0.025641
JEL E,1955,1935,1954,5,179,9,10,3,39,1,0.025641
JEL E,1955,1935,1954,10,179,18,31,2,39,4,0.102564
JEL E,1956,1936,1955,1,216,3,13,3,38,1,0.026316
JEL E,1956,1936,1955,5,216,11,13,3,38,1,0.026316
JEL E,1956,1936,1955,10,216,22,38,2,38,5,0.131579
JEL E,1957,1937,1956,1,245,3,3,4,42,1,0.02381
JEL E,1957,1937,1956,5,245,13,16,3,42,1,0.02381
JEL E,1957,1937,1956,10,245,25,50,2,42,6,0.142857
JEL E,1958,1938,1957,1,275,3,4,4,47,0,0.0
JEL E,1958,1938,1957,5,275,14,21,3,47,5,0.106383
JEL E,1958,1938,1957,10,275,28,59,2,47,11,0.234043
JEL E,1959,1939,1958,1,313,4,8,4,47,4,0.085106
JEL E,1959,1939,1958,5,313,16,28,3,47,8,0.170213
JEL E,1959,1939,1958,10,313,32,71,2,47,11,0.234043
JEL E,1960,1940,1959,1,349,4,5,5,57,3,0.052632
JEL E,1960,1940,1959,5,349,18,31,3,57,7,0.122807
JEL E,1960,1940,1959,10,349,35,79,2,57,14,0.245614
JEL E,1961,1941,1960,1,392,4,6,5,40,3,0.075
JEL E,1961,1941,1960,5,392,20,39,3,40,7,0.175
JEL E,1961,1941,1960,10,392,40,88,2,40,10,0.25
JEL E,1962,1942,1961,1,423,5,8,5,46,0,0.0
JEL E,1962,1942,1961,5,423,22,42,3,46,1,0.021739
JEL E,1962,1942,1961,10,423,43,94,2,46,6,0.130435
JEL E,1963,1943,1962,1,460,5,8,5,60,1,0.016667
JEL E,1963,1943,1962,5,460,23,47,3,60,7,0.116667
JEL E,1963,1943,1962,10,460,46,47,3,60,7,0.116667
JEL E,1964,1944,1963,1,502,6,11,5,47,2,0.042553
JEL E,1964,1944,1963,5,502,26,51,3,47,7,0.148936
JEL E,1964,1944,1963,10,502,51,51,3,47,7,0.148936
JEL E,1965,1945,1964,1,533,6,13,5,53,3,0.056604
JEL E,1965,1945,1964,5,533,27,55,3,53,6,0.113208
JEL E,1965,1945,1964,10,533,54,55,3,53,6,0.113208
JEL E,1966,1946,1965,1,574,6,6,6,64,2,0.03125
JEL E,1966,1946,1965,5,574,29,62,3,64,5,0.078125
JEL E,1966,1946,1965,10,574,58,62,3,64,5,0.078125
JEL E,1967,1947,1966,1,630,7,8,6,44,0,0.0
JEL E,1967,1947,1966,5,630,32,66,3,44,5,0.113636
