ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL E,1951,1931,1950,1,AFZ000795,G,Bach,1
JEL E,1951,1931,1950,1,AFZ002203,O,Brownlee,1
JEL E,1951,1931,1950,1,AFZ003050,John,Chipman,1
JEL E,1951,1931,1950,1,AFZ004480,C,Efroymson,1
JEL E,1951,1931,1950,1,AFZ004780,Solomon,Fabricant,1
JEL E,1951,1931,1950,1,AFZ006811,Elinor,Harris,1
JEL E,1951,1931,1950,1,AFZ007462,S,Horwitz,1
JEL E,1951,1931,1950,1,AFZ008179,Homer,Jones,1
JEL E,1951,1931,1950,1,AFZ008561,Donald,Kemmerer,1
JEL E,1951,1931,1950,1,AFZ009786,Wassily,Leontief,1
JEL E,1951,1931,1950,1,AFZ011409,Lloyd,Metzler,1
JEL E,1951,1931,1950,1,AFZ011489,Raymond,Mikesell,1
JEL E,1951,1931,1950,1,AFZ011800,NF,Morehouse,1
JEL E,1951,1931,1950,1,AFZ012091,Richard,Musgrave,1
JEL E,1951,1931,1950,1,AFZ013094,Don,Patinkin,1
JEL E,1951,1931,1950,1,AFZ013367,Cecil,Phipps,1
JEL E,1951,1931,1950,1,AFZ014042,Albert,Rees,1
JEL E,1951,1931,1950,1,AFZ014274,Lawrence,Ritter,1
JEL E,1951,1931,1950,1,AFZ014321,D,Robertson,1
JEL E,1951,1931,1950,1,AFZ015268,Joseph,Schumpeter,1
JEL E,1951,1931,1950,1,AFZ015792,Edward,Simmons,1
JEL E,1951,1931,1950,1,AFZ016507,Robert,Strotz,1
JEL E,1951,1931,1950,1,AFZ016842,Lorie,Tarshis,1
JEL E,1951,1931,1950,1,AFZ017684,Jacob,Viner,1
JEL E,1951,1931,1950,1,AFZ017962,Clark,Warburton,1
JEL E,1951,1931,1950,1,AFZ018380,Edwin,Wilson,1
JEL E,1951,1931,1950,5,AFZ000795,G,Bach,1
JEL E,1951,1931,1950,5,AFZ002203,O,Brownlee,1
JEL E,1951,1931,1950,5,AFZ003050,John,Chipman,1
JEL E,1951,1931,1950,5,AFZ004480,C,Efroymson,1
JEL E,1951,1931,1950,5,AFZ004780,Solomon,Fabricant,1
JEL E,1951,1931,1950,5,AFZ006811,Elinor,Harris,1
JEL E,1951,1931,1950,5,AFZ007462,S,Horwitz,1
JEL E,1951,1931,1950,5,AFZ008179,Homer,Jones,1
JEL E,1951,1931,1950,5,AFZ008561,Donald,Kemmerer,1
JEL E,1951,1931,1950,5,AFZ009786,Wassily,Leontief,1
JEL E,1951,1931,1950,5,AFZ011409,Lloyd,Metzler,1
JEL E,1951,1931,1950,5,AFZ011489,Raymond,Mikesell,1
JEL E,1951,1931,1950,5,AFZ011800,NF,Morehouse,1
JEL E,1951,1931,1950,5,AFZ012091,Richard,Musgrave,1
JEL E,1951,1931,1950,5,AFZ013094,Don,Patinkin,1
JEL E,1951,1931,1950,5,AFZ013367,Cecil,Phipps,1
JEL E,1951,1931,1950,5,AFZ014042,Albert,Rees,1
JEL E,1951,1931,1950,5,AFZ014274,Lawrence,Ritter,1
JEL E,1951,1931,1950,5,AFZ014321,D,Robertson,1
JEL E,1951,1931,1950,5,AFZ015268,Joseph,Schumpeter,1
JEL E,1951,1931,1950,5,AFZ015792,Edward,Simmons,1
JEL E,1951,1931,1950,5,AFZ016507,Robert,Strotz,1
JEL E,1951,1931,1950,5,AFZ016842,Lorie,Tarshis,1
JEL E,1951,1931,1950,5,AFZ017684,Jacob,Viner,1
JEL E,1951,1931,1950,5,AFZ017962,Clark,Warburton,1
JEL E,1951,1931,1950,5,AFZ018380,Edwin,Wilson,1
JEL E,1951,1931,1950,10,AFZ000795,G,Bach,1
JEL E,1951,1931,1950,10,AFZ002203,O,Brownlee,1
JEL E,1951,1931,1950,10,AFZ003050,John,Chipman,1
JEL E,1951,1931,1950,10,AFZ004480,C,Efroymson,1
JEL E,1951,1931,1950,10,AFZ004780,Solomon,Fabricant,1
JEL E,1951,1931,1950,10,AFZ006811,Elinor,Harris,1
JEL E,1951,1931,1950,10,AFZ007462,S,Horwitz,1
JEL E,1951,1931,1950,10,AFZ008179,Homer,Jones,1
JEL E,1951,1931,1950,10,AFZ008561,Donald,Kemmerer,1
JEL E,1951,1931,1950,10,AFZ009786,Wassily,Leontief,1
JEL E,1951,1931,1950,10,AFZ011409,Lloyd,Metzler,1
JEL E,1951,1931,1950,10,AFZ011489,Raymond,Mikesell,1
JEL E,1951,1931,1950,10,AFZ011800,NF,Morehouse,1
JEL E,1951,1931,1950,10,AFZ012091,Richard,Musgrave,1
JEL E,1951,1931,1950,10,AFZ013094,Don,Patinkin,1
JEL E,1951,1931,1950,10,AFZ013367,Cecil,Phipps,1
JEL E,1951,1931,1950,10,AFZ014042,Albert,Rees,1
JEL E,1951,1931,1950,10,AFZ014274,Lawrence,Ritter,1
JEL E,1951,1931,1950,10,AFZ014321,D,Robertson,1
JEL E,1951,1931,1950,10,AFZ015268,Joseph,Schumpeter,1
JEL E,1951,1931,1950,10,AFZ015792,Edward,Simmons,1
JEL E,1951,1931,1950,10,AFZ016507,Robert,Strotz,1
JEL E,1951,1931,1950,10,AFZ016842,Lorie,Tarshis,1
JEL E,1951,1931,1950,10,AFZ017684,Jacob,Viner,1
JEL E,1951,1931,1950,10,AFZ017962,Clark,Warburton,1
JEL E,1951,1931,1950,10,AFZ018380,Edwin,Wilson,1
JEL E,1952,1932,1951,1,AFZ011409,Lloyd,Metzler,3
JEL E,1952,1932,1951,5,AFZ011409,Lloyd,Metzler,3
JEL E,1952,1932,1951,5,AFZ008179,Homer,Jones,2
JEL E,1952,1932,1951,5,AFZ009786,Wassily,Leontief,2
JEL E,1952,1932,1951,5,AFZ011489,Raymond,Mikesell,2
JEL E,1952,1932,1951,5,AFZ013094,Don,Patinkin,2
JEL E,1952,1932,1951,10,AFZ011409,Lloyd,Metzler,3
JEL E,1952,1932,1951,10,AFZ008179,Homer,Jones,2
JEL E,1952,1932,1951,10,AFZ009786,Wassily,Leontief,2
JEL E,1952,1932,1951,10,AFZ011489,Raymond,Mikesell,2
JEL E,1952,1932,1951,10,AFZ013094,Don,Patinkin,2
JEL E,1952,1932,1951,10,AFZ000064,Gardner,Ackley,1
JEL E,1952,1932,1951,10,AFZ000347,Eugen,Altschul,1
JEL E,1952,1932,1951,10,AFZ000795,G,Bach,1
JEL E,1952,1932,1951,10,AFZ001616,V,Bladen,1
JEL E,1952,1932,1951,10,AFZ002133,Martin,Bronfenbrenner,1
JEL E,1952,1932,1951,10,AFZ002203,O,Brownlee,1
JEL E,1952,1932,1951,10,AFZ002252,J,Buchanan,1
JEL E,1952,1932,1951,10,AFZ003050,John,Chipman,1
JEL E,1952,1932,1951,10,AFZ003853,Gerard,Debreu,1
JEL E,1952,1932,1951,10,AFZ004406,James,Earley,1
JEL E,1952,1932,1951,10,AFZ004480,C,Efroymson,1
JEL E,1952,1932,1951,10,AFZ004780,Solomon,Fabricant,1
JEL E,1952,1932,1951,10,AFZ005412,Milton,Friedman,1
JEL E,1952,1932,1951,10,AFZ005761,Nicholas,GeorgescuRoegen,1
JEL E,1952,1932,1951,10,AFZ006111,R,Goodwin,1
JEL E,1952,1932,1951,10,AFZ006721,Alvin,Hansen,1
JEL E,1952,1932,1951,10,AFZ006811,Elinor,Harris,1
JEL E,1952,1932,1951,10,AFZ007256,Randall,Hinshaw,1
JEL E,1952,1932,1951,10,AFZ007462,S,Horwitz,1
JEL E,1952,1932,1951,10,AFZ007884,Donald,Jackson,1
JEL E,1952,1932,1951,10,AFZ008124,Harry,Johnson,1
JEL E,1952,1932,1951,10,AFZ008280,Alfred,Kahn,1
JEL E,1952,1932,1951,10,AFZ008561,Donald,Kemmerer,1
JEL E,1952,1932,1951,10,AFZ008812,L,Klein,1
JEL E,1952,1932,1951,10,AFZ011800,NF,Morehouse,1
JEL E,1952,1932,1951,10,AFZ011819,James,Morgan,1
JEL E,1952,1932,1951,10,AFZ011881,Walter,Morton,1
JEL E,1952,1932,1951,10,AFZ012091,Richard,Musgrave,1
JEL E,1952,1932,1951,10,AFZ012335,Peter,Newman,1
JEL E,1952,1932,1951,10,AFZ013367,Cecil,Phipps,1
JEL E,1952,1932,1951,10,AFZ013502,J,Polak,1
JEL E,1952,1932,1951,10,AFZ014042,Albert,Rees,1
JEL E,1952,1932,1951,10,AFZ014274,Lawrence,Ritter,1
JEL E,1952,1932,1951,10,AFZ014321,D,Robertson,1
JEL E,1952,1932,1951,10,AFZ014336,Joan,Robinson,1
JEL E,1952,1932,1951,10,AFZ014473,Raymond,Roover,1
JEL E,1952,1932,1951,10,AFZ015268,Joseph,Schumpeter,1
JEL E,1952,1932,1951,10,AFZ015322,Ira,Scott,1
JEL E,1952,1932,1951,10,AFZ015792,Edward,Simmons,1
JEL E,1952,1932,1951,10,AFZ016411,George,Stigler,1
JEL E,1952,1932,1951,10,AFZ016507,Robert,Strotz,1
JEL E,1952,1932,1951,10,AFZ016842,Lorie,Tarshis,1
JEL E,1952,1932,1951,10,AFZ017100,Jan,Tinbergen,1
JEL E,1952,1932,1951,10,AFZ017297,S,Tsiang,1
JEL E,1952,1932,1951,10,AFZ017672,Jean,Ville,1
JEL E,1952,1932,1951,10,AFZ017684,Jacob,Viner,1
JEL E,1952,1932,1951,10,AFZ017962,Clark,Warburton,1
JEL E,1952,1932,1951,10,AFZ018380,Edwin,Wilson,1
JEL E,1952,1932,1951,10,AFZ018969,Arnold,Zellner,1
JEL E,1953,1933,1952,1,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,1,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,5,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,5,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,5,AFZ002203,O,Brownlee,2
JEL E,1953,1933,1952,5,AFZ002252,J,Buchanan,2
JEL E,1953,1933,1952,5,AFZ003050,John,Chipman,2
JEL E,1953,1933,1952,5,AFZ008179,Homer,Jones,2
JEL E,1953,1933,1952,5,AFZ009786,Wassily,Leontief,2
JEL E,1953,1933,1952,5,AFZ010467,Friedrich,Lutz,2
JEL E,1953,1933,1952,5,AFZ010469,Vera,Lutz,2
JEL E,1953,1933,1952,5,AFZ011489,Raymond,Mikesell,2
JEL E,1953,1933,1952,5,AFZ014042,Albert,Rees,2
JEL E,1953,1933,1952,5,AFZ016842,Lorie,Tarshis,2
JEL E,1953,1933,1952,10,AFZ011409,Lloyd,Metzler,3
JEL E,1953,1933,1952,10,AFZ013094,Don,Patinkin,3
JEL E,1953,1933,1952,10,AFZ002203,O,Brownlee,2
JEL E,1953,1933,1952,10,AFZ002252,J,Buchanan,2
JEL E,1953,1933,1952,10,AFZ003050,John,Chipman,2
JEL E,1953,1933,1952,10,AFZ008179,Homer,Jones,2
JEL E,1953,1933,1952,10,AFZ009786,Wassily,Leontief,2
JEL E,1953,1933,1952,10,AFZ010467,Friedrich,Lutz,2
JEL E,1953,1933,1952,10,AFZ010469,Vera,Lutz,2
JEL E,1953,1933,1952,10,AFZ011489,Raymond,Mikesell,2
JEL E,1953,1933,1952,10,AFZ014042,Albert,Rees,2
JEL E,1953,1933,1952,10,AFZ016842,Lorie,Tarshis,2
JEL E,1954,1934,1953,1,AFZ006721,Alvin,Hansen,3
JEL E,1954,1934,1953,1,AFZ008812,L,Klein,3
JEL E,1954,1934,1953,1,AFZ011409,Lloyd,Metzler,3
