author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ008829,Peter,Klenow,1998,1,1,1,0,with_experienced_coauthor
AFZ003522,Guido,Cozzi,1998,1,0,0,0,solo
AFZ003707,James,Dana,1998,1,0,0,0,solo
AFZ002594,Charles,Carlstrom,1998,1,1,0,1,only_with_other_new_coauthors
AFZ005456,Timothy,Fuerst,1998,1,1,0,1,only_with_other_new_coauthors
AFZ015949,Anthony,Smith,1998,1,1,1,0,with_experienced_coauthor
AFZ013122,Christina,Paxson,1998,1,1,1,0,with_experienced_coauthor
AFZ002040,Anton,Braun,1998,1,1,1,0,with_experienced_coauthor
AFZ001604,Duncan,Black,1999,1,1,0,1,only_with_other_new_coauthors
AFZ007084,Vernon,Henderson,1999,1,1,0,1,only_with_other_new_coauthors
AFZ018550,Christopher,Worswick,1999,1,1,1,0,with_experienced_coauthor
AFZ000795,G,Bach,1950,1,0,0,0,solo
AFZ015792,Edward,Simmons,1950,1,0,0,0,solo
AFZ008561,Donald,Kemmerer,1950,1,0,0,0,solo
AFZ014042,Albert,Rees,1950,1,0,0,0,solo
AFZ008179,Homer,Jones,1950,1,0,0,0,solo
AFZ011409,Lloyd,Metzler,1950,1,0,0,0,solo
AFZ016842,Lorie,Tarshis,1950,1,0,0,0,solo
AFZ002203,Oswald,Brownlee,1950,1,0,0,0,solo
AFZ004780,Solomon,Fabricant,1950,1,0,0,0,solo
AFZ011489,Raymond,Mikesell,1950,1,0,0,0,solo
AFZ004480,C,Efroymson,1950,1,0,0,0,solo
AFZ016411,George,Stigler,1951,1,0,0,0,solo
AFZ002252,J,Buchanan,1951,1,0,0,0,solo
AFZ000064,Gardner,Ackley,1951,1,0,0,0,solo
AFZ007884,Donald,Jackson,1951,1,0,0,0,solo
AFZ005412,Milton,Friedman,1951,1,0,0,0,solo
AFZ011881,Walter,Morton,1951,1,0,0,0,solo
AFZ004406,James,Earley,1951,1,0,0,0,solo
AFZ008812,L,Klein,1951,1,0,0,0,solo
AFZ001616,V,Bladen,1951,1,0,0,0,solo
AFZ011819,James,Morgan,1951,1,0,0,0,solo
AFZ002353,Arthur,Burns,1952,1,0,0,0,solo
AFZ014583,Simon,Rottenberg,1952,1,0,0,0,solo
AFZ010824,Harry,Markowitz,1952,1,0,0,0,solo
AFZ016878,George,Taylor,1952,1,0,0,0,solo
AFZ000292,Clark,Allen,1952,1,0,0,0,solo
AFZ010160,I,Little,1952,1,0,0,0,solo
AFZ009500,John,Lansing,1952,1,1,0,1,only_with_other_new_coauthors
AFZ011041,Scott,Maynes,1952,1,1,0,1,only_with_other_new_coauthors
AFZ014470,Kenneth,Roose,1952,1,0,0,0,solo
AFZ017126,James,Tobin,1952,1,0,0,0,solo
AFZ003391,W,Cooper,1952,1,0,0,0,solo
AFZ017249,Robert,Triffin,1952,1,0,0,0,solo
AFZ006766,Arnold,Harberger,1952,1,0,0,0,solo
AFZ011594,E,Mishan,1952,1,0,0,0,solo
AFZ006510,John,Gurley,1952,1,0,0,0,solo
AFZ011177,Roland,McKean,1952,1,0,0,0,solo
AFZ009799,Abba,Lerner,1953,1,0,0,0,solo
AFZ009297,John,Kutish,1953,1,0,0,0,solo
AFZ008392,Norman,Kaplan,1953,1,0,0,0,solo
AFZ003817,Richard,Davis,1953,1,0,0,0,solo
AFZ005874,J,Gilbert,1953,1,0,0,0,solo
AFZ013481,H,Plous,1953,1,0,0,0,solo
AFZ011184,Joseph,McKenna,1953,1,0,0,0,solo
AFZ014161,Samuel,Rezneck,1953,1,0,0,0,solo
