first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,3,23,0,26,0.0,0.115385,0.884615
1951,5,22,1,28,0.035714,0.178571,0.785714
1952,15,29,0,44,0.0,0.340909,0.659091
1953,9,18,8,35,0.228571,0.257143,0.514286
1954,10,26,10,46,0.217391,0.217391,0.565217
1955,6,26,5,37,0.135135,0.162162,0.702703
1956,5,20,4,29,0.137931,0.172414,0.689655
1957,2,26,2,30,0.066667,0.066667,0.866667
1958,9,21,8,38,0.210526,0.236842,0.552632
1959,10,23,3,36,0.083333,0.277778,0.638889
1960,10,30,3,43,0.069767,0.232558,0.697674
1961,4,23,4,31,0.129032,0.129032,0.741935
1962,8,26,3,37,0.081081,0.216216,0.702703
1963,12,26,4,42,0.095238,0.285714,0.619048
1964,9,20,2,31,0.064516,0.290323,0.645161
1965,15,24,2,41,0.04878,0.365854,0.585366
1966,18,31,7,56,0.125,0.321429,0.553571
1967,8,24,3,35,0.085714,0.228571,0.685714
1968,8,17,11,36,0.305556,0.222222,0.472222
1969,12,26,7,45,0.155556,0.266667,0.577778
1970,6,31,3,40,0.075,0.15,0.775
1971,12,29,11,52,0.211538,0.230769,0.557692
1972,8,25,8,41,0.195122,0.195122,0.609756
1973,4,27,3,34,0.088235,0.117647,0.794118
1974,8,28,4,40,0.1,0.2,0.7
1975,12,37,6,55,0.109091,0.218182,0.672727
1976,9,38,4,51,0.078431,0.176471,0.745098
1977,16,25,5,46,0.108696,0.347826,0.543478
1978,19,24,4,47,0.085106,0.404255,0.510638
1979,10,22,4,36,0.111111,0.277778,0.611111
1980,29,37,15,81,0.185185,0.358025,0.45679
1981,14,24,4,42,0.095238,0.333333,0.571429
1982,15,28,17,60,0.283333,0.25,0.466667
1983,32,23,14,69,0.202899,0.463768,0.333333
1984,10,13,11,34,0.323529,0.294118,0.382353
1985,22,25,10,57,0.175439,0.385965,0.438596
1986,8,24,17,49,0.346939,0.163265,0.489796
1987,6,20,14,40,0.35,0.15,0.5
1988,10,20,11,41,0.268293,0.243902,0.487805
1989,16,15,15,46,0.326087,0.347826,0.326087
1990,25,18,12,55,0.218182,0.454545,0.327273
1991,22,23,24,69,0.347826,0.318841,0.333333
1992,26,9,16,51,0.313725,0.509804,0.176471
1993,8,9,23,40,0.575,0.2,0.225
1994,20,3,17,40,0.425,0.5,0.075
1995,13,11,5,29,0.172414,0.448276,0.37931
1996,14,11,12,37,0.324324,0.378378,0.297297
1997,18,8,9,35,0.257143,0.514286,0.228571
1998,11,12,14,37,0.378378,0.297297,0.324324
1999,22,8,19,49,0.387755,0.44898,0.163265
2000,23,8,23,54,0.425926,0.425926,0.148148
2001,27,10,22,59,0.372881,0.457627,0.169492
2002,18,16,33,67,0.492537,0.268657,0.238806
2003,16,9,40,65,0.615385,0.246154,0.138462
2004,14,9,24,47,0.510638,0.297872,0.191489
2005,15,11,20,46,0.434783,0.326087,0.23913
2006,29,4,20,53,0.377358,0.54717,0.075472
2007,35,5,20,60,0.333333,0.583333,0.083333
2008,24,13,32,69,0.463768,0.347826,0.188406
2009,23,6,33,62,0.532258,0.370968,0.096774
2010,37,9,22,68,0.323529,0.544118,0.132353
2011,49,12,38,99,0.383838,0.494949,0.121212
2012,52,12,43,107,0.401869,0.485981,0.11215
2013,36,10,29,75,0.386667,0.48,0.133333
2014,38,5,40,83,0.481928,0.457831,0.060241
2015,47,9,36,92,0.391304,0.51087,0.097826
2016,44,5,55,104,0.528846,0.423077,0.048077
2017,41,11,61,113,0.539823,0.362832,0.097345
2018,28,13,64,105,0.609524,0.266667,0.12381
2019,29,7,61,97,0.628866,0.298969,0.072165
2020,32,9,61,102,0.598039,0.313725,0.088235
2021,38,8,66,112,0.589286,0.339286,0.071429
2022,31,3,57,91,0.626374,0.340659,0.032967
2023,38,7,73,118,0.618644,0.322034,0.059322
2024,27,8,90,125,0.72,0.216,0.064
2025,43,3,58,104,0.557692,0.413462,0.028846
2026,5,2,35,42,0.833333,0.119048,0.047619
