author_id,final_first_name,final_last_name,first_top5_publication_year,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000008,Karim,Abadir,1997,1991-2000,10.1111/1467-937x.00225,1,2,1 to 2,1997,2002,5
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/1882679,1,2,1 to 2,1981,1981,0
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/1912153,2,3,2 to 3,1981,1983,2
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/2297622,3,4,3 to 4,1983,1985,2
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/1912323,4,5,4 to 5,1985,1986,1
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/1913150,5,6,5 to 6,1986,1986,0
AFZ000023,A,Abel,1981,1981-1990,10.2307/2297746,6,7,6 to 7,1986,1989,3
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/2938285,7,8,7 to 8,1989,1991,2
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/2297794,8,9,8 to 9,1991,1996,5
AFZ000023,Andrew,Abel,1981,1981-1990,10.2307/2946671,9,10,9 to 10,1996,1996,0
AFZ000023,Andrew,Abel,1981,1981-1990,10.1111/1468-0262.00417,10,11,10 to 11,1996,2003,7
AFZ000023,Andrew,Abel,1981,1981-1990,10.1111/0034-6527.00322,11,12,11 to 12,2003,2004,1
AFZ000023,Andrew,Abel,1981,1981-1990,10.1093/restud/rdr006,12,13,12 to 13,2004,2011,7
AFZ000023,Andrew,Abel,1981,1981-1990,10.3982/ecta7624,13,14,13 to 14,2011,2013,2
AFZ000023,Andrew,Abel,1981,1981-1990,10.3982/ecta22749,14,15,14 to 15,2013,2025,12
AFZ000033,Arpad,Abraham,2017,2011-2020,10.1093/restud/rdaf076,1,2,1 to 2,2017,2025,8
AFZ000046,Dilip,Abreu,1991,1991-2000,10.1111/1468-0262.00393,1,2,1 to 2,1991,2003,12
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1162/003355398555838,1,2,1 to 2,1996,1998,2
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1111/1467-937x.00226,2,3,2 to 3,1998,2002,4
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1086/432166,3,4,3 to 4,2002,2005,3
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1086/589523,4,5,4 to 5,2005,2008,3
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1111/j.1468-0262.2008.00849.x,5,6,5 to 6,2008,2008,0
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.100.2.115,6,7,6 to 7,2008,2010,2
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.100.2.83,7,8,7 to 8,2010,2010,0
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.3982/ecta9623,8,9,8 to 9,2010,2012,2
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1086/680685,9,10,9 to 10,2012,2015,3
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.20130456,10,11,10 to 11,2015,2015,0
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.p20161071,11,12,11 to 12,2015,2016,1
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.20151086,12,13,12 to 13,2016,2017,1
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.p20171101,13,14,13 to 14,2017,2017,0
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.20160696,14,15,14 to 15,2017,2018,1
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.3982/ecta15899,15,16,15 to 16,2018,2020,2
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1093/restud/rdad043,16,17,16 to 17,2020,2023,3
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1093/restud/rdae038,17,18,17 to 18,2023,2024,1
AFZ000056,Daron,Acemoglu,1996,1991-2000,10.1257/aer.115.6.1709,18,19,18 to 19,2024,2025,1
AFZ000058,Sushant,Acharya,2020,2011-2020,10.1257/aer.20200239,1,2,1 to 2,2020,2023,3
AFZ000058,Sushant,Acharya,2020,2011-2020,10.1257/aer.20240642,2,3,2 to 3,2023,2026,3
AFZ000071,Klaus,Adam,2003,2001-2010,10.1257/aer.20171066,1,2,1 to 2,2003,2019,16
AFZ000093,M,Adelman,1957,,10.2307/1883202,1,2,1 to 2,1957,1961,4
AFZ000103,Tobias,Adrian,2009,2001-2010,10.1257/aer.20120555,1,2,1 to 2,2009,2016,7
AFZ000103,Tobias,Adrian,2009,2001-2010,10.1257/aer.20161923,2,3,2 to 3,2016,2019,3
AFZ000111,Hassan,Afrouzi,2024,,10.3982/ecta22764,1,2,1 to 2,2024,2025,1
AFZ000111,Hassan,Afrouzi,2024,,10.1093/qje/qjag007,2,3,2 to 3,2025,2026,1
AFZ000111,Hassan,Afrouzi,2024,,10.1257/aer.20241925,3,4,3 to 4,2026,2026,0
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1257/aer.104.12.4205,1,2,1 to 2,2007,2014,7
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1086/691701,2,3,2 to 3,2014,2017,3
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/qje/qjx027,3,4,3 to 4,2017,2017,0
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/restud/rdac039,4,5,4 to 5,2017,2022,5
AFZ000134,Philippe,Aghion,1992,1991-2000,10.2307/2297900,1,2,1 to 2,1992,1994,2
AFZ000134,Philippe,Aghion,1992,1991-2000,10.2307/2971707,2,3,2 to 3,1994,1997,3
AFZ000134,Philippe,Aghion,1992,1991-2000,10.1162/003355399556296,3,4,3 to 4,1997,1999,2
AFZ000134,Philippe,Aghion,1992,1991-2000,10.1111/1468-0262.00312,4,5,4 to 5,1999,2002,3
