from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,13,2.076923,2.0,0.0
1,2,1 to 2,1951,15,4.4,3.0,0.0
1,2,1 to 2,1952,19,4.526316,2.0,0.105263
1,2,1 to 2,1953,11,10.454545,6.0,0.0
1,2,1 to 2,1954,20,5.55,5.0,0.0
1,2,1 to 2,1955,14,4.428571,2.0,0.0
1,2,1 to 2,1956,4,3.0,3.0,0.25
1,2,1 to 2,1957,12,6.75,3.5,0.083333
1,2,1 to 2,1958,15,3.666667,4.0,0.2
1,2,1 to 2,1959,12,7.166667,4.0,0.0
1,2,1 to 2,1960,10,5.6,4.0,0.0
1,2,1 to 2,1961,8,7.0,4.0,0.0
1,2,1 to 2,1962,12,3.25,3.0,0.083333
1,2,1 to 2,1963,13,6.384615,3.0,0.153846
1,2,1 to 2,1964,9,8.888889,7.0,0.111111
1,2,1 to 2,1965,13,4.692308,2.0,0.076923
1,2,1 to 2,1966,13,6.0,2.0,0.307692
1,2,1 to 2,1967,18,5.388889,3.0,0.0
1,2,1 to 2,1968,11,8.181818,3.0,0.0
1,2,1 to 2,1969,18,6.611111,7.0,0.111111
1,2,1 to 2,1970,13,4.307692,2.0,0.230769
1,2,1 to 2,1971,16,9.875,4.0,0.0
1,2,1 to 2,1972,14,4.357143,2.0,0.142857
1,2,1 to 2,1973,7,8.714286,4.0,0.0
1,2,1 to 2,1974,11,7.636364,4.0,0.0
1,2,1 to 2,1975,12,5.916667,2.5,0.0
1,2,1 to 2,1976,18,13.166667,8.5,0.111111
1,2,1 to 2,1977,15,2.933333,2.0,0.133333
1,2,1 to 2,1978,13,5.769231,3.0,0.0
1,2,1 to 2,1979,11,2.727273,2.0,0.181818
1,2,1 to 2,1980,24,9.541667,4.0,0.166667
1,2,1 to 2,1981,19,7.684211,5.0,0.052632
1,2,1 to 2,1982,30,7.933333,4.5,0.133333
1,2,1 to 2,1983,23,8.304348,5.0,0.043478
1,2,1 to 2,1984,16,6.0625,2.0,0.0625
1,2,1 to 2,1985,30,5.666667,3.0,0.2
1,2,1 to 2,1986,18,6.833333,3.0,0.055556
1,2,1 to 2,1987,19,5.789474,4.0,0.052632
1,2,1 to 2,1988,22,6.636364,3.0,0.0
1,2,1 to 2,1989,17,6.705882,6.0,0.117647
1,2,1 to 2,1990,15,4.4,3.0,0.133333
1,2,1 to 2,1991,33,5.666667,3.0,0.030303
1,2,1 to 2,1992,22,8.545455,8.0,0.0
1,2,1 to 2,1993,17,8.764706,7.0,0.117647
1,2,1 to 2,1994,19,8.526316,8.0,0.0
1,2,1 to 2,1995,9,8.222222,5.0,0.0
1,2,1 to 2,1996,13,6.461538,5.0,0.076923
1,2,1 to 2,1997,21,4.52381,4.0,0.047619
1,2,1 to 2,1998,16,5.1875,4.0,0.0625
1,2,1 to 2,1999,20,5.45,6.5,0.05
1,2,1 to 2,2000,25,6.88,6.0,0.12
1,2,1 to 2,2001,18,5.055556,4.0,0.0
1,2,1 to 2,2002,28,5.392857,3.5,0.0
1,2,1 to 2,2003,32,7.28125,5.0,0.03125
1,2,1 to 2,2004,17,5.352941,6.0,0.058824
1,2,1 to 2,2005,14,8.785714,6.5,0.0
1,2,1 to 2,2006,24,5.916667,4.5,0.083333
1,2,1 to 2,2007,31,4.677419,3.0,0.225806
1,2,1 to 2,2008,28,4.107143,4.0,0.071429
1,2,1 to 2,2009,36,5.138889,4.0,0.055556
1,2,1 to 2,2010,31,5.967742,5.0,0.096774
1,2,1 to 2,2011,45,3.955556,3.0,0.066667
1,2,1 to 2,2012,42,3.333333,3.0,0.190476
1,2,1 to 2,2013,26,3.692308,3.0,0.076923
1,2,1 to 2,2014,30,3.9,3.0,0.1
1,2,1 to 2,2015,19,3.421053,3.0,0.210526
1,2,1 to 2,2016,41,4.073171,4.0,0.097561
1,2,1 to 2,2017,49,3.755102,4.0,0.081633
1,2,1 to 2,2018,32,2.875,2.5,0.125
1,2,1 to 2,2019,24,2.375,2.0,0.083333
1,2,1 to 2,2020,32,2.46875,2.0,0.09375
1,2,1 to 2,2021,28,2.428571,2.0,0.107143
1,2,1 to 2,2022,19,2.0,2.0,0.210526
1,2,1 to 2,2023,17,1.705882,2.0,0.058824
1,2,1 to 2,2024,12,1.166667,1.0,0.083333
1,2,1 to 2,2025,7,0.285714,0.0,0.714286
1,2,1 to 2,2026,1,0.0,0.0,1.0
