publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
1950,1930,1949,1,0,0,0,,13,0,0.0
1950,1930,1949,5,0,0,0,,13,0,0.0
1950,1930,1949,10,0,0,0,,13,0,0.0
1951,1931,1950,1,14,1,14,1,17,2,0.117647
1951,1931,1950,5,14,1,14,1,17,2,0.117647
1951,1931,1950,10,14,2,14,1,17,2,0.117647
1952,1932,1951,1,28,1,4,2,17,1,0.058824
1952,1932,1951,5,28,2,4,2,17,1,0.058824
1952,1932,1951,10,28,3,4,2,17,1,0.058824
1953,1933,1952,1,44,1,1,3,14,0,0.0
1953,1933,1952,5,44,3,4,2,14,0,0.0
1953,1933,1952,10,44,5,44,1,14,1,0.071429
1954,1934,1953,1,57,1,1,3,25,1,0.04
1954,1934,1953,5,57,3,5,2,25,1,0.04
1954,1934,1953,10,57,6,57,1,25,6,0.24
1955,1935,1954,1,80,1,1,4,21,1,0.047619
1955,1935,1954,5,80,4,11,2,21,1,0.047619
1955,1935,1954,10,80,8,11,2,21,1,0.047619
1956,1936,1955,1,104,2,2,3,20,1,0.05
1956,1936,1955,5,104,6,17,2,20,3,0.15
1956,1936,1955,10,104,11,17,2,20,3,0.15
1957,1937,1956,1,119,2,5,3,13,0,0.0
1957,1937,1956,5,119,6,21,2,13,1,0.076923
1957,1937,1956,10,119,12,21,2,13,1,0.076923
1958,1938,1957,1,128,2,6,3,16,1,0.0625
1958,1938,1957,5,128,7,25,2,16,2,0.125
1958,1938,1957,10,128,13,25,2,16,2,0.125
1959,1939,1958,1,141,2,9,3,14,1,0.071429
1959,1939,1958,5,141,8,9,3,14,1,0.071429
1959,1939,1958,10,141,15,29,2,14,1,0.071429
1960,1940,1959,1,157,2,2,4,19,0,0.0
1960,1940,1959,5,157,8,9,3,19,1,0.052632
1960,1940,1959,10,157,16,31,2,19,2,0.105263
1961,1941,1960,1,173,2,5,4,9,0,0.0
1961,1941,1960,5,173,9,12,3,9,0,0.0
1961,1941,1960,10,173,18,35,2,9,2,0.222222
1962,1942,1961,1,179,2,5,4,19,0,0.0
1962,1942,1961,5,179,9,14,3,19,0,0.0
1962,1942,1961,10,179,18,36,2,19,4,0.210526
1963,1943,1962,1,193,2,5,4,13,0,0.0
1963,1943,1962,5,193,10,19,3,13,2,0.153846
1963,1943,1962,10,193,20,40,2,13,3,0.230769
1964,1944,1963,1,204,3,7,4,19,1,0.052632
1964,1944,1963,5,204,11,20,3,19,3,0.157895
1964,1944,1963,10,204,21,43,2,19,6,0.315789
1965,1945,1964,1,214,3,9,4,21,2,0.095238
1965,1945,1964,5,214,11,23,3,21,3,0.142857
1965,1945,1964,10,214,22,23,3,21,3,0.142857
1966,1946,1965,1,228,3,3,5,26,3,0.115385
1966,1946,1965,5,228,12,25,3,26,5,0.192308
1966,1946,1965,10,228,23,25,3,26,5,0.192308
1967,1947,1966,1,249,3,3,6,16,0,0.0
1967,1947,1966,5,249,13,25,3,16,4,0.25
1967,1947,1966,10,249,25,25,3,16,4,0.25
1968,1948,1967,1,264,3,4,6,17,2,0.117647
1968,1948,1967,5,264,14,14,4,17,2,0.117647
1968,1948,1967,10,264,27,55,2,17,2,0.117647
1969,1949,1968,1,279,3,3,7,14,0,0.0
1969,1949,1968,5,279,14,14,4,14,3,0.214286
1969,1949,1968,10,279,28,58,2,14,4,0.285714
1970,1950,1969,1,293,3,5,7,17,1,0.058824
1970,1950,1969,5,293,15,28,3,17,1,0.058824
1970,1950,1969,10,293,30,60,2,17,1,0.058824
1971,1951,1970,1,299,3,5,7,29,0,0.0
1971,1951,1970,5,299,15,27,3,29,3,0.103448
1971,1951,1970,10,299,30,60,2,29,5,0.172414
1972,1952,1971,1,314,4,4,7,21,2,0.095238
1972,1952,1971,5,314,16,26,3,21,2,0.095238
1972,1952,1971,10,314,32,57,2,21,2,0.095238
1973,1953,1972,1,322,4,4,7,15,1,0.066667
1973,1953,1972,5,322,17,25,3,15,1,0.066667
1973,1953,1972,10,322,33,60,2,15,3,0.2
1974,1954,1973,1,321,4,4,7,12,1,0.083333
1974,1954,1973,5,321,17,25,3,12,3,0.25
1974,1954,1973,10,321,33,61,2,12,3,0.25
1975,1955,1974,1,312,4,4,7,18,0,0.0
1975,1955,1974,5,312,16,25,3,18,0,0.0
1975,1955,1974,10,312,32,55,2,18,0,0.0
1976,1956,1975,1,305,4,4,7,24,1,0.041667
1976,1956,1975,5,305,16,20,3,24,1,0.041667
1976,1956,1975,10,305,31,56,2,24,2,0.083333
1977,1957,1976,1,312,4,4,6,23,1,0.043478
1977,1957,1976,5,312,16,18,3,23,3,0.130435
1977,1957,1976,10,312,32,57,2,23,4,0.173913
1978,1958,1977,1,324,4,5,6,21,1,0.047619
1978,1958,1977,5,324,17,19,3,21,1,0.047619
1978,1958,1977,10,324,33,58,2,21,6,0.285714
1979,1959,1978,1,325,4,5,6,19,1,0.052632
1979,1959,1978,5,325,17,25,3,19,2,0.105263
1979,1959,1978,10,325,33,54,2,19,2,0.105263
1980,1960,1979,1,330,4,5,6,34,2,0.058824
1980,1960,1979,5,330,17,25,3,34,4,0.117647
1980,1960,1979,10,330,33,52,2,34,7,0.205882
1981,1961,1980,1,347,4,5,6,24,1,0.041667
1981,1961,1980,5,347,18,28,3,24,4,0.166667
1981,1961,1980,10,347,35,54,2,24,5,0.208333
1982,1962,1981,1,358,4,6,6,29,1,0.034483
1982,1962,1981,5,358,18,29,3,29,3,0.103448
1982,1962,1981,10,358,36,61,2,29,6,0.206897
1983,1963,1982,1,364,4,6,6,22,3,0.136364
1983,1963,1982,5,364,19,32,3,22,6,0.272727
1983,1963,1982,10,364,37,69,2,22,7,0.318182
1984,1964,1983,1,385,4,4,7,16,1,0.0625
1984,1964,1983,5,385,20,32,3,16,3,0.1875
1984,1964,1983,10,385,39,67,2,16,5,0.3125
1985,1965,1984,1,389,4,4,7,21,2,0.095238
1985,1965,1984,5,389,20,33,3,21,3,0.142857
1985,1965,1984,10,389,39,66,2,21,4,0.190476
1986,1966,1985,1,395,4,5,6,24,1,0.041667
1986,1966,1985,5,395,20,32,3,24,3,0.125
1986,1966,1985,10,395,40,67,2,24,6,0.25
1987,1967,1986,1,398,4,4,6,16,2,0.125
1987,1967,1986,5,398,20,31,3,16,3,0.1875
1987,1967,1986,10,398,40,70,2,16,4,0.25
1988,1968,1987,1,401,5,11,5,12,1,0.083333
1988,1968,1987,5,401,21,31,3,12,3,0.25
1988,1968,1987,10,401,41,70,2,12,5,0.416667
1989,1969,1988,1,393,4,4,7,18,1,0.055556
