ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL F,1951,1931,1950,1,AFZ003035,Frank,Child,1
JEL F,1951,1931,1950,1,AFZ004307,James,Duesenberry,1
JEL F,1951,1931,1950,1,AFZ004571,G,Elliott,1
JEL F,1951,1931,1950,1,AFZ006766,Arnold,Harberger,1
JEL F,1951,1931,1950,1,AFZ007184,Addison,Hickman,1
JEL F,1951,1931,1950,1,AFZ007190,John,Hicks,1
JEL F,1951,1931,1950,1,AFZ008577,Charles,Kennedy,1
JEL F,1951,1931,1950,1,AFZ011409,Lloyd,Metzler,1
JEL F,1951,1931,1950,1,AFZ011489,Raymond,Mikesell,1
JEL F,1951,1931,1950,1,AFZ016197,Joseph,Spengler,1
JEL F,1951,1931,1950,1,AFZ016447,Wolfgang,Stolper,1
JEL F,1951,1931,1950,1,AFZ017684,Jacob,Viner,1
JEL F,1951,1931,1950,1,AFZ017744,Robert,Voorhis,1
JEL F,1951,1931,1950,1,AFZ018445,Lawrence,Witt,1
JEL F,1951,1931,1950,5,AFZ003035,Frank,Child,1
JEL F,1951,1931,1950,5,AFZ004307,James,Duesenberry,1
JEL F,1951,1931,1950,5,AFZ004571,G,Elliott,1
JEL F,1951,1931,1950,5,AFZ006766,Arnold,Harberger,1
JEL F,1951,1931,1950,5,AFZ007184,Addison,Hickman,1
JEL F,1951,1931,1950,5,AFZ007190,John,Hicks,1
JEL F,1951,1931,1950,5,AFZ008577,Charles,Kennedy,1
JEL F,1951,1931,1950,5,AFZ011409,Lloyd,Metzler,1
JEL F,1951,1931,1950,5,AFZ011489,Raymond,Mikesell,1
JEL F,1951,1931,1950,5,AFZ016197,Joseph,Spengler,1
JEL F,1951,1931,1950,5,AFZ016447,Wolfgang,Stolper,1
JEL F,1951,1931,1950,5,AFZ017684,Jacob,Viner,1
JEL F,1951,1931,1950,5,AFZ017744,Robert,Voorhis,1
JEL F,1951,1931,1950,5,AFZ018445,Lawrence,Witt,1
JEL F,1951,1931,1950,10,AFZ003035,Frank,Child,1
JEL F,1951,1931,1950,10,AFZ004307,James,Duesenberry,1
JEL F,1951,1931,1950,10,AFZ004571,G,Elliott,1
JEL F,1951,1931,1950,10,AFZ006766,Arnold,Harberger,1
JEL F,1951,1931,1950,10,AFZ007184,Addison,Hickman,1
JEL F,1951,1931,1950,10,AFZ007190,John,Hicks,1
JEL F,1951,1931,1950,10,AFZ008577,Charles,Kennedy,1
JEL F,1951,1931,1950,10,AFZ011409,Lloyd,Metzler,1
JEL F,1951,1931,1950,10,AFZ011489,Raymond,Mikesell,1
JEL F,1951,1931,1950,10,AFZ016197,Joseph,Spengler,1
JEL F,1951,1931,1950,10,AFZ016447,Wolfgang,Stolper,1
JEL F,1951,1931,1950,10,AFZ017684,Jacob,Viner,1
JEL F,1951,1931,1950,10,AFZ017744,Robert,Voorhis,1
JEL F,1951,1931,1950,10,AFZ018445,Lawrence,Witt,1
JEL F,1952,1932,1951,1,AFZ007184,Addison,Hickman,2
JEL F,1952,1932,1951,1,AFZ007190,John,Hicks,2
JEL F,1952,1932,1951,1,AFZ008745,Charles,Kindleberger,2
JEL F,1952,1932,1951,1,AFZ014838,Virgil,Salera,2
JEL F,1952,1932,1951,5,AFZ007184,Addison,Hickman,2
JEL F,1952,1932,1951,5,AFZ007190,John,Hicks,2
JEL F,1952,1932,1951,5,AFZ008745,Charles,Kindleberger,2
JEL F,1952,1932,1951,5,AFZ014838,Virgil,Salera,2
JEL F,1952,1932,1951,10,AFZ007184,Addison,Hickman,2
JEL F,1952,1932,1951,10,AFZ007190,John,Hicks,2
JEL F,1952,1932,1951,10,AFZ008745,Charles,Kindleberger,2
JEL F,1952,1932,1951,10,AFZ014838,Virgil,Salera,2
JEL F,1953,1933,1952,1,AFZ008745,Charles,Kindleberger,3
JEL F,1953,1933,1952,5,AFZ008745,Charles,Kindleberger,3
JEL F,1953,1933,1952,5,AFZ007184,Addison,Hickman,2
JEL F,1953,1933,1952,5,AFZ007190,John,Hicks,2
JEL F,1953,1933,1952,5,AFZ014838,Virgil,Salera,2
JEL F,1953,1933,1952,10,AFZ008745,Charles,Kindleberger,3
JEL F,1953,1933,1952,10,AFZ007184,Addison,Hickman,2
JEL F,1953,1933,1952,10,AFZ007190,John,Hicks,2
JEL F,1953,1933,1952,10,AFZ014838,Virgil,Salera,2
JEL F,1953,1933,1952,10,AFZ000893,Richard,Baldwin,1
JEL F,1953,1933,1952,10,AFZ001147,William,Baumol,1
JEL F,1953,1933,1952,10,AFZ003035,Frank,Child,1
JEL F,1953,1933,1952,10,AFZ004307,James,Duesenberry,1
JEL F,1953,1933,1952,10,AFZ004323,Eleanor,Dulles,1
JEL F,1953,1933,1952,10,AFZ004571,G,Elliott,1
JEL F,1953,1933,1952,10,AFZ005044,Frank,Fetter,1
JEL F,1953,1933,1952,10,AFZ006766,Arnold,Harberger,1
JEL F,1953,1933,1952,10,AFZ007174,Ervin,Hexner,1
JEL F,1953,1933,1952,10,AFZ007215,Folke,Hilgerdt,1
JEL F,1953,1933,1952,10,AFZ007256,Randall,Hinshaw,1
JEL F,1953,1933,1952,10,AFZ007267,Albert,Hirschman,1
JEL F,1953,1933,1952,10,AFZ007319,Oleg,Hoeffding,1
JEL F,1953,1933,1952,10,AFZ007426,Calvin,Hoover,1
JEL F,1953,1933,1952,10,AFZ007464,Bert,Hoselitz,1
JEL F,1953,1933,1952,10,AFZ008280,Alfred,Kahn,1
JEL F,1953,1933,1952,10,AFZ008577,Charles,Kennedy,1
JEL F,1953,1933,1952,10,AFZ008846,Fred,Klopstock,1
JEL F,1953,1933,1952,10,AFZ009120,Irving,Kravis,1
JEL F,1953,1933,1952,10,AFZ009799,Abba,Lerner,1
JEL F,1953,1933,1952,10,AFZ009832,J,Letiche,1
JEL F,1953,1933,1952,10,AFZ010928,Edward,Mason,1
JEL F,1953,1933,1952,10,AFZ011113,Samuel,McCulloch,1
JEL F,1953,1933,1952,10,AFZ011273,Gerald,Meier,1
JEL F,1953,1933,1952,10,AFZ011409,Lloyd,Metzler,1
JEL F,1953,1933,1952,10,AFZ011489,Raymond,Mikesell,1
JEL F,1953,1933,1952,10,AFZ012066,Carter,Murphy,1
JEL F,1953,1933,1952,10,AFZ012367,William,Nicholls,1
JEL F,1953,1933,1952,10,AFZ013099,Gardner,Patterson,1
JEL F,1953,1933,1952,10,AFZ013502,J,Polak,1
JEL F,1953,1933,1952,10,AFZ014044,G,Rees,1
JEL F,1953,1933,1952,10,AFZ014091,Stanley,Reiter,1
JEL F,1953,1933,1952,10,AFZ015792,Edward,Simmons,1
JEL F,1953,1933,1952,10,AFZ016197,Joseph,Spengler,1
JEL F,1953,1933,1952,10,AFZ016447,Wolfgang,Stolper,1
JEL F,1953,1933,1952,10,AFZ016893,O,Taylor,1
JEL F,1953,1933,1952,10,AFZ017100,Jan,Tinbergen,1
JEL F,1953,1933,1952,10,AFZ017684,Jacob,Viner,1
JEL F,1953,1933,1952,10,AFZ017744,Robert,Voorhis,1
JEL F,1953,1933,1952,10,AFZ018445,Lawrence,Witt,1
JEL F,1954,1934,1953,1,AFZ008745,Charles,Kindleberger,3
JEL F,1954,1934,1953,5,AFZ008745,Charles,Kindleberger,3
JEL F,1954,1934,1953,5,AFZ006766,Arnold,Harberger,2
JEL F,1954,1934,1953,5,AFZ007184,Addison,Hickman,2
JEL F,1954,1934,1953,5,AFZ007190,John,Hicks,2
JEL F,1954,1934,1953,5,AFZ014838,Virgil,Salera,2
JEL F,1954,1934,1953,10,AFZ008745,Charles,Kindleberger,3
JEL F,1954,1934,1953,10,AFZ006766,Arnold,Harberger,2
JEL F,1954,1934,1953,10,AFZ007184,Addison,Hickman,2
JEL F,1954,1934,1953,10,AFZ007190,John,Hicks,2
JEL F,1954,1934,1953,10,AFZ014838,Virgil,Salera,2
JEL F,1954,1934,1953,10,AFZ000893,Richard,Baldwin,1
JEL F,1954,1934,1953,10,AFZ001147,William,Baumol,1
JEL F,1954,1934,1953,10,AFZ001692,Arthur,Bloomfield,1
JEL F,1954,1934,1953,10,AFZ002123,Henry,Brodie,1
JEL F,1954,1934,1953,10,AFZ003035,Frank,Child,1
JEL F,1954,1934,1953,10,AFZ003374,Hedley,Cooke,1
JEL F,1954,1934,1953,10,AFZ004307,James,Duesenberry,1
JEL F,1954,1934,1953,10,AFZ004323,Eleanor,Dulles,1
JEL F,1954,1934,1953,10,AFZ004414,Harry,Eastman,1
JEL F,1954,1934,1953,10,AFZ004571,G,Elliott,1
JEL F,1954,1934,1953,10,AFZ005044,Frank,Fetter,1
JEL F,1954,1934,1953,10,AFZ005791,Alexander,Gerschenkron,1
JEL F,1954,1934,1953,10,AFZ005911,Norton,Ginsburg,1
JEL F,1954,1934,1953,10,AFZ006545,Ernst,Haas,1
