publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,14,14,1.0,13,13,1.0
1951,14,16,0.875,16,17,0.941176
1952,16,17,0.941176,16,17,0.941176
1953,13,14,0.928571,13,14,0.928571
1954,23,28,0.821429,20,25,0.8
1955,24,31,0.774194,18,21,0.857143
1956,15,21,0.714286,15,20,0.75
1957,9,14,0.642857,8,13,0.615385
1958,13,21,0.619048,12,16,0.75
1959,16,19,0.842105,12,14,0.857143
1960,16,24,0.666667,16,19,0.842105
1961,6,9,0.666667,6,9,0.666667
1962,14,22,0.636364,13,19,0.684211
1963,11,16,0.6875,10,13,0.769231
1964,10,20,0.5,9,19,0.473684
1965,14,20,0.7,16,21,0.761905
1966,21,26,0.807692,19,26,0.730769
1967,15,20,0.75,11,16,0.6875
1968,15,20,0.75,13,17,0.764706
1969,14,19,0.736842,12,14,0.857143
1970,15,19,0.789474,14,17,0.823529
1971,26,29,0.896552,24,29,0.827586
1972,18,26,0.692308,14,21,0.666667
1973,11,15,0.733333,11,15,0.733333
1974,9,15,0.6,8,12,0.666667
1975,15,17,0.882353,16,18,0.888889
1976,19,28,0.678571,18,24,0.75
1977,20,29,0.689655,19,23,0.826087
1978,13,22,0.590909,15,21,0.714286
1979,20,23,0.869565,18,19,0.947368
1980,34,49,0.693878,24,34,0.705882
1981,18,30,0.6,17,24,0.708333
1982,23,39,0.589744,18,29,0.62069
1983,29,38,0.763158,18,22,0.818182
1984,14,19,0.736842,14,16,0.875
1985,17,27,0.62963,14,21,0.666667
1986,21,34,0.617647,17,24,0.708333
1987,18,26,0.692308,14,16,0.875
1988,8,16,0.5,7,12,0.583333
1989,13,27,0.481481,10,18,0.555556
1990,12,16,0.75,9,12,0.75
1991,22,36,0.611111,14,22,0.636364
1992,9,16,0.5625,7,11,0.636364
1993,12,18,0.666667,9,11,0.818182
1994,16,20,0.8,10,11,0.909091
1995,8,15,0.533333,5,9,0.555556
1996,14,20,0.7,10,12,0.833333
1997,12,13,0.923077,7,7,1.0
1998,12,16,0.75,8,10,0.8
1999,35,43,0.813953,19,23,0.826087
2000,32,52,0.615385,23,32,0.71875
2001,40,66,0.606061,24,36,0.666667
2002,36,64,0.5625,23,35,0.657143
2003,46,69,0.666667,31,40,0.775
2004,29,60,0.483333,22,36,0.611111
2005,42,72,0.583333,27,36,0.75
2006,36,57,0.631579,22,29,0.758621
2007,37,69,0.536232,22,33,0.666667
2008,38,74,0.513514,26,36,0.722222
2009,33,67,0.492537,21,33,0.636364
2010,54,104,0.519231,36,54,0.666667
2011,52,98,0.530612,31,45,0.688889
2012,71,116,0.612069,42,54,0.777778
2013,42,76,0.552632,25,33,0.757576
2014,43,92,0.467391,30,40,0.75
2015,28,72,0.388889,19,32,0.59375
2016,49,97,0.505155,32,47,0.680851
2017,49,89,0.550562,26,39,0.666667
2018,40,78,0.512821,22,32,0.6875
2019,65,108,0.601852,37,46,0.804348
2020,37,74,0.5,23,32,0.71875
2021,54,83,0.650602,30,33,0.909091
2022,52,85,0.611765,26,31,0.83871
2023,80,139,0.57554,45,53,0.849057
2024,39,75,0.52,27,32,0.84375
2025,60,112,0.535714,31,43,0.72093
2026,33,63,0.52381,17,23,0.73913
