first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,2,12,0,14,0.0,0.142857,0.857143
1951,0,13,1,14,0.071429,0.0,0.928571
1952,0,16,0,16,0.0,0.0,1.0
1953,0,13,0,13,0.0,0.0,1.0
1954,7,15,1,23,0.043478,0.304348,0.652174
1955,11,11,2,24,0.083333,0.458333,0.458333
1956,0,12,3,15,0.2,0.0,0.8
1957,2,7,0,9,0.0,0.222222,0.777778
1958,2,11,0,13,0.0,0.153846,0.846154
1959,7,8,1,16,0.0625,0.4375,0.5
1960,4,10,2,16,0.125,0.25,0.625
1961,0,6,0,6,0.0,0.0,1.0
1962,2,10,2,14,0.142857,0.142857,0.714286
1963,3,6,2,11,0.181818,0.272727,0.545455
1964,2,8,0,10,0.0,0.2,0.8
1965,0,12,2,14,0.142857,0.0,0.857143
1966,5,16,0,21,0.0,0.238095,0.761905
1967,6,7,2,15,0.133333,0.4,0.466667
1968,4,9,2,15,0.133333,0.266667,0.6
1969,4,7,3,14,0.214286,0.285714,0.5
1970,2,12,1,15,0.066667,0.133333,0.8
1971,4,22,0,26,0.0,0.153846,0.846154
1972,8,10,0,18,0.0,0.444444,0.555556
1973,0,11,0,11,0.0,0.0,1.0
1974,2,6,1,9,0.111111,0.222222,0.666667
1975,2,13,0,15,0.0,0.133333,0.866667
1976,2,15,2,19,0.105263,0.105263,0.789474
1977,2,14,4,20,0.2,0.1,0.7
1978,0,9,4,13,0.307692,0.0,0.692308
1979,4,14,2,20,0.1,0.2,0.7
1980,17,12,5,34,0.147059,0.5,0.352941
1981,3,12,3,18,0.166667,0.166667,0.666667
1982,12,9,2,23,0.086957,0.521739,0.391304
1983,20,5,4,29,0.137931,0.689655,0.172414
1984,2,9,3,14,0.214286,0.142857,0.642857
1985,5,12,0,17,0.0,0.294118,0.705882
1986,10,8,3,21,0.142857,0.47619,0.380952
1987,8,6,4,18,0.222222,0.444444,0.333333
1988,2,3,3,8,0.375,0.25,0.375
1989,4,4,5,13,0.384615,0.307692,0.307692
1990,7,4,1,12,0.083333,0.583333,0.333333
1991,16,3,3,22,0.136364,0.727273,0.136364
1992,2,4,3,9,0.333333,0.222222,0.444444
1993,7,2,3,12,0.25,0.583333,0.166667
1994,12,2,2,16,0.125,0.75,0.125
1995,6,2,0,8,0.0,0.75,0.25
1996,8,4,2,14,0.142857,0.571429,0.285714
1997,7,3,2,12,0.166667,0.583333,0.25
1998,9,2,1,12,0.083333,0.75,0.166667
1999,26,3,6,35,0.171429,0.742857,0.085714
2000,14,9,9,32,0.28125,0.4375,0.28125
2001,28,6,6,40,0.15,0.7,0.15
2002,22,3,11,36,0.305556,0.611111,0.083333
2003,16,11,19,46,0.413043,0.347826,0.23913
2004,10,5,14,29,0.482759,0.344828,0.172414
2005,17,6,19,42,0.452381,0.404762,0.142857
2006,22,3,11,36,0.305556,0.611111,0.083333
2007,22,3,12,37,0.324324,0.594595,0.081081
2008,12,6,20,38,0.526316,0.315789,0.157895
2009,18,4,11,33,0.333333,0.545455,0.121212
2010,24,4,26,54,0.481481,0.444444,0.074074
2011,19,8,25,52,0.480769,0.365385,0.153846
2012,32,4,35,71,0.492958,0.450704,0.056338
2013,22,4,16,42,0.380952,0.52381,0.095238
2014,16,3,24,43,0.55814,0.372093,0.069767
2015,8,2,18,28,0.642857,0.285714,0.071429
2016,16,9,24,49,0.489796,0.326531,0.183673
2017,30,4,15,49,0.306122,0.612245,0.081633
2018,16,4,20,40,0.5,0.4,0.1
2019,32,6,27,65,0.415385,0.492308,0.092308
2020,18,1,18,37,0.486486,0.486486,0.027027
2021,28,4,22,54,0.407407,0.518519,0.074074
2022,24,2,26,52,0.5,0.461538,0.038462
2023,35,3,42,80,0.525,0.4375,0.0375
2024,9,7,23,39,0.589744,0.230769,0.179487
2025,33,2,25,60,0.416667,0.55,0.033333
2026,8,2,23,33,0.69697,0.242424,0.060606
