entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,55,7.545455,6.0,0.090909
1981-1990,2,3,2 to 3,22,4.636364,3.0,0.045455
1981-1990,3,4,3 to 4,14,5.714286,5.0,0.214286
1981-1990,4,5,4 to 5,10,4.1,2.0,0.1
1981-1990,5,6,5 to 6,9,2.555556,2.0,0.222222
1981-1990,6,7,6 to 7,8,2.0,1.0,0.25
1981-1990,7,8,7 to 8,8,3.0,3.0,0.125
1981-1990,8,9,8 to 9,8,4.125,5.0,0.125
1981-1990,9,10,9 to 10,8,4.5,3.5,0.0
1981-1990,10,11,10 to 11,3,0.666667,1.0,0.333333
1981-1990,11,12,11 to 12,3,2.666667,0.0,0.666667
1981-1990,12,13,12 to 13,2,4.5,4.5,0.0
1981-1990,13,14,13 to 14,1,2.0,2.0,0.0
1981-1990,14,15,14 to 15,1,1.0,1.0,0.0
1981-1990,15,16,15 to 16,1,1.0,1.0,0.0
1981-1990,16,17,16 to 17,1,2.0,2.0,0.0
1981-1990,17,18,17 to 18,1,1.0,1.0,0.0
1981-1990,18,19,18 to 19,1,1.0,1.0,0.0
1981-1990,19,20,19 to 20,1,2.0,2.0,0.0
1981-1990,20,21,20 to 21,1,2.0,2.0,0.0
1981-1990,21,22,21 to 22,1,1.0,1.0,0.0
1981-1990,22,23,22 to 23,1,2.0,2.0,0.0
1981-1990,23,24,23 to 24,1,1.0,1.0,0.0
1991-2000,1,2,1 to 2,57,5.298246,4.0,0.070175
1991-2000,2,3,2 to 3,40,5.1,3.0,0.0
1991-2000,3,4,3 to 4,31,3.064516,2.0,0.096774
1991-2000,4,5,4 to 5,21,2.714286,2.0,0.190476
1991-2000,5,6,5 to 6,18,3.166667,3.0,0.0
1991-2000,6,7,6 to 7,12,1.583333,1.0,0.083333
1991-2000,7,8,7 to 8,12,6.416667,4.5,0.0
1991-2000,8,9,8 to 9,8,2.25,2.0,0.125
1991-2000,9,10,9 to 10,7,3.142857,1.0,0.285714
1991-2000,10,11,10 to 11,4,5.0,4.5,0.0
1991-2000,11,12,11 to 12,2,1.0,1.0,0.5
1991-2000,12,13,12 to 13,1,2.0,2.0,0.0
1991-2000,13,14,13 to 14,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,138,4.594203,3.0,0.043478
2001-2010,2,3,2 to 3,85,3.611765,2.0,0.058824
2001-2010,3,4,3 to 4,63,2.619048,2.0,0.095238
2001-2010,4,5,4 to 5,44,2.772727,2.0,0.159091
2001-2010,5,6,5 to 6,30,2.633333,1.0,0.2
2001-2010,6,7,6 to 7,26,2.615385,2.0,0.153846
2001-2010,7,8,7 to 8,21,1.333333,1.0,0.238095
2001-2010,8,9,8 to 9,16,1.8125,1.5,0.1875
2001-2010,9,10,9 to 10,11,1.545455,1.0,0.181818
2001-2010,10,11,10 to 11,10,1.0,1.0,0.4
2001-2010,11,12,11 to 12,6,1.5,0.5,0.5
2001-2010,12,13,12 to 13,5,1.6,1.0,0.2
2001-2010,13,14,13 to 14,5,1.4,1.0,0.4
2001-2010,14,15,14 to 15,5,1.6,1.0,0.2
2001-2010,15,16,15 to 16,2,2.0,2.0,0.0
2001-2010,16,17,16 to 17,2,1.5,1.5,0.0
2001-2010,17,18,17 to 18,2,1.0,1.0,0.5
2001-2010,18,19,18 to 19,1,2.0,2.0,0.0
2001-2010,19,20,19 to 20,1,0.0,0.0,1.0
2001-2010,20,21,20 to 21,1,1.0,1.0,0.0
2011-2020,1,2,1 to 2,122,3.893443,3.0,0.106557
2011-2020,2,3,2 to 3,55,3.181818,2.0,0.109091
2011-2020,3,4,3 to 4,31,2.870968,2.0,0.064516
2011-2020,4,5,4 to 5,15,1.533333,1.0,0.2
2011-2020,5,6,5 to 6,12,1.666667,1.5,0.083333
2011-2020,6,7,6 to 7,7,1.571429,1.0,0.142857
2011-2020,7,8,7 to 8,4,2.0,2.0,0.25
2011-2020,8,9,8 to 9,3,1.333333,2.0,0.333333
2011-2020,9,10,9 to 10,1,0.0,0.0,1.0
