from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,5,5.8,3.0,0.0
1,2,1 to 2,1951,6,4.333333,3.0,0.333333
1,2,1 to 2,1952,6,4.833333,4.0,0.0
1,2,1 to 2,1953,1,6.0,6.0,0.0
1,2,1 to 2,1954,9,2.111111,1.0,0.222222
1,2,1 to 2,1955,5,2.8,2.0,0.0
1,2,1 to 2,1956,5,4.2,5.0,0.2
1,2,1 to 2,1957,3,1.666667,1.0,0.0
1,2,1 to 2,1958,4,6.75,4.5,0.0
1,2,1 to 2,1959,3,8.333333,6.0,0.0
1,2,1 to 2,1960,3,7.0,9.0,0.333333
1,2,1 to 2,1961,1,1.0,1.0,0.0
1,2,1 to 2,1962,2,2.0,2.0,0.0
1,2,1 to 2,1963,5,3.0,1.0,0.2
1,2,1 to 2,1964,4,7.75,8.0,0.0
1,2,1 to 2,1965,5,5.4,3.0,0.2
1,2,1 to 2,1966,5,9.2,12.0,0.2
1,2,1 to 2,1967,3,5.666667,5.0,0.0
1,2,1 to 2,1968,2,6.5,6.5,0.0
1,2,1 to 2,1969,3,3.666667,3.0,0.0
1,2,1 to 2,1970,2,7.0,7.0,0.0
1,2,1 to 2,1971,5,13.2,15.0,0.0
1,2,1 to 2,1972,2,4.0,4.0,0.0
1,2,1 to 2,1973,4,8.25,3.0,0.0
1,2,1 to 2,1974,4,4.5,4.5,0.0
1,2,1 to 2,1975,4,9.5,8.5,0.25
1,2,1 to 2,1977,4,4.5,4.0,0.0
1,2,1 to 2,1978,4,5.0,3.0,0.25
1,2,1 to 2,1979,5,1.2,1.0,0.2
1,2,1 to 2,1980,12,3.75,2.0,0.0
1,2,1 to 2,1981,4,3.5,3.0,0.25
1,2,1 to 2,1982,6,7.5,6.0,0.166667
1,2,1 to 2,1983,7,4.142857,3.0,0.0
1,2,1 to 2,1984,4,5.25,6.0,0.25
1,2,1 to 2,1985,5,15.8,19.0,0.0
1,2,1 to 2,1986,7,3.428571,5.0,0.142857
1,2,1 to 2,1987,5,11.8,12.0,0.0
1,2,1 to 2,1988,6,11.333333,12.5,0.0
1,2,1 to 2,1989,5,5.2,4.0,0.0
1,2,1 to 2,1990,6,8.333333,6.5,0.166667
1,2,1 to 2,1991,7,4.714286,3.0,0.142857
1,2,1 to 2,1992,1,11.0,11.0,0.0
1,2,1 to 2,1993,3,5.333333,2.0,0.333333
1,2,1 to 2,1994,7,5.714286,6.0,0.142857
1,2,1 to 2,1995,4,10.0,7.5,0.0
1,2,1 to 2,1996,2,11.0,11.0,0.0
1,2,1 to 2,1997,6,3.333333,3.0,0.0
1,2,1 to 2,1998,4,5.75,7.0,0.25
1,2,1 to 2,1999,9,3.888889,2.0,0.0
1,2,1 to 2,2000,14,4.428571,2.5,0.0
1,2,1 to 2,2001,15,3.4,2.0,0.133333
1,2,1 to 2,2002,13,3.384615,3.0,0.0
1,2,1 to 2,2003,16,5.625,4.5,0.0
1,2,1 to 2,2004,12,4.833333,4.5,0.0
1,2,1 to 2,2005,11,3.909091,3.0,0.0
1,2,1 to 2,2006,11,5.181818,3.0,0.0
1,2,1 to 2,2007,16,3.875,2.5,0.125
1,2,1 to 2,2008,16,4.0625,3.5,0.0625
1,2,1 to 2,2009,8,3.0,1.5,0.0
1,2,1 to 2,2010,20,7.0,6.0,0.05
1,2,1 to 2,2011,13,4.0,4.0,0.0
1,2,1 to 2,2012,20,4.8,3.0,0.05
1,2,1 to 2,2013,15,4.2,2.0,0.2
1,2,1 to 2,2014,12,2.416667,1.0,0.166667
1,2,1 to 2,2015,11,4.090909,3.0,0.090909
1,2,1 to 2,2016,13,3.153846,2.0,0.153846
1,2,1 to 2,2017,7,4.428571,4.0,0.0
1,2,1 to 2,2018,9,3.777778,6.0,0.222222
1,2,1 to 2,2019,13,4.384615,4.0,0.0
1,2,1 to 2,2020,9,3.0,3.0,0.222222
1,2,1 to 2,2021,9,3.0,2.0,0.0
1,2,1 to 2,2022,5,2.2,3.0,0.0
1,2,1 to 2,2023,13,2.076923,2.0,0.0
1,2,1 to 2,2024,4,1.25,1.5,0.25
1,2,1 to 2,2025,3,0.333333,0.0,0.666667
1,2,1 to 2,2026,1,0.0,0.0,1.0
