ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL G,1951,1931,1950,1,AFZ008561,Donald,Kemmerer,2
JEL G,1951,1931,1950,5,AFZ008561,Donald,Kemmerer,2
JEL G,1951,1931,1950,10,AFZ008561,Donald,Kemmerer,2
JEL G,1952,1932,1951,1,AFZ008561,Donald,Kemmerer,2
JEL G,1952,1932,1951,5,AFZ008561,Donald,Kemmerer,2
JEL G,1952,1932,1951,10,AFZ008561,Donald,Kemmerer,2
JEL G,1952,1932,1951,10,AFZ000064,Gardner,Ackley,1
JEL G,1952,1932,1951,10,AFZ000274,David,Alhadeff,1
JEL G,1952,1932,1951,10,AFZ000616,Kenneth,Arrow,1
JEL G,1952,1932,1951,10,AFZ002133,Martin,Bronfenbrenner,1
JEL G,1952,1932,1951,10,AFZ006818,Theodore,Harris,1
JEL G,1952,1932,1951,10,AFZ007520,Homer,Hoyt,1
JEL G,1952,1932,1951,10,AFZ008124,Harry,Johnson,1
JEL G,1952,1932,1951,10,AFZ009525,Henning,Larsen,1
JEL G,1952,1932,1951,10,AFZ010727,Fritz,Mann,1
JEL G,1952,1932,1951,10,AFZ010844,Jacob,Marschak,1
JEL G,1952,1932,1951,10,AFZ015820,Paul,Simpson,1
JEL G,1953,1933,1952,1,AFZ007520,Homer,Hoyt,3
JEL G,1953,1933,1952,5,AFZ007520,Homer,Hoyt,3
JEL G,1953,1933,1952,5,AFZ008561,Donald,Kemmerer,2
JEL G,1953,1933,1952,10,AFZ007520,Homer,Hoyt,3
JEL G,1953,1933,1952,10,AFZ008561,Donald,Kemmerer,2
JEL G,1953,1933,1952,10,AFZ000013,Charles,Abbott,1
JEL G,1953,1933,1952,10,AFZ000064,Gardner,Ackley,1
JEL G,1953,1933,1952,10,AFZ000274,David,Alhadeff,1
JEL G,1953,1933,1952,10,AFZ000616,Kenneth,Arrow,1
JEL G,1953,1933,1952,10,AFZ002133,Martin,Bronfenbrenner,1
JEL G,1953,1933,1952,10,AFZ004383,A,Dvoretzky,1
JEL G,1953,1933,1952,10,AFZ006818,Theodore,Harris,1
JEL G,1953,1933,1952,10,AFZ007396,Franklyn,Holzman,1
JEL G,1953,1933,1952,10,AFZ008124,Harry,Johnson,1
JEL G,1953,1933,1952,10,AFZ008672,J,Kiefer,1
JEL G,1953,1933,1952,10,AFZ009525,Henning,Larsen,1
JEL G,1953,1933,1952,10,AFZ010727,Fritz,Mann,1
JEL G,1953,1933,1952,10,AFZ010844,Jacob,Marschak,1
JEL G,1953,1933,1952,10,AFZ011833,Michio,Morishima,1
JEL G,1953,1933,1952,10,AFZ012520,Ragnar,Nurkse,1
JEL G,1953,1933,1952,10,AFZ014609,A,Roy,1
JEL G,1953,1933,1952,10,AFZ015820,Paul,Simpson,1
JEL G,1953,1933,1952,10,AFZ016781,Frank,Tamagna,1
JEL G,1953,1933,1952,10,AFZ018160,Stanisaw,Wellisz,1
JEL G,1953,1933,1952,10,AFZ018489,J,Wolfowitz,1
JEL G,1953,1933,1952,10,AFZ018563,David,Wright,1
JEL G,1954,1934,1953,1,AFZ007520,Homer,Hoyt,3
JEL G,1954,1934,1953,5,AFZ007520,Homer,Hoyt,3
JEL G,1954,1934,1953,5,AFZ008561,Donald,Kemmerer,2
JEL G,1954,1934,1953,10,AFZ007520,Homer,Hoyt,3
JEL G,1954,1934,1953,10,AFZ008561,Donald,Kemmerer,2
JEL G,1954,1934,1953,10,AFZ000013,Charles,Abbott,1
JEL G,1954,1934,1953,10,AFZ000064,Gardner,Ackley,1
JEL G,1954,1934,1953,10,AFZ000083,Walter,Adams,1
JEL G,1954,1934,1953,10,AFZ000274,David,Alhadeff,1
JEL G,1954,1934,1953,10,AFZ000616,Kenneth,Arrow,1
JEL G,1954,1934,1953,10,AFZ002052,Sewell,Bray,1
JEL G,1954,1934,1953,10,AFZ002133,Martin,Bronfenbrenner,1
JEL G,1954,1934,1953,10,AFZ004130,Sergei,Dobrovolsky,1
JEL G,1954,1934,1953,10,AFZ004383,A,Dvoretzky,1
JEL G,1954,1934,1953,10,AFZ006818,Theodore,Harris,1
JEL G,1954,1934,1953,10,AFZ007396,Franklyn,Holzman,1
JEL G,1954,1934,1953,10,AFZ008124,Harry,Johnson,1
JEL G,1954,1934,1953,10,AFZ008538,Gordon,Keith,1
JEL G,1954,1934,1953,10,AFZ008672,J,Kiefer,1
JEL G,1954,1934,1953,10,AFZ009525,Henning,Larsen,1
