publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,5,5,1.0,6,6,1.0
1951,7,7,1.0,5,5,1.0
1952,11,12,0.916667,9,11,0.818182
1953,4,4,1.0,3,3,1.0
1954,8,9,0.888889,5,6,0.833333
1955,7,7,1.0,7,7,1.0
1956,3,3,1.0,2,2,1.0
1957,12,12,1.0,11,11,1.0
1958,7,8,0.875,7,7,1.0
1959,7,8,0.875,8,9,0.888889
1960,5,5,1.0,5,5,1.0
1961,7,9,0.777778,7,8,0.875
1962,10,12,0.833333,9,11,0.818182
1963,15,15,1.0,11,11,1.0
1964,6,8,0.75,6,8,0.75
1965,9,12,0.75,8,9,0.888889
1966,12,13,0.923077,10,10,1.0
1967,10,11,0.909091,8,9,0.888889
1968,15,18,0.833333,12,13,0.923077
1969,16,18,0.888889,12,13,0.923077
1970,16,22,0.727273,12,16,0.75
1971,15,20,0.75,14,16,0.875
1972,14,16,0.875,10,10,1.0
1973,16,18,0.888889,13,14,0.928571
1974,6,6,1.0,5,5,1.0
1975,15,15,1.0,13,13,1.0
1976,9,9,1.0,8,8,1.0
1977,13,17,0.764706,13,15,0.866667
1978,10,11,0.909091,7,7,1.0
1979,12,14,0.857143,12,13,0.923077
1980,23,30,0.766667,16,20,0.8
1981,15,16,0.9375,9,10,0.9
1982,15,19,0.789474,12,14,0.857143
1983,32,40,0.8,21,23,0.913043
1984,15,17,0.882353,9,10,0.9
1985,31,33,0.939394,22,22,1.0
1986,10,14,0.714286,8,11,0.727273
1987,24,27,0.888889,17,19,0.894737
1988,22,33,0.666667,16,20,0.8
1989,16,20,0.8,12,15,0.8
1990,22,30,0.733333,15,18,0.833333
1991,38,46,0.826087,25,28,0.892857
1992,20,24,0.833333,13,15,0.866667
1993,19,33,0.575758,18,20,0.9
1994,35,52,0.673077,22,26,0.846154
1995,14,21,0.666667,13,17,0.764706
1996,16,26,0.615385,11,17,0.647059
1997,28,38,0.736842,16,20,0.8
1998,22,37,0.594595,17,19,0.894737
1999,53,70,0.757143,29,35,0.828571
2000,46,67,0.686567,26,32,0.8125
2001,56,77,0.727273,37,45,0.822222
2002,52,77,0.675325,35,41,0.853659
2003,63,96,0.65625,38,49,0.77551
2004,62,92,0.673913,40,45,0.888889
2005,71,106,0.669811,41,49,0.836735
2006,42,63,0.666667,23,31,0.741935
2007,61,90,0.677778,33,40,0.825
2008,63,104,0.605769,39,49,0.795918
2009,52,99,0.525253,34,50,0.68
2010,84,125,0.672,49,57,0.859649
2011,82,137,0.59854,46,60,0.766667
2012,127,197,0.64467,68,93,0.731183
2013,83,135,0.614815,51,62,0.822581
2014,105,171,0.614035,56,72,0.777778
2015,93,157,0.592357,56,72,0.777778
2016,103,180,0.572222,62,83,0.746988
2017,105,194,0.541237,65,84,0.77381
2018,77,124,0.620968,41,52,0.788462
2019,78,135,0.577778,42,55,0.763636
2020,83,147,0.564626,52,62,0.83871
2021,124,196,0.632653,62,74,0.837838
2022,85,155,0.548387,51,64,0.796875
2023,97,179,0.541899,57,70,0.814286
2024,112,190,0.589474,57,68,0.838235
2025,122,198,0.616162,65,75,0.866667
2026,46,90,0.511111,24,29,0.827586
