author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ006050,Joseph,Golec,1998,1,1,0,1,only_with_other_new_coauthors
AFZ016782,Maurry,Tamarkin,1998,1,1,0,1,only_with_other_new_coauthors
AFZ011820,John,Morgan,1998,1,1,1,0,with_experienced_coauthor
AFZ003707,James,Dana,1998,1,0,0,0,solo
AFZ002479,Colin,Camerer,1998,1,0,0,0,solo
AFZ005140,Michael,Fishman,1998,1,1,1,0,with_experienced_coauthor
AFZ008510,Michael,Keane,1998,1,1,0,1,only_with_other_new_coauthors
AFZ014691,David,Runkle,1998,1,1,0,1,only_with_other_new_coauthors
AFZ013566,Rafael,Porta,1998,1,1,1,0,with_experienced_coauthor
AFZ000126,Rajesh,Aggarwal,1999,1,1,0,1,only_with_other_new_coauthors
AFZ014880,Andrew,Samwick,1999,1,1,0,1,only_with_other_new_coauthors
AFZ007566,Mingxin,Huang,1999,1,1,1,0,with_experienced_coauthor
AFZ008439,Jonathan,Karpoff,1999,1,1,0,1,only_with_other_new_coauthors
AFZ017568,Valaria,Vendrzyk,1999,1,1,0,1,only_with_other_new_coauthors
AFZ002713,Ricardo,Cavalcanti,1999,1,1,0,1,only_with_other_new_coauthors
AFZ004687,Andres,Erosa,1999,1,1,0,1,only_with_other_new_coauthors
AFZ016933,Ted,Temzelides,1999,1,1,0,1,only_with_other_new_coauthors
AFZ002964,Yehning,Chen,1999,1,0,0,0,solo
AFZ007234,Pierre,Hillion,1999,1,1,1,1,with_experienced_coauthor
AFZ016180,Chester,Spatt,1999,1,1,1,1,with_experienced_coauthor
AFZ008561,Donald,Kemmerer,1950,2,0,0,0,solo
AFZ000064,Gardner,Ackley,1951,1,0,0,0,solo
AFZ007520,Homer,Hoyt,1951,1,0,0,0,solo
AFZ010727,Fritz,Mann,1951,1,0,0,0,solo
AFZ016781,Frank,Tamagna,1952,1,0,0,0,solo
AFZ018563,David,Wright,1952,1,0,0,0,solo
AFZ000013,Charles,Abbott,1952,1,0,0,0,solo
AFZ008538,Gordon,Keith,1953,1,0,0,0,solo
AFZ007386,Charles,Holt,1954,1,0,0,0,solo
AFZ009919,John,Lewis,1955,1,0,0,0,solo
AFZ011881,Walter,Morton,1955,1,0,0,0,solo
AFZ005499,Herbert,Furth,1955,1,0,0,0,solo
