first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,0,5,0,5,0.0,0.0,1.0
1951,3,4,0,7,0.0,0.428571,0.571429
1952,3,8,0,11,0.0,0.272727,0.727273
1953,2,2,0,4,0.0,0.5,0.5
1954,6,2,0,8,0.0,0.75,0.25
1955,0,7,0,7,0.0,0.0,1.0
1956,2,1,0,3,0.0,0.666667,0.333333
1957,2,10,0,12,0.0,0.166667,0.833333
1958,0,6,1,7,0.142857,0.0,0.857143
1959,0,7,0,7,0.0,0.0,1.0
1960,0,5,0,5,0.0,0.0,1.0
1961,0,6,1,7,0.142857,0.0,0.857143
1962,2,8,0,10,0.0,0.2,0.8
1963,8,7,0,15,0.0,0.533333,0.466667
1964,0,6,0,6,0.0,0.0,1.0
1965,2,5,2,9,0.222222,0.222222,0.555556
1966,2,8,2,12,0.166667,0.166667,0.666667
1967,4,6,0,10,0.0,0.4,0.6
1968,6,6,3,15,0.2,0.4,0.4
1969,7,7,2,16,0.125,0.4375,0.4375
1970,8,8,0,16,0.0,0.5,0.5
1971,2,11,2,15,0.133333,0.133333,0.733333
1972,4,6,4,14,0.285714,0.285714,0.428571
1973,6,9,1,16,0.0625,0.375,0.5625
1974,2,4,0,6,0.0,0.333333,0.666667
1975,4,11,0,15,0.0,0.266667,0.733333
1976,2,7,0,9,0.0,0.222222,0.777778
1977,3,8,2,13,0.153846,0.230769,0.615385
1978,6,3,1,10,0.1,0.6,0.3
1979,0,10,2,12,0.166667,0.0,0.833333
1980,13,9,1,23,0.043478,0.565217,0.391304
1981,9,6,0,15,0.0,0.6,0.4
1982,6,7,2,15,0.133333,0.4,0.466667
1983,16,10,6,32,0.1875,0.5,0.3125
1984,11,3,1,15,0.066667,0.733333,0.2
1985,15,12,4,31,0.129032,0.483871,0.387097
1986,4,6,0,10,0.0,0.4,0.6
1987,13,10,1,24,0.041667,0.541667,0.416667
1988,7,8,7,22,0.318182,0.318182,0.363636
1989,9,6,1,16,0.0625,0.5625,0.375
1990,10,5,7,22,0.318182,0.454545,0.227273
1991,23,9,6,38,0.157895,0.605263,0.236842
1992,14,4,2,20,0.1,0.7,0.2
1993,4,3,12,19,0.631579,0.210526,0.157895
1994,15,5,15,35,0.428571,0.428571,0.142857
1995,6,7,1,14,0.071429,0.428571,0.5
1996,4,7,5,16,0.3125,0.25,0.4375
1997,16,6,6,28,0.214286,0.571429,0.214286
1998,10,5,7,22,0.318182,0.454545,0.227273
1999,34,8,11,53,0.207547,0.641509,0.150943
2000,34,3,9,46,0.195652,0.73913,0.065217
2001,35,7,14,56,0.25,0.625,0.125
2002,31,7,14,52,0.269231,0.596154,0.134615
2003,37,9,17,63,0.269841,0.587302,0.142857
2004,34,5,23,62,0.370968,0.548387,0.080645
2005,38,7,26,71,0.366197,0.535211,0.098592
2006,35,3,4,42,0.095238,0.833333,0.071429
2007,37,6,18,61,0.295082,0.606557,0.098361
2008,27,5,31,63,0.492063,0.428571,0.079365
2009,22,6,24,52,0.461538,0.423077,0.115385
2010,44,6,34,84,0.404762,0.52381,0.071429
2011,46,4,32,82,0.390244,0.560976,0.04878
2012,77,11,39,127,0.307087,0.606299,0.086614
2013,37,12,34,83,0.409639,0.445783,0.144578
2014,50,10,45,105,0.428571,0.47619,0.095238
2015,39,7,47,93,0.505376,0.419355,0.075269
2016,57,5,41,103,0.398058,0.553398,0.048544
2017,49,9,47,105,0.447619,0.466667,0.085714
2018,28,7,42,77,0.545455,0.363636,0.090909
2019,40,4,34,78,0.435897,0.512821,0.051282
2020,36,6,41,83,0.493976,0.433735,0.072289
2021,61,6,57,124,0.459677,0.491935,0.048387
2022,35,8,42,85,0.494118,0.411765,0.094118
2023,42,7,48,97,0.494845,0.43299,0.072165
2024,51,5,56,112,0.5,0.455357,0.044643
2025,58,4,60,122,0.491803,0.47541,0.032787
2026,11,3,32,46,0.695652,0.23913,0.065217
