author_id,final_first_name,final_last_name,first_top5_publication_year,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000013,Charles,Abbott,1952,,10.1086/257616,1,2,1 to 2,1952,1954,2
AFZ000023,Andrew,Abel,2007,2001-2010,10.3982/ecta7624,1,2,1 to 2,2007,2013,6
AFZ000033,Arpad,Abraham,2017,2011-2020,10.1093/restud/rdaf076,1,2,1 to 2,2017,2025,8
AFZ000056,Daron,Acemoglu,2005,2001-2010,10.1257/aer.20130456,1,2,1 to 2,2005,2015,10
AFZ000059,Viral,Acharya,2012,2011-2020,10.1093/restud/rdae089,1,2,1 to 2,2012,2024,12
AFZ000102,Anat,Admati,1985,1981-1990,10.2307/2938355,1,2,1 to 2,1985,1990,5
AFZ000102,Anat,Admati,1985,1981-1990,10.1086/261965,2,3,2 to 3,1990,1994,4
AFZ000103,Tobias,Adrian,2009,2001-2010,10.1257/aer.20120555,1,2,1 to 2,2009,2016,7
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1257/aer.99.2.412,1,2,1 to 2,2007,2009,2
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1257/aer.100.2.495,2,3,2 to 3,2009,2010,1
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/qje/qju003,3,4,3 to 4,2010,2014,4
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/qje/qju037,4,5,4 to 5,2014,2014,0
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1257/aer.p20161033,5,6,5 to 6,2014,2016,2
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1086/691701,6,7,6 to 7,2016,2017,1
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/qje/qjx027,7,8,7 to 8,2017,2017,0
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.1093/restud/rdac039,8,9,8 to 9,2017,2022,5
AFZ000119,Sumit,Agarwal,2007,2001-2010,10.3982/ecta18554,9,10,9 to 10,2022,2024,2
AFZ000134,Philippe,Aghion,1992,1991-2000,10.1257/aer.103.1.277,1,2,1 to 2,1992,2013,21
AFZ000137,Julie,Agnew,2003,2001-2010,10.1257/aer.98.2.418,1,2,1 to 2,2003,2008,5
AFZ000178,Hengjie,Ai,2018,2011-2020,10.3982/ecta15142,1,2,1 to 2,2018,2021,3
AFZ000178,Hengjie,Ai,2018,2011-2020,10.1257/aer.20221351,2,3,2 to 3,2021,2026,5
AFZ000191,Naoki,Aizawa,2018,2011-2020,10.1086/710535,1,2,1 to 2,2018,2020,2
AFZ000191,Naoki,Aizawa,2018,2011-2020,10.1086/735512,2,3,2 to 3,2020,2025,5
AFZ000239,Rui,Albuquerque,2004,2001-2010,10.1111/j.1467-937x.2007.00412.x,1,2,1 to 2,2004,2007,3
AFZ000274,David,Alhadeff,1951,,10.2307/1884187,1,2,1 to 2,1951,1958,7
AFZ000294,Franklin,Allen,1991,1991-2000,10.2307/2298101,1,2,1 to 2,1991,1993,2
AFZ000294,Franklin,Allen,1991,1991-2000,10.1086/262109,2,3,2 to 3,1993,2000,7
AFZ000294,Franklin,Allen,1991,1991-2000,10.1111/j.1468-0262.2004.00525.x,3,4,3 to 4,2000,2004,4
AFZ000295,Jason,Allen,2014,2011-2020,10.1086/725361,1,2,1 to 2,2014,2023,9
AFZ000295,Jason,Allen,2014,2011-2020,10.1093/restud/rdad062,2,3,2 to 3,2023,2023,0
AFZ000295,Jason,Allen,2014,2011-2020,10.1257/aer.20231202,3,4,3 to 4,2023,2026,3
AFZ000353,Fernando,Alvarez,2000,1991-2000,10.1086/424738,1,2,1 to 2,2000,2004,4
AFZ000353,Fernando,Alvarez,2000,1991-2000,10.1111/j.1468-0262.2005.00643.x,2,3,2 to 3,2004,2005,1
AFZ000353,Fernando,Alvarez,2000,1991-2000,10.1257/aer.102.5.2272,3,4,3 to 4,2005,2012,7
AFZ000362,Manuel,Amador,2020,2011-2020,10.1257/aer.20220328,1,2,1 to 2,2020,2024,4
AFZ000384,Mary,Amiti,2009,2001-2010,10.1257/aer.101.3.298,1,2,1 to 2,2009,2011,2
AFZ000384,Mary,Amiti,2009,2001-2010,10.1086/696272,2,3,2 to 3,2011,2017,6
AFZ000387,Gene,Amromin,2010,2001-2010,10.1257/aer.p20151054,1,2,1 to 2,2010,2015,5
AFZ000387,Gene,Amromin,2010,2001-2010,10.1086/691701,2,3,2 to 3,2015,2017,2
AFZ000387,Gene,Amromin,2010,2001-2010,10.1093/restud/rdac039,3,4,3 to 4,2017,2022,5
AFZ000392,Santosh,Anagol,2012,2011-2020,10.1093/restud/rdy014,1,2,1 to 2,2012,2018,6
AFZ000407,Steffen,Andersen,2020,2011-2020,10.1257/aer.20191766,1,2,1 to 2,2020,2022,2
AFZ000409,Torben,Andersen,2003,2001-2010,10.1111/j.1468-0262.2005.00572.x,1,2,1 to 2,2003,2004,1
AFZ000409,Torben,Andersen,2003,2001-2010,10.1257/000282805774669574,2,3,2 to 3,2004,2005,1
AFZ000409,Torben,Andersen,2003,2001-2010,10.3982/ecta10719,3,4,3 to 4,2005,2015,10
AFZ000429,Robert,Anderson,1982,1981-1990,10.1111/j.1468-0262.2008.00861.x,1,2,1 to 2,1982,2008,26
AFZ000430,Ronald,Anderson,1981,1981-1990,10.2307/2297415,1,2,1 to 2,1981,1983,2
AFZ000476,George-Marios,Angeletos,2013,2011-2020,10.1093/restud/rdac043,1,2,1 to 2,2013,2022,9
AFZ000514,Pol,Antras,2009,2001-2010,10.1086/681592,1,2,1 to 2,2009,2015,6
AFZ000633,Malin,Arve,2016,2011-2020,10.1093/restud/rdae106,1,2,1 to 2,2016,2024,8
AFZ000641,Joseph,Aschheim,1959,,10.1086/259633,1,2,1 to 2,1959,1970,11
AFZ000645,Adam,Ashcraft,2005,2001-2010,10.1257/aer.97.2.221,1,2,1 to 2,2005,2007,2
AFZ000645,Adam,Ashcraft,2005,2001-2010,10.1257/aer.101.3.115,2,3,2 to 3,2007,2011,4
AFZ000660,Elizabeth,Asiedu,2012,2011-2020,10.1257/aer.103.3.293,1,2,1 to 2,2012,2013,1
AFZ000669,Vladimir,Asriyan,2017,2011-2020,10.1257/aer.20180998,1,2,1 to 2,2017,2019,2
AFZ000669,Vladimir,Asriyan,2017,2011-2020,10.1093/restud/rdaa069,2,3,2 to 3,2019,2020,1
AFZ000669,Vladimir,Asriyan,2017,2011-2020,10.1093/restud/rdab046,3,4,3 to 4,2020,2021,1
AFZ000669,Vladimir,Asriyan,2017,2011-2020,10.1093/restud/rdad038,4,5,4 to 5,2021,2023,2
AFZ000689,Andrew,Atkeson,2015,2011-2020,10.1257/aer.20230732,1,2,1 to 2,2015,2025,10
AFZ000697,Orazio,Attanasio,2002,2001-2010,10.1257/000282803321947399,1,2,1 to 2,2002,2003,1
AFZ000697,Orazio,Attanasio,2002,2001-2010,10.1257/aer.104.5.122,2,3,2 to 3,2003,2014,11
AFZ000713,Alan,Auerbach,1983,1981-1990,10.1257/000282806777212495,1,2,1 to 2,1983,2006,23
AFZ000753,Bee,Aw,2008,2001-2010,10.1257/aer.101.4.1312,1,2,1 to 2,2008,2011,3
AFZ000794,Philippe,Bacchetta,2006,2001-2010,10.1257/aer.97.2.346,1,2,1 to 2,2006,2007,1
AFZ000794,Philippe,Bacchetta,2006,2001-2010,10.1257/aer.100.3.870,2,3,2 to 3,2007,2010,3
AFZ000794,Philippe,Bacchetta,2006,2001-2010,10.1257/aer.101.3.410,3,4,3 to 4,2010,2011,1
AFZ000794,Philippe,Bacchetta,2006,2001-2010,10.1257/aer.102.7.3674,4,5,4 to 5,2011,2012,1
AFZ000794,Philippe,Bacchetta,2006,2001-2010,10.1093/restud/rdac054,5,6,5 to 6,2012,2022,10
AFZ000805,Kerry,Back,2004,2001-2010,10.3982/ecta10018,1,2,1 to 2,2004,2013,9
AFZ000805,Kerry,Back,2004,2001-2010,10.3982/ecta14917,2,3,2 to 3,2013,2018,5
AFZ000825,Saleem,Bahaj,2020,2011-2020,10.1093/restud/rdab074,1,2,1 to 2,2020,2021,1
AFZ000867,Scott,Baker,2016,2011-2020,10.1086/698106,1,2,1 to 2,2016,2018,2
AFZ000932,Abhijit,Banerjee,2014,2011-2020,10.1257/aer.20200523,1,2,1 to 2,2014,2021,7
AFZ000945,Ravi,Bansal,1996,1991-2000,10.1111/j.1467-937x.2007.00454.x,1,2,1 to 2,1996,2007,11
AFZ000945,Ravi,Bansal,1996,1991-2000,10.1257/aer.100.2.537,2,3,2 to 3,2007,2010,3
AFZ000945,Ravi,Bansal,1996,1991-2000,10.1257/aer.100.2.542,3,4,3 to 4,2010,2010,0
AFZ000945,Ravi,Bansal,1996,1991-2000,10.3982/ecta14607,4,5,4 to 5,2010,2018,8
AFZ000945,Ravi,Bansal,1996,1991-2000,10.1257/aer.20221351,5,6,5 to 6,2018,2026,8
AFZ000969,Nicholas,Barberis,1996,1991-2000,10.1162/003355301556310,1,2,1 to 2,1996,2001,5
AFZ000969,Nicholas,Barberis,1996,1991-2000,10.1257/000282806779468652; 10.1257/aer.96.4.1069,2,3,2 to 3,2001,2006,5
AFZ000969,Nicholas,Barberis,1996,1991-2000,10.1257/aer.98.5.2066,3,4,3 to 4,2006,2008,2
AFZ000969,Nicholas,Barberis,1996,1991-2000,10.1257/aer.103.3.611,4,5,4 to 5,2008,2013,5
AFZ001010,Matthew,Baron,2017,2011-2020,10.1093/qje/qjaa034,1,2,1 to 2,2017,2020,3
AFZ001010,Matthew,Baron,2017,2011-2020,10.1093/qje/qjaf052,2,3,2 to 3,2020,2025,5
AFZ001030,Robert,Barro,2006,2001-2010,10.1257/aer.98.2.58,1,2,1 to 2,2006,2008,2
AFZ001030,Robert,Barro,2006,2001-2010,10.3982/ecta8827,2,3,2 to 3,2008,2011,3
AFZ001040,Levon,Barseghyan,2013,2011-2020,10.1257/aer.20190253,1,2,1 to 2,2013,2021,8
AFZ001066,Shmuel,Baruch,2004,2001-2010,10.3982/ecta10018,1,2,1 to 2,2004,2013,9
AFZ001070,Deepal,Basak,2020,2011-2020,10.1086/734875,1,2,1 to 2,2020,2025,5
AFZ001071,Suleyman,Basak,2010,2001-2010,10.1257/aer.103.5.1728,1,2,1 to 2,2010,2013,3
AFZ001134,Michael,Bauer,2012,2011-2020,10.1093/qje/qjae021,1,2,1 to 2,2012,2024,12
AFZ001157,Christian,Bayer,2014,2011-2020,10.3982/ecta13601,1,2,1 to 2,2014,2019,5
AFZ001158,Patrick,Bayer,2010,2001-2010,10.1257/aer.20171611,1,2,1 to 2,2010,2021,11
AFZ001184,Paul,Beaudry,1995,1991-2000,10.1257/000282806779468463; 10.1257/aer.96.4.1293,1,2,1 to 2,1995,2006,11
AFZ001224,Juliane,Begenau,2021,,10.1093/restud/rdaf035,1,2,1 to 2,2021,2025,4
AFZ001271,Roland,Benabou,1992,1991-2000,10.1093/restud/rds030,1,2,1 to 2,1992,2012,20
AFZ001274,Shlomo,Benartzi,1995,1991-2000,10.1257/aer.91.1.79,1,2,1 to 2,1995,2001,6
AFZ001280,Itzhak,BenDavid,2010,2001-2010,10.1093/qje/qjt023,1,2,1 to 2,2010,2013,3
AFZ001280,Itzhak,BenDavid,2010,2001-2010,10.1086/691701,2,3,2 to 3,2013,2017,4
AFZ001280,Itzhak,Ben-David,2010,2001-2010,10.1257/aer.20181735,3,4,3 to 4,2017,2021,4
AFZ001302,Efraim,Benmelech,2005,2001-2010,10.1162/qjec.2008.123.4.1635,1,2,1 to 2,2005,2008,3
AFZ001302,Efraim,Benmelech,2005,2001-2010,10.1162/qjec.2010.125.4.1769,2,3,2 to 3,2008,2010,2
AFZ001302,Efraim,Benmelech,2005,2001-2010,10.1257/aer.102.6.3004,3,4,3 to 4,2010,2012,2
AFZ001302,Efraim,Benmelech,2005,2001-2010,10.1093/qje/qjw031,4,5,4 to 5,2012,2016,4
AFZ001360,Allen,Berger,1992,1991-2000,10.1086/726236,1,2,1 to 2,1992,2023,31
AFZ001362,David,Berger,2014,2011-2020,10.1093/restud/rdz010,1,2,1 to 2,2014,2019,5
AFZ001362,David,Berger,2014,2011-2020,10.1257/aer.20181857,2,3,2 to 3,2019,2021,2
AFZ001372,Nittai,Bergman,2008,2001-2010,10.1257/aer.102.6.3004,1,2,1 to 2,2008,2012,4
AFZ001388,Jonathan,Berk,1999,1991-2000,10.1086/424739,1,2,1 to 2,1999,2004,5
AFZ001412,Antonio,Bernardo,2000,1991-2000,10.1162/003355304772839542,1,2,1 to 2,2000,2004,4
AFZ001422,Dan,Bernhardt,2000,1991-2000,10.3982/ecta21343,1,2,1 to 2,2000,2025,25
AFZ001424,Douglas,Bernheim,2003,2001-2010,10.1257/aer.20210290,1,2,1 to 2,2003,2022,19
AFZ001429,Asaf,Bernstein,2018,2011-2020,10.1093/qje/qjae011,1,2,1 to 2,2018,2024,6
AFZ001429,Asaf,Bernstein,2018,2011-2020,10.1086/739333,2,3,2 to 3,2024,2025,1
AFZ001453,Marianne,Bertrand,2002,2001-2010,10.1086/376950,1,2,1 to 2,2002,2003,1
AFZ001460,Timothy,Besley,1994,1991-2000,10.1093/qje/qjr056,1,2,1 to 2,1994,2012,18
AFZ001469,Zachary,Bethune,2021,,10.1093/restud/rdab092,1,2,1 to 2,2021,2021,0
AFZ001487,Harjoat,Bhamra,2010,2001-2010,10.1257/aer.20161076,1,2,1 to 2,2010,2019,9
AFZ001506,Sudipto,Bhattacharya,1980,,10.2307/2297419,1,2,1 to 2,1980,1983,3
AFZ001506,Sudipto,Bhattacharya,1980,,10.1086/261552,2,3,2 to 3,1983,1988,5
AFZ001507,Vivek,Bhattacharya,2022,,10.3982/ecta18492,1,2,1 to 2,2022,2025,3
AFZ001515,Bruno,Biais,1998,1991-2000,10.1086/250095,1,2,1 to 2,1998,1999,1
AFZ001515,Bruno,Biais,1998,1991-2000,10.1111/j.1467-937x.2005.00333.x,2,3,2 to 3,1999,2005,6
AFZ001515,Bruno,Biais,1998,1991-2000,10.1111/j.1467-937x.2005.00345.x,3,4,3 to 4,2005,2005,0
AFZ001515,Bruno,Biais,1998,1991-2000,10.1111/j.1467-937x.2007.00425.x,4,5,4 to 5,2005,2007,2
AFZ001515,Bruno,Biais,1998,1991-2000,10.1093/restud/rdu008,5,6,5 to 6,2007,2014,7
AFZ001515,Bruno,Biais,1998,1991-2000,10.1093/restud/rdaa083,6,7,6 to 7,2014,2020,6
AFZ001515,Bruno,Biais,1998,1991-2000,10.1257/aer.20181707,7,8,7 to 8,2020,2021,1
AFZ001517,Francesco,Bianchi,2017,2011-2020,10.1257/aer.20160186,1,2,1 to 2,2017,2017,0
AFZ001518,Javier,Bianchi,2010,2001-2010,10.1257/aer.101.7.3400,1,2,1 to 2,2010,2011,1
AFZ001518,Javier,Bianchi,2010,2001-2010,10.1257/aer.20121524,2,3,2 to 3,2011,2016,5
AFZ001518,Javier,Bianchi,2010,2001-2010,10.1086/696280,3,4,3 to 4,2016,2017,1
AFZ001518,Javier,Bianchi,2010,2001-2010,10.1093/qje/qjab025,4,5,4 to 5,2017,2021,4
AFZ001518,Javier,Bianchi,2010,2001-2010,10.3982/ecta16599,5,6,5 to 6,2021,2022,1
AFZ001518,Javier,Bianchi,2010,2001-2010,10.1257/aer.20220328,6,7,6 to 7,2022,2024,2
AFZ001541,Saki,Bigio,2015,2011-2020,10.1093/qje/qjaa018,1,2,1 to 2,2015,2020,5
AFZ001541,Saki,Bigio,2015,2011-2020,10.3982/ecta16599,2,3,2 to 3,2020,2022,2
AFZ001541,Saki,Bigio,2015,2011-2020,10.1093/restud/rdaf035,3,4,3 to 4,2022,2025,3
AFZ001541,Saki,Bigio,2015,2011-2020,10.1093/restud/rdaf082,4,5,4 to 5,2025,2025,0
AFZ001608,Sandra,Black,2001,2001-2010,10.1257/aer.20210926,1,2,1 to 2,2001,2023,22
AFZ001690,Nicholas,Bloom,2015,2011-2020,10.1093/qje/qjw024,1,2,1 to 2,2015,2016,1
AFZ001690,Nicholas,Bloom,2015,2011-2020,10.1086/726230,2,3,2 to 3,2016,2023,7
AFZ001708,Richard,Blundell,1999,1991-2000,10.1257/aer.20220555,1,2,1 to 2,1999,2024,25
AFZ001732,Luigi,Bocola,2016,2011-2020,10.1257/aer.20161471,1,2,1 to 2,2016,2019,3
AFZ001732,Luigi,Bocola,2016,2011-2020,10.1257/aer.20180830,2,3,2 to 3,2019,2020,1
AFZ001732,Luigi,Bocola,2016,2011-2020,10.1086/722088,3,4,3 to 4,2020,2022,2
AFZ001778,Charles,Boissel,2022,,10.1257/aer.113.7.2053,1,2,1 to 2,2022,2023,1
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.2307/2298012,1,2,1 to 2,1988,1991,3
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.2307/2951782,2,3,2 to 3,1991,1993,2
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.1111/1468-0262.00418,3,4,3 to 4,1993,2003,10
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.1111/j.1468-0262.2005.00572.x,4,5,4 to 5,2003,2004,1
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.1257/000282805774669574,5,6,5 to 6,2004,2005,1
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.3982/ecta9240,6,7,6 to 7,2005,2011,6
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.3982/ecta17056,7,8,7 to 8,2011,2020,9
AFZ001789,Tim,Bollerslev,1988,1981-1990,10.1257/aer.20221338,8,9,8 to 9,2020,2024,4
AFZ001798,Patrick,Bolton,1992,1991-2000,10.1086/262015,1,2,1 to 2,1992,1996,4
AFZ001798,Patrick,Bolton,1992,1991-2000,10.1086/262121,2,3,2 to 3,1996,2000,4
AFZ001798,Patrick,Bolton,1992,1991-2000,10.1111/j.1467-937x.2006.00388.x,3,4,3 to 4,2000,2006,6
AFZ001798,Patrick,Bolton,1992,1991-2000,10.1257/aer.99.2.594,4,5,4 to 5,2006,2009,3
AFZ001798,P,Bolton,1992,1991-2000,10.1093/qje/qjq007,5,6,5 to 6,2009,2011,2
AFZ001809,Eric,Bond,1983,1981-1990,10.1086/261745,1,2,1 to 2,1983,1991,8
AFZ001849,Karl,Borch,1969,,10.2307/1909588,1,2,1 to 2,1969,1971,2
AFZ001851,Pedro,Bordalo,2013,2011-2020,10.1086/727713,1,2,1 to 2,2013,2023,10
AFZ001851,Pedro,Bordalo,2013,2011-2020,10.1093/restud/rdaf022,2,3,2 to 3,2023,2025,2
AFZ001851,Pedro,Bordalo,2013,2011-2020,10.1257/aer.20211820,3,4,3 to 4,2025,2026,1
AFZ001900,Peter,Bossaerts,1998,1991-2000,10.1111/0034-6527.00276,1,2,1 to 2,1998,2003,5
AFZ001900,Peter,Bossaerts,1998,1991-2000,10.1111/j.1468-0262.2007.00780.x,2,3,2 to 3,2003,2007,4
AFZ001900,Peter,Bossaerts,1998,1991-2000,10.1086/679283,3,4,3 to 4,2007,2015,8
AFZ001943,Christa,Bouwman,2015,2011-2020,10.1086/726236,1,2,1 to 2,2015,2023,8
AFZ002007,Serguey,Braguinsky,2004,2001-2010,10.1257/aer.20140150,1,2,1 to 2,2004,2015,11
AFZ002132,Fernando,Broner,2010,2001-2010,10.1093/restud/rdq015,1,2,1 to 2,2010,2011,1
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1086/339714,1,2,1 to 2,1999,2002,3
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1257/000282805775014281,2,3,2 to 3,2002,2005,3
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1257/aer.98.2.304,3,4,3 to 4,2005,2008,3
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1257/aer.98.3.1083,4,5,4 to 5,2008,2008,0
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1257/aer.99.2.538,5,6,5 to 6,2008,2009,1
AFZ002181,Jeffrey,Brown,1999,1991-2000,10.1257/aer.104.3.931,6,7,6 to 7,2009,2014,5
AFZ002232,Markus,Brunnermeier,2003,2001-2010,10.1257/aer.97.2.159,1,2,1 to 2,2003,2007,4
AFZ002232,Markus,Brunnermeier,2003,2001-2010,10.1257/aer.98.3.713,2,3,2 to 3,2007,2008,1
AFZ002232,Markus,Brunnermeier,2003,2001-2010,10.1257/aer.99.2.578,3,4,3 to 4,2008,2009,1
