entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,71,10.366197,7.0,0.014085
1981-1990,2,3,2 to 3,38,6.736842,6.0,0.052632
1981-1990,3,4,3 to 4,21,6.238095,4.0,0.095238
1981-1990,4,5,4 to 5,15,3.666667,2.0,0.066667
1981-1990,5,6,5 to 6,11,2.909091,2.0,0.181818
1981-1990,6,7,6 to 7,7,2.714286,2.0,0.0
1981-1990,7,8,7 to 8,6,3.833333,3.0,0.166667
1981-1990,8,9,8 to 9,6,3.0,2.0,0.166667
1981-1990,9,10,9 to 10,5,4.6,3.0,0.0
1981-1990,10,11,10 to 11,5,3.0,3.0,0.2
1981-1990,11,12,11 to 12,5,3.0,3.0,0.0
1981-1990,12,13,12 to 13,4,1.0,1.0,0.0
1981-1990,13,14,13 to 14,2,3.5,3.5,0.0
1981-1990,14,15,14 to 15,1,4.0,4.0,0.0
1991-2000,1,2,1 to 2,114,8.22807,5.0,0.035088
1991-2000,2,3,2 to 3,68,5.102941,4.0,0.014706
1991-2000,3,4,3 to 4,45,4.666667,4.0,0.088889
1991-2000,4,5,4 to 5,28,3.5,3.0,0.071429
1991-2000,5,6,5 to 6,19,3.0,2.0,0.210526
1991-2000,6,7,6 to 7,13,4.307692,5.0,0.076923
1991-2000,7,8,7 to 8,7,4.857143,4.0,0.0
1991-2000,8,9,8 to 9,4,2.5,2.5,0.0
1991-2000,9,10,9 to 10,3,1.333333,2.0,0.333333
1991-2000,10,11,10 to 11,2,1.0,1.0,0.0
1991-2000,11,12,11 to 12,1,3.0,3.0,0.0
1991-2000,12,13,12 to 13,1,1.0,1.0,0.0
1991-2000,13,14,13 to 14,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,249,5.200803,4.0,0.084337
2001-2010,2,3,2 to 3,144,4.3125,3.0,0.090278
2001-2010,3,4,3 to 4,91,3.857143,3.0,0.142857
2001-2010,4,5,4 to 5,56,2.839286,2.0,0.125
2001-2010,5,6,5 to 6,36,2.611111,2.0,0.222222
2001-2010,6,7,6 to 7,22,2.045455,1.0,0.181818
2001-2010,7,8,7 to 8,17,1.352941,1.0,0.352941
2001-2010,8,9,8 to 9,11,2.909091,3.0,0.181818
2001-2010,9,10,9 to 10,9,1.666667,1.0,0.111111
2001-2010,10,11,10 to 11,7,1.571429,1.0,0.142857
2001-2010,11,12,11 to 12,4,0.5,0.5,0.5
2001-2010,12,13,12 to 13,4,1.25,1.5,0.25
2001-2010,13,14,13 to 14,3,1.0,1.0,0.0
2001-2010,14,15,14 to 15,3,1.0,1.0,0.0
2011-2020,1,2,1 to 2,255,4.345098,4.0,0.066667
2011-2020,2,3,2 to 3,99,2.747475,2.0,0.151515
2011-2020,3,4,3 to 4,50,2.9,2.0,0.06
2011-2020,4,5,4 to 5,25,2.56,2.0,0.08
2011-2020,5,6,5 to 6,13,1.230769,1.0,0.307692
2011-2020,6,7,6 to 7,7,1.714286,1.0,0.142857
2011-2020,7,8,7 to 8,3,2.0,1.0,0.333333
2011-2020,8,9,8 to 9,1,4.0,4.0,0.0
