from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,1,0.0,0.0,1.0
1,2,1 to 2,1951,2,4.0,4.0,0.0
1,2,1 to 2,1952,2,5.5,5.5,0.0
1,2,1 to 2,1954,1,11.0,11.0,0.0
1,2,1 to 2,1955,1,7.0,7.0,0.0
1,2,1 to 2,1958,2,2.0,2.0,0.0
1,2,1 to 2,1959,2,5.5,5.5,0.5
1,2,1 to 2,1960,1,5.0,5.0,0.0
1,2,1 to 2,1961,4,4.0,3.0,0.0
1,2,1 to 2,1962,3,15.0,11.0,0.0
1,2,1 to 2,1963,3,5.0,5.0,0.0
1,2,1 to 2,1965,3,14.0,18.0,0.0
1,2,1 to 2,1966,3,2.0,2.0,0.0
1,2,1 to 2,1967,2,4.5,4.5,0.0
1,2,1 to 2,1968,2,7.0,7.0,0.0
1,2,1 to 2,1969,6,20.166667,5.0,0.166667
1,2,1 to 2,1970,3,1.333333,1.0,0.0
1,2,1 to 2,1971,3,7.666667,9.0,0.0
1,2,1 to 2,1972,2,26.0,26.0,0.0
1,2,1 to 2,1973,6,12.5,10.5,0.0
1,2,1 to 2,1974,1,9.0,9.0,0.0
1,2,1 to 2,1975,1,4.0,4.0,0.0
1,2,1 to 2,1976,3,23.0,31.0,0.0
1,2,1 to 2,1977,6,4.5,4.0,0.166667
1,2,1 to 2,1978,4,10.75,3.0,0.0
1,2,1 to 2,1979,2,10.5,10.5,0.0
1,2,1 to 2,1980,4,9.25,3.0,0.0
1,2,1 to 2,1981,4,12.25,7.5,0.0
1,2,1 to 2,1982,7,10.428571,6.0,0.0
1,2,1 to 2,1983,8,10.25,6.5,0.0
1,2,1 to 2,1984,6,16.666667,15.5,0.0
1,2,1 to 2,1985,13,7.615385,5.0,0.0
1,2,1 to 2,1986,6,7.333333,6.5,0.0
1,2,1 to 2,1987,11,15.454545,18.0,0.0
1,2,1 to 2,1988,6,8.333333,5.0,0.0
1,2,1 to 2,1989,2,3.5,3.5,0.5
1,2,1 to 2,1990,8,7.75,4.5,0.0
1,2,1 to 2,1991,18,11.055556,12.0,0.0
1,2,1 to 2,1992,8,14.5,12.5,0.0
1,2,1 to 2,1993,9,3.666667,3.0,0.222222
1,2,1 to 2,1994,12,10.25,9.0,0.0
1,2,1 to 2,1995,8,6.125,4.0,0.25
1,2,1 to 2,1996,6,5.5,4.5,0.0
1,2,1 to 2,1997,8,3.0,1.5,0.0
1,2,1 to 2,1998,7,5.0,5.0,0.0
1,2,1 to 2,1999,18,9.777778,9.0,0.0
1,2,1 to 2,2000,20,7.5,4.5,0.0
1,2,1 to 2,2001,25,7.16,6.0,0.12
1,2,1 to 2,2002,18,6.888889,4.0,0.111111
1,2,1 to 2,2003,27,5.666667,5.0,0.074074
1,2,1 to 2,2004,26,6.307692,4.0,0.076923
1,2,1 to 2,2005,22,5.454545,5.0,0.045455
1,2,1 to 2,2006,11,2.454545,2.0,0.272727
1,2,1 to 2,2007,29,5.517241,4.0,0.034483
1,2,1 to 2,2008,26,3.961538,3.0,0.0
1,2,1 to 2,2009,31,4.258065,3.0,0.064516
1,2,1 to 2,2010,34,3.911765,3.0,0.147059
1,2,1 to 2,2011,15,5.666667,7.0,0.066667
1,2,1 to 2,2012,41,4.634146,3.0,0.121951
1,2,1 to 2,2013,29,6.068966,7.0,0.034483
1,2,1 to 2,2014,42,5.214286,5.0,0.02381
1,2,1 to 2,2015,21,4.047619,4.0,0.0
1,2,1 to 2,2016,22,3.0,2.5,0.136364
1,2,1 to 2,2017,33,3.333333,3.0,0.090909
1,2,1 to 2,2018,16,3.875,3.0,0.0
1,2,1 to 2,2019,17,3.470588,4.0,0.117647
1,2,1 to 2,2020,19,2.947368,3.0,0.052632
1,2,1 to 2,2021,20,2.85,3.0,0.1
1,2,1 to 2,2022,7,1.857143,2.0,0.0
1,2,1 to 2,2023,15,1.533333,2.0,0.133333
1,2,1 to 2,2024,7,1.428571,1.0,0.0
1,2,1 to 2,2025,6,0.166667,0.0,0.833333
