jel_field,field_name,total_papers_1995_2000,papers_with_top_author_1995_2000,share_1995_2000,total_papers_2020_2025,papers_with_top_author_2020_2025,share_2020_2025,change_percentage_points,recent_share_rank
D,Microeconomics,433,128,0.2956120092378753,1186,486,0.40978077571669475,11.416876647881946,1
E,Macroeconomics,270,73,0.27037037037037037,579,236,0.4075993091537133,13.722893878334292,2
C,Quantitative methods,294,113,0.3843537414965986,580,234,0.40344827586206894,1.9094534365470317,3
F,International economics,93,18,0.1935483870967742,224,89,0.39732142857142855,20.377304147465438,4
J,Labor economics,269,54,0.20074349442379183,591,232,0.3925549915397631,19.181149711597126,5
H,Public economics,141,24,0.1702127659574468,375,140,0.37333333333333335,20.312056737588655,6
I,"Health, education, and welfare",86,17,0.19767441860465115,361,132,0.3656509695290859,16.797655092443474,7
O,Development and growth,153,26,0.16993464052287582,446,159,0.35650224215246634,18.656760162959053,8
G,Financial economics,140,31,0.22142857142857142,413,126,0.3050847457627119,8.365617433414046,9
L,Industrial organization,109,18,0.1651376146788991,387,91,0.2351421188630491,7.000450418414999,10
