jel_field,field_name,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
D,Microeconomics,1995,1975,1994,10,1238,124,187,3,58,17,0.29310344827586204
D,Microeconomics,1996,1976,1995,10,1233,124,187,3,43,13,0.3023255813953488
D,Microeconomics,1997,1977,1996,10,1233,124,186,3,65,22,0.3384615384615385
D,Microeconomics,1998,1978,1997,10,1245,125,194,3,43,10,0.23255813953488372
D,Microeconomics,1999,1979,1998,10,1238,124,198,3,109,31,0.28440366972477066
D,Microeconomics,2000,1980,1999,10,1291,130,203,3,115,35,0.30434782608695654
D,Microeconomics,2020,2000,2019,10,3707,371,405,4,208,81,0.3894230769230769
D,Microeconomics,2021,2001,2020,10,3850,385,427,4,196,82,0.41836734693877553
D,Microeconomics,2022,2002,2021,10,3976,398,453,4,202,69,0.3415841584158416
D,Microeconomics,2023,2003,2022,10,4107,411,481,4,181,76,0.4198895027624309
D,Microeconomics,2024,2004,2023,10,4246,425,491,4,203,86,0.4236453201970443
D,Microeconomics,2025,2005,2024,10,4389,439,522,4,196,92,0.46938775510204084
C,Quantitative methods,1995,1975,1994,10,1432,144,222,3,39,14,0.358974358974359
C,Quantitative methods,1996,1976,1995,10,1405,141,224,3,47,16,0.3404255319148936
C,Quantitative methods,1997,1977,1996,10,1357,136,217,3,55,22,0.4
C,Quantitative methods,1998,1978,1997,10,1313,132,206,3,49,21,0.42857142857142855
C,Quantitative methods,1999,1979,1998,10,1287,129,196,3,52,17,0.3269230769230769
C,Quantitative methods,2000,1980,1999,10,1267,127,190,3,52,23,0.4423076923076923
C,Quantitative methods,2020,2000,2019,10,1930,193,303,3,97,33,0.3402061855670103
C,Quantitative methods,2021,2001,2020,10,2013,202,321,3,110,45,0.4090909090909091
C,Quantitative methods,2022,2002,2021,10,2113,212,333,3,106,38,0.3584905660377358
C,Quantitative methods,2023,2003,2022,10,2171,218,357,3,90,36,0.4
C,Quantitative methods,2024,2004,2023,10,2242,225,357,3,98,50,0.5102040816326531
C,Quantitative methods,2025,2005,2024,10,2321,233,364,3,79,32,0.4050632911392405
E,Macroeconomics,1995,1975,1994,10,1136,114,152,3,32,9,0.28125
E,Macroeconomics,1996,1976,1995,10,1114,112,147,3,44,10,0.22727272727272727
E,Macroeconomics,1997,1977,1996,10,1100,110,146,3,32,8,0.25
E,Macroeconomics,1998,1978,1997,10,1097,110,147,3,36,8,0.2222222222222222
E,Macroeconomics,1999,1979,1998,10,1092,110,147,3,52,15,0.28846153846153844
E,Macroeconomics,2000,1980,1999,10,1109,111,143,3,74,23,0.3108108108108108
E,Macroeconomics,2020,2000,2019,10,1862,187,191,4,94,36,0.3829787234042553
E,Macroeconomics,2021,2001,2020,10,1920,192,198,4,105,37,0.3523809523809524
E,Macroeconomics,2022,2002,2021,10,1980,198,210,4,90,44,0.4888888888888889
E,Macroeconomics,2023,2003,2022,10,2011,202,208,4,103,41,0.39805825242718446
E,Macroeconomics,2024,2004,2023,10,2075,208,217,4,101,43,0.42574257425742573
E,Macroeconomics,2025,2005,2024,10,2152,216,231,4,86,35,0.4069767441860465
J,Labor economics,1995,1975,1994,10,634,64,74,3,20,6,0.3
J,Labor economics,1996,1976,1995,10,629,63,72,3,34,8,0.23529411764705882
J,Labor economics,1997,1977,1996,10,638,64,71,3,26,5,0.19230769230769232
J,Labor economics,1998,1978,1997,10,656,66,71,3,31,7,0.22580645161290322
J,Labor economics,1999,1979,1998,10,662,67,70,3,85,15,0.17647058823529413
J,Labor economics,2000,1980,1999,10,744,75,75,3,73,13,0.1780821917808219
J,Labor economics,2020,2000,2019,10,2250,225,298,3,87,39,0.4482758620689655
J,Labor economics,2021,2001,2020,10,2327,233,300,3,89,35,0.39325842696629215
J,Labor economics,2022,2002,2021,10,2399,240,313,3,99,32,0.32323232323232326
J,Labor economics,2023,2003,2022,10,2477,248,331,3,92,36,0.391304347826087
