ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
JEL H,1951,1931,1950,1,AFZ000616,Kenneth,Arrow,1
JEL H,1951,1931,1950,1,AFZ001231,Jack,Behrman,1
JEL H,1951,1931,1950,1,AFZ001380,Abram,Bergson,1
JEL H,1951,1931,1950,1,AFZ001616,V,Bladen,1
JEL H,1951,1931,1950,1,AFZ001950,Howard,Bowen,1
JEL H,1951,1931,1950,1,AFZ002360,Susan,Burr,1
JEL H,1951,1931,1950,1,AFZ003590,W,Crum,1
JEL H,1951,1931,1950,1,AFZ004002,Donald,Dewey,1
JEL H,1951,1931,1950,1,AFZ004305,John,Due,1
JEL H,1951,1931,1950,1,AFZ004323,Eleanor,Dulles,1
JEL H,1951,1931,1950,1,AFZ004421,Kenneth,Eaton,1
JEL H,1951,1931,1950,1,AFZ004552,Douglas,Eldridge,1
JEL H,1951,1931,1950,1,AFZ004683,Alexander,Erlich,1
JEL H,1951,1931,1950,1,AFZ006389,Harold,Groves,1
JEL H,1951,1931,1950,1,AFZ006767,Frederick,Harbison,1
JEL H,1951,1931,1950,1,AFZ007396,Franklyn,Holzman,1
JEL H,1951,1931,1950,1,AFZ007678,John,Hutchins,1
JEL H,1951,1931,1950,1,AFZ008120,Gale,Johnson,1
JEL H,1951,1931,1950,1,AFZ008865,Frank,Knight,1
JEL H,1951,1931,1950,1,AFZ010099,Charles,Lindblom,1
JEL H,1951,1931,1950,1,AFZ010844,Jacob,Marschak,1
JEL H,1951,1931,1950,1,AFZ013238,Harvey,Perloff,1
JEL H,1951,1931,1950,1,AFZ013955,B,Ratchford,1
JEL H,1951,1931,1950,1,AFZ014027,Melvin,Reder,1
JEL H,1951,1931,1950,1,AFZ015727,Irving,Siegel,1
JEL H,1951,1931,1950,1,AFZ016781,Frank,Tamagna,1
JEL H,1951,1931,1950,1,AFZ017499,Rupert,Vance,1
JEL H,1951,1931,1950,1,AFZ017683,Arthur,Viner,1
JEL H,1951,1931,1950,1,AFZ018094,Edgar,Weinberg,1
JEL H,1951,1931,1950,5,AFZ000616,Kenneth,Arrow,1
JEL H,1951,1931,1950,5,AFZ001231,Jack,Behrman,1
JEL H,1951,1931,1950,5,AFZ001380,Abram,Bergson,1
JEL H,1951,1931,1950,5,AFZ001616,V,Bladen,1
JEL H,1951,1931,1950,5,AFZ001950,Howard,Bowen,1
JEL H,1951,1931,1950,5,AFZ002360,Susan,Burr,1
JEL H,1951,1931,1950,5,AFZ003590,W,Crum,1
JEL H,1951,1931,1950,5,AFZ004002,Donald,Dewey,1
JEL H,1951,1931,1950,5,AFZ004305,John,Due,1
JEL H,1951,1931,1950,5,AFZ004323,Eleanor,Dulles,1
JEL H,1951,1931,1950,5,AFZ004421,Kenneth,Eaton,1
JEL H,1951,1931,1950,5,AFZ004552,Douglas,Eldridge,1
JEL H,1951,1931,1950,5,AFZ004683,Alexander,Erlich,1
JEL H,1951,1931,1950,5,AFZ006389,Harold,Groves,1
JEL H,1951,1931,1950,5,AFZ006767,Frederick,Harbison,1
JEL H,1951,1931,1950,5,AFZ007396,Franklyn,Holzman,1
JEL H,1951,1931,1950,5,AFZ007678,John,Hutchins,1
JEL H,1951,1931,1950,5,AFZ008120,Gale,Johnson,1
JEL H,1951,1931,1950,5,AFZ008865,Frank,Knight,1
JEL H,1951,1931,1950,5,AFZ010099,Charles,Lindblom,1
JEL H,1951,1931,1950,5,AFZ010844,Jacob,Marschak,1
JEL H,1951,1931,1950,5,AFZ013238,Harvey,Perloff,1
JEL H,1951,1931,1950,5,AFZ013955,B,Ratchford,1
JEL H,1951,1931,1950,5,AFZ014027,Melvin,Reder,1
JEL H,1951,1931,1950,5,AFZ015727,Irving,Siegel,1
JEL H,1951,1931,1950,5,AFZ016781,Frank,Tamagna,1
JEL H,1951,1931,1950,5,AFZ017499,Rupert,Vance,1
JEL H,1951,1931,1950,5,AFZ017683,Arthur,Viner,1
JEL H,1951,1931,1950,5,AFZ018094,Edgar,Weinberg,1
JEL H,1951,1931,1950,10,AFZ000616,Kenneth,Arrow,1
JEL H,1951,1931,1950,10,AFZ001231,Jack,Behrman,1
JEL H,1951,1931,1950,10,AFZ001380,Abram,Bergson,1
JEL H,1951,1931,1950,10,AFZ001616,V,Bladen,1
JEL H,1951,1931,1950,10,AFZ001950,Howard,Bowen,1
JEL H,1951,1931,1950,10,AFZ002360,Susan,Burr,1
JEL H,1951,1931,1950,10,AFZ003590,W,Crum,1
JEL H,1951,1931,1950,10,AFZ004002,Donald,Dewey,1
JEL H,1951,1931,1950,10,AFZ004305,John,Due,1
JEL H,1951,1931,1950,10,AFZ004323,Eleanor,Dulles,1
JEL H,1951,1931,1950,10,AFZ004421,Kenneth,Eaton,1
JEL H,1951,1931,1950,10,AFZ004552,Douglas,Eldridge,1
JEL H,1951,1931,1950,10,AFZ004683,Alexander,Erlich,1
JEL H,1951,1931,1950,10,AFZ006389,Harold,Groves,1
JEL H,1951,1931,1950,10,AFZ006767,Frederick,Harbison,1
JEL H,1951,1931,1950,10,AFZ007396,Franklyn,Holzman,1
JEL H,1951,1931,1950,10,AFZ007678,John,Hutchins,1
JEL H,1951,1931,1950,10,AFZ008120,Gale,Johnson,1
JEL H,1951,1931,1950,10,AFZ008865,Frank,Knight,1
JEL H,1951,1931,1950,10,AFZ010099,Charles,Lindblom,1
