publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,29,29,1.0,28,28,1.0
1951,21,25,0.84,20,25,0.8
1952,35,41,0.853659,32,39,0.820513
1953,31,39,0.794872,27,33,0.818182
1954,30,38,0.789474,31,38,0.815789
1955,27,36,0.75,21,25,0.84
1956,24,27,0.888889,19,20,0.95
1957,22,31,0.709677,15,19,0.789474
1958,24,26,0.923077,17,18,0.944444
1959,30,40,0.75,26,30,0.866667
1960,13,20,0.65,11,18,0.611111
1961,38,47,0.808511,31,35,0.885714
1962,34,44,0.772727,27,35,0.771429
1963,26,34,0.764706,19,24,0.791667
1964,32,39,0.820513,26,31,0.83871
1965,27,36,0.75,20,26,0.769231
1966,34,40,0.85,25,31,0.806452
1967,10,23,0.434783,9,20,0.45
1968,23,28,0.821429,19,20,0.95
1969,19,25,0.76,18,22,0.818182
1970,42,51,0.823529,33,38,0.868421
1971,35,45,0.777778,28,33,0.848485
1972,41,56,0.732143,34,43,0.790698
1973,30,35,0.857143,27,30,0.9
1974,34,48,0.708333,28,39,0.717949
1975,20,23,0.869565,17,19,0.894737
1976,20,29,0.689655,20,26,0.769231
1977,50,62,0.806452,33,42,0.785714
1978,32,44,0.727273,23,33,0.69697
1979,33,45,0.733333,28,32,0.875
1980,32,51,0.627451,27,38,0.710526
1981,26,33,0.787879,22,26,0.846154
1982,23,31,0.741935,16,19,0.842105
1983,22,29,0.758621,19,20,0.95
1984,25,33,0.757576,19,21,0.904762
1985,38,52,0.730769,27,32,0.84375
1986,18,28,0.642857,17,23,0.73913
1987,17,26,0.653846,14,21,0.666667
1988,19,22,0.863636,14,15,0.933333
1989,16,20,0.8,12,13,0.923077
1990,13,16,0.8125,9,12,0.75
1991,22,29,0.758621,16,19,0.842105
1992,11,13,0.846154,7,8,0.875
1993,13,15,0.866667,9,10,0.9
1994,16,21,0.761905,10,12,0.833333
1995,27,32,0.84375,17,21,0.809524
1996,18,26,0.692308,15,16,0.9375
1997,24,30,0.8,14,15,0.933333
1998,30,38,0.789474,20,22,0.909091
1999,43,59,0.728814,30,35,0.857143
2000,38,54,0.703704,26,32,0.8125
2001,64,96,0.666667,38,50,0.76
2002,44,71,0.619718,26,38,0.684211
2003,58,76,0.763158,35,41,0.853659
2004,38,65,0.584615,25,36,0.694444
2005,43,73,0.589041,26,38,0.684211
2006,44,69,0.637681,25,31,0.806452
2007,45,77,0.584416,27,39,0.692308
2008,23,40,0.575,14,20,0.7
2009,57,96,0.59375,33,44,0.75
2010,69,107,0.64486,37,44,0.840909
2011,81,113,0.716814,46,50,0.92
2012,58,80,0.725,33,38,0.868421
2013,75,103,0.728155,41,49,0.836735
2014,105,165,0.636364,60,73,0.821918
2015,98,152,0.644737,55,67,0.820896
2016,112,171,0.654971,56,69,0.811594
2017,100,146,0.684932,51,61,0.836066
2018,79,127,0.622047,47,55,0.854545
2019,86,142,0.605634,53,61,0.868852
2020,54,96,0.5625,32,39,0.820513
2021,87,136,0.639706,48,56,0.857143
2022,127,192,0.661458,57,66,0.863636
2023,138,210,0.657143,66,73,0.90411
2024,120,182,0.659341,61,67,0.910448
2025,131,205,0.639024,66,74,0.891892
2026,55,81,0.679012,24,27,0.888889
