author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ006506,Marc,Gurgand,1998,1,0,0,0,solo
AFZ003335,James,Conklin,1998,1,0,0,0,solo
AFZ002963,Yan,Chen,1998,1,1,0,1,only_with_other_new_coauthors
AFZ016814,Fangfang,Tang,1998,1,1,0,1,only_with_other_new_coauthors
AFZ007384,Thomas,Holmes,1998,1,0,0,0,solo
AFZ005558,William,Gale,1998,1,0,0,0,solo
AFZ013122,Christina,Paxson,1998,1,1,1,0,with_experienced_coauthor
AFZ012006,Casey,Mulligan,1998,1,0,0,0,solo
AFZ012938,Oded,Palmon,1998,1,1,0,1,only_with_other_new_coauthors
AFZ015951,Barton,Smith,1998,1,1,0,1,only_with_other_new_coauthors
AFZ000453,James,Andreoni,1998,1,0,0,0,solo
AFZ000306,Sam,Allgood,1998,1,1,0,1,only_with_other_new_coauthors
AFZ016024,Arthur,Snow,1998,1,1,0,1,only_with_other_new_coauthors
AFZ003377,Thomas,Cooley,1999,1,1,0,1,only_with_other_new_coauthors
AFZ016035,Jorge,Soares,1999,1,1,0,1,only_with_other_new_coauthors
AFZ002830,Amitabh,Chandra,1999,1,1,0,1,only_with_other_new_coauthors
AFZ004042,Stacy,Dickert-Conlin,1999,1,1,0,1,only_with_other_new_coauthors
AFZ008863,Thomas,Kniesner,1999,1,1,0,1,only_with_other_new_coauthors
AFZ019119,James,Ziliak,1999,1,1,0,1,only_with_other_new_coauthors
AFZ000533,Patricia,Apps,1999,1,1,0,1,only_with_other_new_coauthors
AFZ014047,Ray,Rees,1999,1,1,0,1,only_with_other_new_coauthors
AFZ015722,Holger,Sieg,1999,1,1,1,0,with_experienced_coauthor
AFZ008439,Jonathan,Karpoff,1999,1,1,0,1,only_with_other_new_coauthors
AFZ017568,Valaria,Vendrzyk,1999,1,1,0,1,only_with_other_new_coauthors
AFZ015763,Emilson,Silva,1999,1,1,1,0,with_experienced_coauthor
AFZ010341,John,Lott,1999,2,1,1,0,with_experienced_coauthor
AFZ018782,Aaron,Yelowitz,1999,1,1,1,0,with_experienced_coauthor
AFZ015727,Irving,Siegel,1950,1,1,0,1,only_with_other_new_coauthors
AFZ018094,Edgar,Weinberg,1950,1,1,0,1,only_with_other_new_coauthors
AFZ017499,Rupert,Vance,1950,1,0,0,0,solo
AFZ013238,Harvey,Perloff,1950,1,0,0,0,solo
AFZ004421,Kenneth,Eaton,1950,1,0,0,0,solo
AFZ008120,Gale,Johnson,1950,1,0,0,0,solo
AFZ001616,V,Bladen,1950,1,0,0,0,solo
AFZ010099,Charles,Lindblom,1950,1,0,0,0,solo
AFZ001950,Howard,Bowen,1950,1,0,0,0,solo
AFZ004305,John,Due,1950,1,0,0,0,solo
AFZ002360,Susan,Burr,1950,1,0,0,0,solo
AFZ004552,Douglas,Eldridge,1950,1,0,0,0,solo
AFZ004002,Donald,Dewey,1950,1,0,0,0,solo
AFZ004323,Eleanor,Dulles,1950,1,0,0,0,solo
AFZ000616,Kenneth,Arrow,1950,1,0,0,0,solo
AFZ006767,Frederick,Harbison,1950,1,0,0,0,solo
AFZ007396,Franklyn,Holzman,1950,1,0,0,0,solo
AFZ016781,Frank,Tamagna,1950,1,0,0,0,solo
AFZ013955,B,Ratchford,1950,1,0,0,0,solo
AFZ017683,Arthur,Viner,1950,1,0,0,0,solo
AFZ006389,Harold,Groves,1950,1,0,0,0,solo
AFZ008865,Frank,Knight,1950,1,0,0,0,solo
AFZ006966,Earl,Heady,1951,1,0,0,0,solo
AFZ001927,Kenneth,Boulding,1951,1,0,0,0,solo
AFZ002252,J,Buchanan,1951,1,0,0,0,solo
AFZ001202,Herbert,Beckerath,1951,1,0,0,0,solo
AFZ010631,Sherman,Maisel,1951,1,0,0,0,solo
AFZ018563,David,Wright,1951,1,0,0,0,solo
AFZ012681,Ernest,Olson,1951,1,0,0,0,solo
AFZ007518,Elizabeth,Hoyt,1951,1,0,0,0,solo
AFZ007507,Jay,Howenstine,1951,1,0,0,0,solo
AFZ002253,James,Buchanan,1951,1,0,0,0,solo
AFZ011908,Frederick,Mosteller,1951,1,1,0,1,only_with_other_new_coauthors
AFZ012456,Philip,Nogee,1951,1,1,0,1,only_with_other_new_coauthors
AFZ002493,Colin,Campbell,1951,1,0,0,0,solo
AFZ009767,George,Lent,1951,1,0,0,0,solo
AFZ006721,Alvin,Hansen,1951,1,0,0,0,solo
AFZ007404,Ralph,Hon,1951,1,0,0,0,solo
AFZ006581,Everett,Hagen,1951,1,0,0,0,solo
AFZ005412,Milton,Friedman,1952,1,0,0,0,solo
AFZ009811,Don,Lescohier,1952,1,0,0,0,solo
AFZ014436,Earl,Rolph,1952,1,0,0,0,solo
AFZ010787,Arthur,Marget,1952,1,0,0,0,solo
AFZ006110,Carter,Goodrich,1952,1,0,0,0,solo
AFZ011022,James,Maxwell,1952,2,0,0,0,solo
AFZ008561,Donald,Kemmerer,1952,1,0,0,0,solo
AFZ013367,Cecil,Phipps,1952,1,0,0,0,solo
AFZ002231,Karl,Brunner,1952,1,0,0,0,solo
AFZ010252,Philip,Locklin,1952,1,0,0,0,solo
AFZ018252,Leonard,White,1952,1,0,0,0,solo
AFZ007825,John,Ise,1952,1,0,0,0,solo
AFZ005791,Alexander,Gerschenkron,1952,1,0,0,0,solo
AFZ004406,James,Earley,1952,1,0,0,0,solo
AFZ017048,Daniel,Thorner,1952,1,0,0,0,solo
AFZ008025,James,Jensen,1952,1,0,0,0,solo
AFZ006510,John,Gurley,1952,1,0,0,0,solo
AFZ007464,Bert,Hoselitz,1952,1,0,0,0,solo
AFZ017037,Procter,Thomson,1952,1,0,0,0,solo
AFZ011881,Walter,Morton,1952,1,0,0,0,solo
AFZ016533,Adolf,Sturmthal,1953,1,0,0,0,solo
AFZ011177,Roland,McKean,1953,1,0,0,0,solo
AFZ008769,Paul,Kircher,1953,1,0,0,0,solo
AFZ008538,Gordon,Keith,1953,1,0,0,0,solo
AFZ012091,Richard,Musgrave,1953,2,1,0,1,only_with_other_new_coauthors
AFZ010665,Wilfred,Malenbaum,1953,1,0,0,0,solo
AFZ014573,Jerome,Rothenberg,1953,1,0,0,0,solo
AFZ003113,C,Christenson,1953,1,0,0,0,solo
AFZ017815,Robert,Walcott,1953,1,0,0,0,solo
AFZ002203,O,Brownlee,1954,1,0,0,0,solo
AFZ012655,Henry,Oliver,1954,2,0,0,0,solo
AFZ016159,George,Soule,1954,1,0,0,0,solo
AFZ002030,Karl,Brandt,1954,1,0,0,0,solo
AFZ016488,Paul,Strayer,1954,1,0,0,0,solo
AFZ011779,Wilbert,Moore,1954,1,0,0,0,solo
AFZ009545,Maurice,Latta,1954,1,0,0,0,solo
AFZ002399,John,Buttrick,1954,1,0,0,0,solo
AFZ006968,Kent,Healy,1954,1,0,0,0,solo
AFZ010792,Julius,Margolis,1954,1,0,0,0,solo
AFZ014583,Simon,Rottenberg,1954,1,0,0,0,solo
AFZ009802,Eugene,Lerner,1954,2,0,0,0,solo
AFZ006637,Challis,Hall,1954,1,0,0,0,solo
AFZ017473,Stefan,Valavanis-Vail,1954,1,0,0,0,solo
AFZ003178,J,Clark,1954,1,0,0,0,solo
AFZ003373,Thomas,Cook,1954,1,0,0,0,solo
AFZ016004,Arthur,Smithies,1955,1,0,0,0,solo
AFZ007352,Elmo,Hohman,1955,1,0,0,0,solo
AFZ018572,Quincy,Wright,1955,1,0,0,0,solo
AFZ001579,Charles,Bishop,1955,1,0,0,0,solo
AFZ006829,John,Harsanyi,1955,1,0,0,0,solo
AFZ008013,H,Jenkins,1955,1,0,0,0,solo
AFZ016197,Joseph,Spengler,1955,1,0,0,0,solo
AFZ004225,Douglas,Dowd,1956,1,0,0,0,solo
AFZ018085,Rolf,Weil,1956,1,0,0,0,solo
AFZ009694,Wayne,Leeman,1956,1,0,0,0,solo
AFZ012913,F,Paish,1956,1,0,0,0,solo
AFZ016225,Frank,Spooner,1956,1,0,0,0,solo
AFZ017074,Charles,Tiebout,1956,1,0,0,0,solo
AFZ006282,Rush,Greenslade,1956,1,0,0,0,solo
AFZ012524,Warren,Nutter,1956,1,0,0,0,solo
AFZ018448,Edwin,Witte,1957,1,0,0,0,solo
AFZ018546,Dean,Worcester,1957,1,0,0,0,solo
