first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,2,27,0,29,0.0,0.068966,0.931034
1951,2,19,0,21,0.0,0.095238,0.904762
1952,8,27,0,35,0.0,0.228571,0.771429
1953,10,18,3,31,0.096774,0.322581,0.580645
1954,4,25,1,30,0.033333,0.133333,0.833333
1955,6,13,8,27,0.296296,0.222222,0.481481
1956,8,13,3,24,0.125,0.333333,0.541667
1957,8,5,9,22,0.409091,0.363636,0.227273
1958,12,11,1,24,0.041667,0.5,0.458333
1959,6,18,6,30,0.2,0.2,0.6
1960,3,9,1,13,0.076923,0.230769,0.692308
1961,13,21,4,38,0.105263,0.342105,0.552632
1962,13,18,3,34,0.088235,0.382353,0.529412
1963,9,13,4,26,0.153846,0.346154,0.5
1964,12,20,0,32,0.0,0.375,0.625
1965,10,12,5,27,0.185185,0.37037,0.444444
1966,13,20,1,34,0.029412,0.382353,0.588235
1967,2,6,2,10,0.2,0.2,0.6
1968,8,11,4,23,0.173913,0.347826,0.478261
1969,6,12,1,19,0.052632,0.315789,0.631579
1970,16,24,2,42,0.047619,0.380952,0.571429
1971,10,17,8,35,0.228571,0.285714,0.485714
1972,16,20,5,41,0.121951,0.390244,0.487805
1973,6,22,2,30,0.066667,0.2,0.733333
1974,10,21,3,34,0.088235,0.294118,0.617647
1975,6,13,1,20,0.05,0.3,0.65
1976,2,14,4,20,0.2,0.1,0.7
1977,31,16,3,50,0.06,0.62,0.32
1978,17,13,2,32,0.0625,0.53125,0.40625
1979,12,14,7,33,0.212121,0.363636,0.424242
1980,12,15,5,32,0.15625,0.375,0.46875
1981,8,16,2,26,0.076923,0.307692,0.615385
1982,12,6,5,23,0.217391,0.521739,0.26087
1983,6,11,5,22,0.227273,0.272727,0.5
1984,8,10,7,25,0.28,0.32,0.4
1985,19,11,8,38,0.210526,0.5,0.289474
1986,4,10,4,18,0.222222,0.222222,0.555556
1987,6,10,1,17,0.058824,0.352941,0.588235
1988,8,8,3,19,0.157895,0.421053,0.421053
1989,6,6,4,16,0.25,0.375,0.375
1990,8,5,0,13,0.0,0.615385,0.384615
1991,13,6,3,22,0.136364,0.590909,0.272727
1992,6,3,2,11,0.181818,0.545455,0.272727
1993,5,6,2,13,0.153846,0.384615,0.461538
1994,7,3,6,16,0.375,0.4375,0.1875
1995,19,6,2,27,0.074074,0.703704,0.222222
1996,7,5,6,18,0.333333,0.388889,0.277778
1997,16,3,5,24,0.208333,0.666667,0.125
1998,17,9,4,30,0.133333,0.566667,0.3
1999,28,8,7,43,0.162791,0.651163,0.186047
2000,27,7,4,38,0.105263,0.710526,0.184211
2001,41,6,17,64,0.265625,0.640625,0.09375
2002,25,9,10,44,0.227273,0.568182,0.204545
2003,37,7,14,58,0.241379,0.637931,0.12069
2004,16,9,13,38,0.342105,0.421053,0.236842
2005,19,3,21,43,0.488372,0.44186,0.069767
2006,22,7,15,44,0.340909,0.5,0.159091
2007,26,8,11,45,0.244444,0.577778,0.177778
2008,13,2,8,23,0.347826,0.565217,0.086957
2009,27,5,25,57,0.438596,0.473684,0.087719
2010,30,9,30,69,0.434783,0.434783,0.130435
2011,42,9,30,81,0.37037,0.518519,0.111111
2012,34,7,17,58,0.293103,0.586207,0.12069
2013,39,8,28,75,0.373333,0.52,0.106667
2014,59,8,38,105,0.361905,0.561905,0.07619
2015,51,8,39,98,0.397959,0.520408,0.081633
2016,59,4,49,112,0.4375,0.526786,0.035714
2017,52,6,42,100,0.42,0.52,0.06
2018,36,7,36,79,0.455696,0.455696,0.088608
2019,21,15,50,86,0.581395,0.244186,0.174419
2020,19,6,29,54,0.537037,0.351852,0.111111
2021,40,9,38,87,0.436782,0.45977,0.103448
2022,52,6,69,127,0.543307,0.409449,0.047244
2023,51,10,77,138,0.557971,0.369565,0.072464
2024,40,9,71,120,0.591667,0.333333,0.075
2025,68,9,54,131,0.412214,0.519084,0.068702
2026,21,2,32,55,0.581818,0.381818,0.036364
