entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,56,10.035714,6.5,0.053571
1981-1990,2,3,2 to 3,20,10.4,12.0,0.15
1981-1990,3,4,3 to 4,11,7.454545,4.0,0.0
1981-1990,4,5,4 to 5,4,6.75,3.0,0.25
1981-1990,5,6,5 to 6,3,5.666667,3.0,0.0
1981-1990,6,7,6 to 7,3,5.333333,3.0,0.0
1981-1990,7,8,7 to 8,2,4.5,4.5,0.0
1981-1990,8,9,8 to 9,2,4.5,4.5,0.0
1981-1990,9,10,9 to 10,1,6.0,6.0,0.0
1981-1990,10,11,10 to 11,1,2.0,2.0,0.0
1991-2000,1,2,1 to 2,107,7.102804,5.0,0.093458
1991-2000,2,3,2 to 3,55,5.509091,4.0,0.036364
1991-2000,3,4,3 to 4,26,4.923077,3.0,0.115385
1991-2000,4,5,4 to 5,18,3.944444,3.5,0.111111
1991-2000,5,6,5 to 6,15,2.533333,2.0,0.2
1991-2000,6,7,6 to 7,10,5.5,3.5,0.1
1991-2000,7,8,7 to 8,6,3.5,3.0,0.0
1991-2000,8,9,8 to 9,4,2.0,2.0,0.0
1991-2000,9,10,9 to 10,3,7.333333,8.0,0.0
1991-2000,10,11,10 to 11,2,0.5,0.5,0.5
1991-2000,11,12,11 to 12,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,173,5.947977,4.0,0.017341
2001-2010,2,3,2 to 3,81,4.320988,3.0,0.049383
2001-2010,3,4,3 to 4,45,4.355556,3.0,0.066667
2001-2010,4,5,4 to 5,29,2.517241,2.0,0.172414
2001-2010,5,6,5 to 6,17,2.705882,2.0,0.117647
2001-2010,6,7,6 to 7,10,1.0,1.0,0.3
2001-2010,7,8,7 to 8,10,1.6,2.0,0.0
2001-2010,8,9,8 to 9,10,1.6,1.5,0.4
2001-2010,9,10,9 to 10,9,2.222222,2.0,0.222222
2001-2010,10,11,10 to 11,6,1.166667,1.0,0.5
2001-2010,11,12,11 to 12,4,1.0,1.0,0.5
2001-2010,12,13,12 to 13,4,1.0,0.0,0.75
2001-2010,13,14,13 to 14,3,0.333333,0.0,0.666667
2001-2010,14,15,14 to 15,3,1.333333,1.0,0.333333
2001-2010,15,16,15 to 16,3,1.0,1.0,0.0
2001-2010,16,17,16 to 17,2,0.5,0.5,0.5
2001-2010,17,18,17 to 18,2,3.5,3.5,0.0
2001-2010,18,19,18 to 19,1,1.0,1.0,0.0
2001-2010,19,20,19 to 20,1,1.0,1.0,0.0
2001-2010,20,21,20 to 21,1,1.0,1.0,0.0
2001-2010,21,22,21 to 22,1,1.0,1.0,0.0
2001-2010,22,23,22 to 23,1,4.0,4.0,0.0
2011-2020,1,2,1 to 2,238,4.0,4.0,0.10084
2011-2020,2,3,2 to 3,101,3.0,2.0,0.09901
2011-2020,3,4,3 to 4,36,2.222222,2.0,0.194444
2011-2020,4,5,4 to 5,21,2.142857,1.0,0.285714
2011-2020,5,6,5 to 6,9,1.555556,1.0,0.333333
2011-2020,6,7,6 to 7,6,2.166667,1.5,0.166667
2011-2020,7,8,7 to 8,3,0.333333,0.0,0.666667
2011-2020,8,9,8 to 9,3,2.0,1.0,0.0
2011-2020,9,10,9 to 10,2,1.0,1.0,0.5
2011-2020,10,11,10 to 11,1,1.0,1.0,0.0
2011-2020,11,12,11 to 12,1,3.0,3.0,0.0
