from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,12,5.5,2.5,0.0
1,2,1 to 2,1951,7,3.142857,2.0,0.0
1,2,1 to 2,1952,12,7.5,6.5,0.083333
1,2,1 to 2,1953,10,6.3,3.5,0.1
1,2,1 to 2,1954,12,3.833333,2.5,0.25
1,2,1 to 2,1955,4,5.75,2.5,0.0
1,2,1 to 2,1956,4,3.0,2.0,0.0
1,2,1 to 2,1957,3,2.666667,2.0,0.333333
1,2,1 to 2,1958,9,5.111111,3.0,0.111111
1,2,1 to 2,1959,4,6.0,5.5,0.0
1,2,1 to 2,1960,2,6.0,6.0,0.0
1,2,1 to 2,1961,5,4.6,2.0,0.0
1,2,1 to 2,1962,7,6.428571,5.0,0.142857
1,2,1 to 2,1963,7,4.428571,2.0,0.0
1,2,1 to 2,1964,4,9.5,9.5,0.0
1,2,1 to 2,1965,5,16.4,7.0,0.0
1,2,1 to 2,1966,4,4.25,1.0,0.0
1,2,1 to 2,1967,2,2.0,2.0,0.0
1,2,1 to 2,1968,5,5.4,5.0,0.0
1,2,1 to 2,1969,5,2.2,1.0,0.2
1,2,1 to 2,1970,7,9.571429,9.0,0.0
1,2,1 to 2,1971,4,1.5,1.0,0.0
1,2,1 to 2,1972,6,10.833333,8.0,0.166667
1,2,1 to 2,1973,13,3.461538,3.0,0.076923
1,2,1 to 2,1974,4,12.0,10.0,0.0
1,2,1 to 2,1975,6,2.666667,2.0,0.0
1,2,1 to 2,1976,4,3.0,1.5,0.25
1,2,1 to 2,1977,16,7.375,3.0,0.0625
1,2,1 to 2,1978,10,13.3,7.0,0.0
1,2,1 to 2,1979,9,5.222222,4.0,0.111111
1,2,1 to 2,1980,6,6.166667,5.0,0.166667
1,2,1 to 2,1981,6,4.0,4.0,0.0
1,2,1 to 2,1982,7,12.857143,15.0,0.142857
1,2,1 to 2,1983,5,8.8,8.0,0.0
1,2,1 to 2,1984,7,4.428571,4.0,0.0
1,2,1 to 2,1985,11,12.363636,15.0,0.090909
1,2,1 to 2,1986,6,10.333333,7.5,0.166667
1,2,1 to 2,1987,5,10.2,9.0,0.0
1,2,1 to 2,1988,4,12.5,5.5,0.0
1,2,1 to 2,1989,4,10.5,10.0,0.0
1,2,1 to 2,1990,1,32.0,32.0,0.0
1,2,1 to 2,1991,7,9.285714,8.0,0.142857
1,2,1 to 2,1992,4,8.75,7.5,0.0
1,2,1 to 2,1993,4,13.5,14.0,0.0
1,2,1 to 2,1994,8,8.125,6.0,0.0
1,2,1 to 2,1995,13,6.384615,5.0,0.076923
1,2,1 to 2,1996,11,11.909091,9.0,0.090909
1,2,1 to 2,1997,11,6.636364,4.0,0.0
1,2,1 to 2,1998,11,6.272727,6.0,0.090909
1,2,1 to 2,1999,20,4.45,3.5,0.1
1,2,1 to 2,2000,18,5.333333,2.5,0.222222
1,2,1 to 2,2001,23,7.391304,4.0,0.0
1,2,1 to 2,2002,16,6.1875,4.0,0.0
1,2,1 to 2,2003,23,6.173913,4.0,0.043478
1,2,1 to 2,2004,13,6.153846,6.0,0.0
1,2,1 to 2,2005,12,6.333333,4.0,0.083333
1,2,1 to 2,2006,18,5.944444,4.0,0.0
1,2,1 to 2,2007,15,4.733333,4.0,0.0
1,2,1 to 2,2008,5,7.8,6.0,0.0
1,2,1 to 2,2009,22,5.954545,7.0,0.0
1,2,1 to 2,2010,26,4.384615,3.5,0.038462
1,2,1 to 2,2011,23,5.782609,5.0,0.043478
1,2,1 to 2,2012,18,4.277778,3.0,0.0
1,2,1 to 2,2013,32,3.875,3.0,0.09375
1,2,1 to 2,2014,24,3.916667,4.0,0.25
1,2,1 to 2,2015,35,3.514286,2.0,0.085714
1,2,1 to 2,2016,32,3.78125,3.0,0.15625
1,2,1 to 2,2017,22,4.681818,5.0,0.090909
1,2,1 to 2,2018,19,3.736842,5.0,0.157895
1,2,1 to 2,2019,17,3.352941,3.0,0.058824
1,2,1 to 2,2020,16,3.0625,2.0,0.0
1,2,1 to 2,2021,11,2.818182,3.0,0.090909
1,2,1 to 2,2022,11,1.909091,2.0,0.090909
1,2,1 to 2,2023,15,1.333333,2.0,0.266667
1,2,1 to 2,2024,10,1.4,1.0,0.0
1,2,1 to 2,2025,2,0.0,0.0,1.0
