publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
1950,1930,1949,1,0,0,0,,2,0,0.0
1950,1930,1949,5,0,0,0,,2,0,0.0
1950,1930,1949,10,0,0,0,,2,0,0.0
1951,1931,1950,1,2,1,2,1,1,0,0.0
1951,1931,1950,5,2,1,2,1,1,0,0.0
1951,1931,1950,10,2,1,2,1,1,0,0.0
1952,1932,1951,1,3,1,3,1,3,0,0.0
1952,1932,1951,5,3,1,3,1,3,0,0.0
1952,1932,1951,10,3,1,3,1,3,0,0.0
1953,1933,1952,1,7,1,7,1,1,0,0.0
1953,1933,1952,5,7,1,7,1,1,0,0.0
1953,1933,1952,10,7,1,7,1,1,0,0.0
1954,1934,1953,1,8,1,8,1,1,1,1.0
1954,1934,1953,5,8,1,8,1,1,1,1.0
1954,1934,1953,10,8,1,8,1,1,1,1.0
1955,1935,1954,1,8,1,1,2,1,0,0.0
1955,1935,1954,5,8,1,1,2,1,0,0.0
1955,1935,1954,10,8,1,1,2,1,0,0.0
1956,1936,1955,1,9,1,1,2,1,0,0.0
1956,1936,1955,5,9,1,1,2,1,0,0.0
1956,1936,1955,10,9,1,1,2,1,0,0.0
1957,1937,1956,1,10,1,1,2,4,0,0.0
1957,1937,1956,5,10,1,1,2,4,0,0.0
1957,1937,1956,10,10,1,1,2,4,0,0.0
1958,1938,1957,1,16,1,1,2,2,0,0.0
1958,1938,1957,5,16,1,1,2,2,0,0.0
1958,1938,1957,10,16,2,16,1,2,0,0.0
1959,1939,1958,1,18,1,1,2,2,0,0.0
1959,1939,1958,5,18,1,1,2,2,0,0.0
1959,1939,1958,10,18,2,18,1,2,0,0.0
1960,1940,1959,1,20,1,1,2,2,0,0.0
1960,1940,1959,5,20,1,1,2,2,0,0.0
1960,1940,1959,10,20,2,20,1,2,2,1.0
1961,1941,1960,1,20,1,3,2,2,0,0.0
1961,1941,1960,5,20,1,3,2,2,0,0.0
1961,1941,1960,10,20,2,3,2,2,0,0.0
1962,1942,1961,1,22,1,3,2,5,0,0.0
1962,1942,1961,5,22,2,3,2,5,0,0.0
1962,1942,1961,10,22,3,3,2,5,0,0.0
1963,1943,1962,1,26,1,4,2,5,0,0.0
1963,1943,1962,5,26,2,4,2,5,0,0.0
1963,1943,1962,10,26,3,4,2,5,0,0.0
1964,1944,1963,1,33,1,4,2,3,0,0.0
1964,1944,1963,5,33,2,4,2,3,0,0.0
1964,1944,1963,10,33,4,4,2,3,0,0.0
1965,1945,1964,1,36,1,4,2,7,1,0.142857
1965,1945,1964,5,36,2,4,2,7,1,0.142857
1965,1945,1964,10,36,4,4,2,7,1,0.142857
1966,1946,1965,1,42,1,1,3,6,2,0.333333
1966,1946,1965,5,42,3,5,2,6,2,0.333333
1966,1946,1965,10,42,5,5,2,6,2,0.333333
1967,1947,1966,1,47,1,1,5,3,0,0.0
1967,1947,1966,5,47,3,5,2,3,0,0.0
1967,1947,1966,10,47,5,5,2,3,0,0.0
1968,1948,1967,1,51,1,1,5,3,0,0.0
1968,1948,1967,5,51,3,5,2,3,1,0.333333
1968,1948,1967,10,51,6,51,1,3,1,0.333333
1969,1949,1968,1,54,1,1,5,7,0,0.0
1969,1949,1968,5,54,3,5,2,7,0,0.0
1969,1949,1968,10,54,6,54,1,7,0,0.0
1970,1950,1969,1,62,1,1,5,4,0,0.0
1970,1950,1969,5,62,4,6,2,4,0,0.0
1970,1950,1969,10,62,7,62,1,4,1,0.25
1971,1951,1970,1,64,1,1,5,8,1,0.125
1971,1951,1970,5,64,4,7,2,8,1,0.125
1971,1951,1970,10,64,7,7,2,8,1,0.125
1972,1952,1971,1,73,1,1,6,13,0,0.0
1972,1952,1971,5,73,4,7,2,13,0,0.0
1972,1952,1971,10,73,8,73,1,13,4,0.307692
1973,1953,1972,1,80,1,1,6,13,0,0.0
1973,1953,1972,5,80,4,10,2,13,1,0.076923
1973,1953,1972,10,80,8,10,2,13,1,0.076923
1974,1954,1973,1,93,1,1,6,6,0,0.0
1974,1954,1973,5,93,5,11,2,6,0,0.0
1974,1954,1973,10,93,10,11,2,6,0,0.0
1975,1955,1974,1,98,1,1,6,9,0,0.0
1975,1955,1974,5,98,5,12,2,9,0,0.0
1975,1955,1974,10,98,10,12,2,9,0,0.0
1976,1956,1975,1,106,2,3,3,5,0,0.0
1976,1956,1975,5,106,6,14,2,5,1,0.2
1976,1956,1975,10,106,11,14,2,5,1,0.2
1977,1957,1976,1,111,2,4,3,6,1,0.166667
1977,1957,1976,5,111,6,14,2,6,3,0.5
1977,1957,1976,10,111,12,14,2,6,3,0.5
1978,1958,1977,1,110,2,3,4,3,0,0.0
1978,1958,1977,5,110,6,14,2,3,0,0.0
1978,1958,1977,10,110,11,14,2,3,0,0.0
1979,1959,1978,1,113,2,2,4,8,0,0.0
1979,1959,1978,5,113,6,15,2,8,2,0.25
1979,1959,1978,10,113,12,15,2,8,2,0.25
1980,1960,1979,1,122,2,3,4,5,0,0.0
1980,1960,1979,5,122,7,15,2,5,0,0.0
1980,1960,1979,10,122,13,15,2,5,0,0.0
1981,1961,1980,1,129,2,3,4,1,0,0.0
1981,1961,1980,5,129,7,15,2,1,0,0.0
1981,1961,1980,10,129,13,15,2,1,0,0.0
1982,1962,1981,1,127,2,3,4,5,0,0.0
1982,1962,1981,5,127,7,16,2,5,0,0.0
1982,1962,1981,10,127,13,16,2,5,0,0.0
1983,1963,1982,1,132,2,3,4,3,0,0.0
1983,1963,1982,5,132,7,16,2,3,0,0.0
1983,1963,1982,10,132,14,16,2,3,0,0.0
1984,1964,1983,1,129,2,3,4,3,0,0.0
1984,1964,1983,5,129,7,17,2,3,0,0.0
1984,1964,1983,10,129,13,17,2,3,0,0.0
1985,1965,1984,1,131,2,3,4,4,0,0.0
1985,1965,1984,5,131,7,18,2,4,0,0.0
1985,1965,1984,10,131,14,18,2,4,0,0.0
1986,1966,1985,1,129,2,2,4,1,0,0.0
1986,1966,1985,5,129,7,17,2,1,0,0.0
1986,1966,1985,10,129,13,17,2,1,0,0.0
1987,1967,1986,1,127,2,2,4,4,0,0.0
1987,1967,1986,5,127,7,15,2,4,0,0.0
1987,1967,1986,10,127,13,15,2,4,0,0.0
1988,1968,1987,1,129,2,2,4,6,0,0.0
1988,1968,1987,5,129,7,14,2,6,0,0.0
1988,1968,1987,10,129,13,14,2,6,0,0.0
1989,1969,1988,1,136,2,2,4,2,0,0.0
1989,1969,1988,5,136,7,14,2,2,0,0.0
1989,1969,1988,10,136,14,14,2,2,0,0.0
1990,1970,1989,1,133,2,2,4,5,0,0.0
1990,1970,1989,5,133,7,13,2,5,0,0.0
1990,1970,1989,10,133,14,133,1,5,2,0.4
1991,1971,1990,1,135,2,2,4,3,0,0.0
1991,1971,1990,5,135,7,14,2,3,1,0.333333
1991,1971,1990,10,135,14,14,2,3,1,0.333333
1992,1972,1991,1,128,2,3,3,4,0,0.0
1992,1972,1991,5,128,7,14,2,4,0,0.0
1992,1972,1991,10,128,13,14,2,4,0,0.0
1993,1973,1992,1,124,2,3,3,2,0,0.0
1993,1973,1992,5,124,7,10,2,2,0,0.0
1993,1973,1992,10,124,13,124,1,2,0,0.0
1994,1974,1993,1,114,2,2,3,6,0,0.0
1994,1974,1993,5,114,6,8,2,6,0,0.0
1994,1974,1993,10,114,12,114,1,6,1,0.166667
1995,1975,1994,1,115,2,2,3,10,0,0.0
1995,1975,1994,5,115,6,10,2,10,1,0.1
1995,1975,1994,10,115,12,115,1,10,1,0.1
1996,1976,1995,1,119,2,3,3,13,0,0.0
1996,1976,1995,5,119,6,10,2,13,0,0.0
1996,1976,1995,10,119,12,119,1,13,3,0.230769
1997,1977,1996,1,132,2,3,3,8,0,0.0
1997,1977,1996,5,132,7,13,2,8,0,0.0
1997,1977,1996,10,132,14,132,1,8,1,0.125
1998,1978,1997,1,141,2,2,3,6,0,0.0
1998,1978,1997,5,141,8,13,2,6,2,0.333333
1998,1978,1997,10,141,15,141,1,6,3,0.5
1999,1979,1998,1,144,2,3,3,24,1,0.041667
1999,1979,1998,5,144,8,15,2,24,6,0.25
1999,1979,1998,10,144,15,15,2,24,6,0.25
2000,1980,1999,1,160,2,2,4,25,1,0.04
2000,1980,1999,5,160,8,8,3,25,2,0.08
2000,1980,1999,10,160,16,21,2,25,3,0.12
2001,1981,2000,1,187,2,3,4,31,2,0.064516
2001,1981,2000,5,187,10,10,3,31,3,0.096774
2001,1981,2000,10,187,19,23,2,31,5,0.16129
2002,1982,2001,1,226,3,4,4,26,1,0.038462
2002,1982,2001,5,226,12,14,3,26,5,0.192308
2002,1982,2001,10,226,23,32,2,26,6,0.230769
