publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,2,2,1.0,2,2,1.0
1951,1,1,1.0,1,1,1.0
1952,4,4,1.0,3,3,1.0
1953,1,1,1.0,1,1,1.0
1954,0,1,0.0,0,1,0.0
1955,1,1,1.0,1,1,1.0
1956,1,1,1.0,1,1,1.0
1957,6,6,1.0,4,4,1.0
1958,2,2,1.0,2,2,1.0
1959,2,2,1.0,2,2,1.0
1960,0,2,0.0,0,2,0.0
1961,2,2,1.0,2,2,1.0
1962,4,4,1.0,5,5,1.0
1963,7,7,1.0,5,5,1.0
1964,3,3,1.0,3,3,1.0
1965,6,7,0.857143,7,7,1.0
1966,5,6,0.833333,4,6,0.666667
1967,4,4,1.0,3,3,1.0
1968,3,4,0.75,2,3,0.666667
1969,8,8,1.0,7,7,1.0
1970,3,4,0.75,3,4,0.75
1971,10,11,0.909091,7,8,0.875
1972,11,14,0.785714,11,13,0.846154
1973,13,15,0.866667,11,13,0.846154
1974,6,7,0.857143,6,6,1.0
1975,9,11,0.818182,8,9,0.888889
1976,6,7,0.857143,5,5,1.0
1977,5,7,0.714286,3,6,0.5
1978,4,5,0.8,2,3,0.666667
1979,10,13,0.769231,6,8,0.75
1980,8,8,1.0,5,5,1.0
1981,0,1,0.0,0,1,0.0
1982,8,8,1.0,5,5,1.0
1983,3,4,0.75,3,3,1.0
1984,5,6,0.833333,3,3,1.0
1985,4,4,1.0,4,4,1.0
1986,2,2,1.0,1,1,1.0
1987,5,5,1.0,4,4,1.0
1988,10,11,0.909091,6,6,1.0
1989,3,4,0.75,2,2,1.0
1990,5,7,0.714286,4,5,0.8
1991,2,4,0.5,2,3,0.666667
1992,6,6,1.0,4,4,1.0
1993,3,3,1.0,2,2,1.0
1994,7,10,0.7,5,6,0.833333
1995,15,16,0.9375,9,10,0.9
1996,19,22,0.863636,12,13,0.923077
1997,15,16,0.9375,8,8,1.0
1998,7,11,0.636364,5,6,0.833333
1999,27,40,0.675,21,24,0.875
2000,33,40,0.825,20,25,0.8
2001,39,48,0.8125,26,31,0.83871
2002,41,55,0.745455,22,26,0.846154
2003,55,77,0.714286,35,41,0.853659
2004,60,84,0.714286,36,42,0.857143
2005,54,100,0.54,40,54,0.740741
2006,47,79,0.594937,32,42,0.761905
2007,42,76,0.552632,22,35,0.628571
2008,53,84,0.630952,31,44,0.704545
2009,69,99,0.69697,38,49,0.77551
2010,79,118,0.669492,46,53,0.867925
2011,57,98,0.581633,37,44,0.840909
2012,64,103,0.621359,35,41,0.853659
2013,69,118,0.584746,37,53,0.698113
2014,85,138,0.615942,48,59,0.813559
2015,87,178,0.488764,55,73,0.753425
2016,140,217,0.645161,70,85,0.823529
2017,121,190,0.636842,69,82,0.841463
2018,58,107,0.542056,34,45,0.755556
2019,81,142,0.570423,45,57,0.789474
2020,76,144,0.527778,40,56,0.714286
2021,99,165,0.6,46,55,0.836364
2022,117,163,0.717791,53,62,0.854839
2023,107,174,0.614943,45,51,0.882353
2024,122,186,0.655914,57,63,0.904762
2025,128,210,0.609524,62,74,0.837838
2026,51,81,0.62963,22,25,0.88
