first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,0,2,0,2,0.0,0.0,1.0
1951,0,1,0,1,0.0,0.0,1.0
1952,2,2,0,4,0.0,0.5,0.5
1953,0,1,0,1,0.0,0.0,1.0
1955,0,1,0,1,0.0,0.0,1.0
1956,0,1,0,1,0.0,0.0,1.0
1957,3,3,0,6,0.0,0.5,0.5
1958,0,2,0,2,0.0,0.0,1.0
1959,0,2,0,2,0.0,0.0,1.0
1961,0,2,0,2,0.0,0.0,1.0
1962,0,4,0,4,0.0,0.0,1.0
1963,4,3,0,7,0.0,0.571429,0.428571
1964,0,3,0,3,0.0,0.0,1.0
1965,0,5,1,6,0.166667,0.0,0.833333
1966,2,3,0,5,0.0,0.4,0.6
1967,2,2,0,4,0.0,0.5,0.5
1968,2,1,0,3,0.0,0.666667,0.333333
1969,4,4,0,8,0.0,0.5,0.5
1970,0,3,0,3,0.0,0.0,1.0
1971,6,4,0,10,0.0,0.6,0.4
1972,0,9,2,11,0.181818,0.0,0.818182
1973,6,7,0,13,0.0,0.461538,0.538462
1974,0,5,1,6,0.166667,0.0,0.833333
1975,2,6,1,9,0.111111,0.222222,0.666667
1976,2,3,1,6,0.166667,0.333333,0.5
1977,3,2,0,5,0.0,0.6,0.4
1978,4,0,0,4,0.0,1.0,0.0
1979,7,2,1,10,0.1,0.7,0.2
1980,5,3,0,8,0.0,0.625,0.375
1982,4,4,0,8,0.0,0.5,0.5
1983,0,2,1,3,0.333333,0.0,0.666667
1984,3,1,1,5,0.2,0.6,0.2
1985,0,4,0,4,0.0,0.0,1.0
1986,2,0,0,2,0.0,1.0,0.0
1987,2,3,0,5,0.0,0.4,0.6
1988,6,3,1,10,0.1,0.6,0.3
1989,0,1,2,3,0.666667,0.0,0.333333
1990,2,2,1,5,0.2,0.4,0.4
1991,0,2,0,2,0.0,0.0,1.0
1992,4,2,0,6,0.0,0.666667,0.333333
1993,2,1,0,3,0.0,0.666667,0.333333
1994,4,3,0,7,0.0,0.571429,0.428571
1995,11,4,0,15,0.0,0.733333,0.266667
1996,13,4,2,19,0.105263,0.684211,0.210526
1997,12,2,1,15,0.066667,0.8,0.133333
1998,4,1,2,7,0.285714,0.571429,0.142857
1999,6,9,12,27,0.444444,0.222222,0.333333
2000,22,10,1,33,0.030303,0.666667,0.30303
2001,28,6,5,39,0.128205,0.717949,0.153846
2002,23,6,12,41,0.292683,0.560976,0.146341
2003,29,9,17,55,0.309091,0.527273,0.163636
2004,28,6,26,60,0.433333,0.466667,0.1
2005,14,9,31,54,0.574074,0.259259,0.166667
2006,27,6,14,47,0.297872,0.574468,0.12766
2007,24,7,11,42,0.261905,0.571429,0.166667
2008,34,7,12,53,0.226415,0.641509,0.132075
2009,44,8,17,69,0.246377,0.637681,0.115942
2010,39,7,33,79,0.417722,0.493671,0.088608
2011,28,4,25,57,0.438596,0.491228,0.070175
2012,31,3,30,64,0.46875,0.484375,0.046875
2013,40,10,19,69,0.275362,0.57971,0.144928
2014,50,4,31,85,0.364706,0.588235,0.047059
2015,22,7,58,87,0.666667,0.252874,0.08046
2016,71,6,63,140,0.45,0.507143,0.042857
2017,56,9,56,121,0.46281,0.46281,0.07438
2018,22,1,35,58,0.603448,0.37931,0.017241
2019,29,8,44,81,0.54321,0.358025,0.098765
2020,19,6,51,76,0.671053,0.25,0.078947
2021,35,6,58,99,0.585859,0.353535,0.060606
2022,49,10,58,117,0.495726,0.418803,0.08547
2023,43,5,59,107,0.551402,0.401869,0.046729
2024,52,7,63,122,0.516393,0.42623,0.057377
2025,50,6,72,128,0.5625,0.390625,0.046875
2026,22,1,28,51,0.54902,0.431373,0.019608
