entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,8,10.5,8.0,0.0
1981-1990,2,3,2 to 3,5,4.8,5.0,0.0
1981-1990,3,4,3 to 4,3,4.333333,3.0,0.0
1981-1990,4,5,4 to 5,2,8.5,8.5,0.0
1981-1990,5,6,5 to 6,1,3.0,3.0,0.0
1981-1990,6,7,6 to 7,1,3.0,3.0,0.0
1981-1990,7,8,7 to 8,1,8.0,8.0,0.0
1991-2000,1,2,1 to 2,55,6.545455,5.0,0.036364
1991-2000,2,3,2 to 3,41,3.97561,3.0,0.04878
1991-2000,3,4,3 to 4,29,2.724138,1.0,0.137931
1991-2000,4,5,4 to 5,21,3.0,2.0,0.285714
1991-2000,5,6,5 to 6,19,1.842105,1.0,0.315789
1991-2000,6,7,6 to 7,17,2.941176,2.0,0.117647
1991-2000,7,8,7 to 8,14,1.857143,2.0,0.214286
1991-2000,8,9,8 to 9,9,1.777778,1.0,0.222222
1991-2000,9,10,9 to 10,7,1.428571,1.0,0.142857
1991-2000,10,11,10 to 11,7,3.714286,1.0,0.285714
1991-2000,11,12,11 to 12,5,1.0,0.0,0.6
1991-2000,12,13,12 to 13,5,3.0,3.0,0.0
1991-2000,13,14,13 to 14,4,2.25,2.0,0.25
1991-2000,14,15,14 to 15,4,2.5,0.5,0.5
1991-2000,15,16,15 to 16,2,1.5,1.5,0.5
1991-2000,16,17,16 to 17,1,1.0,1.0,0.0
1991-2000,17,18,17 to 18,1,6.0,6.0,0.0
1991-2000,18,19,18 to 19,1,2.0,2.0,0.0
1991-2000,19,20,19 to 20,1,1.0,1.0,0.0
1991-2000,20,21,20 to 21,1,0.0,0.0,1.0
2001-2010,1,2,1 to 2,226,5.088496,4.0,0.09292
2001-2010,2,3,2 to 3,137,3.963504,3.0,0.10219
2001-2010,3,4,3 to 4,93,3.430108,2.0,0.11828
2001-2010,4,5,4 to 5,59,2.610169,2.0,0.135593
2001-2010,5,6,5 to 6,40,2.875,2.0,0.15
2001-2010,6,7,6 to 7,28,2.107143,2.0,0.25
2001-2010,7,8,7 to 8,20,1.7,1.0,0.25
2001-2010,8,9,8 to 9,14,2.214286,1.5,0.142857
2001-2010,9,10,9 to 10,11,1.727273,1.0,0.272727
2001-2010,10,11,10 to 11,9,2.0,1.0,0.333333
2001-2010,11,12,11 to 12,6,1.833333,0.5,0.5
2001-2010,12,13,12 to 13,4,1.0,1.0,0.25
2001-2010,13,14,13 to 14,3,1.333333,1.0,0.333333
2001-2010,14,15,14 to 15,3,0.333333,0.0,0.666667
2001-2010,15,16,15 to 16,3,1.666667,1.0,0.333333
2001-2010,16,17,16 to 17,3,1.0,1.0,0.0
2001-2010,17,18,17 to 18,3,0.0,0.0,1.0
2001-2010,18,19,18 to 19,1,0.0,0.0,1.0
2001-2010,19,20,19 to 20,1,1.0,1.0,0.0
2001-2010,20,21,20 to 21,1,0.0,0.0,1.0
2001-2010,21,22,21 to 22,1,1.0,1.0,0.0
2001-2010,22,23,22 to 23,1,1.0,1.0,0.0
2001-2010,23,24,23 to 24,1,0.0,0.0,1.0
2001-2010,24,25,24 to 25,1,0.0,0.0,1.0
2001-2010,25,26,25 to 26,1,3.0,3.0,0.0
2001-2010,26,27,26 to 27,1,1.0,1.0,0.0
2001-2010,27,28,27 to 28,1,0.0,0.0,1.0
2001-2010,28,29,28 to 29,1,0.0,0.0,1.0
2011-2020,1,2,1 to 2,243,3.325103,3.0,0.106996
2011-2020,2,3,2 to 3,103,3.281553,3.0,0.067961
2011-2020,3,4,3 to 4,52,1.75,1.0,0.192308
2011-2020,4,5,4 to 5,26,1.769231,1.0,0.192308
2011-2020,5,6,5 to 6,21,2.190476,2.0,0.095238
2011-2020,6,7,6 to 7,13,2.769231,2.0,0.153846
2011-2020,7,8,7 to 8,4,1.5,1.0,0.25
