from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,1,10.0,10.0,0.0
1,2,1 to 2,1953,1,1.0,1.0,0.0
1,2,1 to 2,1958,1,14.0,14.0,0.0
1,2,1 to 2,1959,1,1.0,1.0,0.0
1,2,1 to 2,1962,1,0.0,0.0,1.0
1,2,1 to 2,1963,1,9.0,9.0,0.0
1,2,1 to 2,1964,1,36.0,36.0,0.0
1,2,1 to 2,1965,1,0.0,0.0,1.0
1,2,1 to 2,1966,1,4.0,4.0,0.0
1,2,1 to 2,1967,1,8.0,8.0,0.0
1,2,1 to 2,1969,2,7.0,7.0,0.5
1,2,1 to 2,1970,1,2.0,2.0,0.0
1,2,1 to 2,1971,2,2.5,2.5,0.0
1,2,1 to 2,1972,3,9.0,6.0,0.0
1,2,1 to 2,1973,2,8.0,8.0,0.5
1,2,1 to 2,1974,1,5.0,5.0,0.0
1,2,1 to 2,1977,2,22.5,22.5,0.0
1,2,1 to 2,1979,1,11.0,11.0,0.0
1,2,1 to 2,1980,1,1.0,1.0,0.0
1,2,1 to 2,1982,1,27.0,27.0,0.0
1,2,1 to 2,1983,2,6.0,6.0,0.0
1,2,1 to 2,1984,1,4.0,4.0,0.0
1,2,1 to 2,1986,1,18.0,18.0,0.0
1,2,1 to 2,1988,1,3.0,3.0,0.0
1,2,1 to 2,1989,1,5.0,5.0,0.0
1,2,1 to 2,1990,1,15.0,15.0,0.0
1,2,1 to 2,1991,2,8.0,8.0,0.0
1,2,1 to 2,1992,2,10.5,10.5,0.0
1,2,1 to 2,1993,1,10.0,10.0,0.0
1,2,1 to 2,1994,3,5.666667,2.0,0.0
1,2,1 to 2,1995,5,4.6,4.0,0.0
1,2,1 to 2,1996,10,5.4,4.5,0.1
1,2,1 to 2,1997,7,5.857143,5.0,0.0
1,2,1 to 2,1998,3,6.0,3.0,0.0
1,2,1 to 2,1999,9,5.0,5.0,0.111111
1,2,1 to 2,2000,13,8.846154,5.0,0.0
1,2,1 to 2,2001,21,3.190476,2.0,0.238095
1,2,1 to 2,2002,23,6.0,4.0,0.043478
1,2,1 to 2,2003,22,7.045455,3.0,0.045455
1,2,1 to 2,2004,23,6.0,5.0,0.086957
1,2,1 to 2,2005,26,4.730769,3.0,0.153846
1,2,1 to 2,2006,20,3.65,2.5,0.2
1,2,1 to 2,2007,8,6.0,3.0,0.0
1,2,1 to 2,2008,20,4.5,4.5,0.05
1,2,1 to 2,2009,28,6.142857,5.0,0.0
1,2,1 to 2,2010,35,4.171429,3.0,0.085714
1,2,1 to 2,2011,15,3.133333,3.0,0.2
1,2,1 to 2,2012,27,3.740741,3.0,0.037037
1,2,1 to 2,2013,21,3.904762,3.0,0.095238
1,2,1 to 2,2014,30,3.2,2.5,0.133333
1,2,1 to 2,2015,35,3.228571,2.0,0.057143
1,2,1 to 2,2016,42,3.571429,3.0,0.190476
1,2,1 to 2,2017,21,3.428571,3.0,0.095238
1,2,1 to 2,2018,15,2.866667,2.0,0.0
1,2,1 to 2,2019,27,2.888889,3.0,0.111111
1,2,1 to 2,2020,10,2.6,2.0,0.1
1,2,1 to 2,2021,17,2.882353,3.0,0.058824
1,2,1 to 2,2022,10,1.6,1.5,0.3
1,2,1 to 2,2023,10,1.5,1.5,0.2
1,2,1 to 2,2024,9,0.888889,1.0,0.222222
1,2,1 to 2,2025,2,0.5,0.5,0.5
