publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,22,22,1.0,22,22,1.0
1951,16,18,0.888889,15,17,0.882353
1952,18,22,0.818182,14,18,0.777778
1953,17,19,0.894737,16,18,0.888889
1954,7,10,0.7,7,10,0.7
1955,7,12,0.583333,7,11,0.636364
1956,15,17,0.882353,14,16,0.875
1957,26,30,0.866667,21,23,0.913043
1958,15,18,0.833333,13,15,0.866667
1959,16,19,0.842105,14,17,0.823529
1960,12,16,0.75,13,17,0.764706
1961,12,15,0.8,10,14,0.714286
1962,17,23,0.73913,12,18,0.666667
1963,23,26,0.884615,14,16,0.875
1964,20,25,0.8,17,22,0.772727
1965,13,20,0.65,12,19,0.631579
1966,20,22,0.909091,15,16,0.9375
1967,14,19,0.736842,13,16,0.8125
1968,19,22,0.863636,15,18,0.833333
1969,9,10,0.9,9,10,0.9
1970,22,25,0.88,19,21,0.904762
1971,23,25,0.92,17,19,0.894737
1972,31,37,0.837838,23,25,0.92
1973,36,47,0.765957,32,41,0.780488
1974,37,47,0.787234,31,36,0.861111
1975,27,29,0.931034,22,23,0.956522
1976,30,51,0.588235,25,41,0.609756
1977,18,26,0.692308,14,18,0.777778
1978,34,42,0.809524,25,27,0.925926
1979,35,54,0.648148,32,43,0.744186
1980,33,48,0.6875,27,37,0.72973
1981,22,39,0.564103,18,27,0.666667
1982,35,51,0.686275,23,33,0.69697
1983,28,45,0.622222,21,33,0.636364
1984,31,53,0.584906,26,39,0.666667
1985,28,43,0.651163,24,34,0.705882
1986,25,49,0.510204,22,34,0.647059
1987,25,37,0.675676,19,27,0.703704
1988,28,48,0.583333,26,34,0.764706
1989,24,43,0.55814,19,26,0.730769
1990,45,70,0.642857,30,40,0.75
1991,28,48,0.583333,24,34,0.705882
1992,33,54,0.611111,24,36,0.666667
1993,29,41,0.707317,19,21,0.904762
1994,26,45,0.577778,18,27,0.666667
1995,18,30,0.6,14,20,0.7
1996,39,58,0.672414,31,34,0.911765
1997,35,52,0.673077,23,26,0.884615
1998,29,50,0.58,25,31,0.806452
1999,104,147,0.707483,69,85,0.811765
2000,84,125,0.672,56,73,0.767123
2001,72,119,0.605042,49,69,0.710145
2002,75,115,0.652174,46,64,0.71875
2003,68,116,0.586207,43,61,0.704918
2004,72,119,0.605042,50,65,0.769231
2005,68,109,0.623853,46,64,0.71875
2006,85,142,0.598592,57,77,0.74026
2007,62,109,0.568807,45,58,0.775862
2008,75,146,0.513699,51,78,0.653846
2009,89,161,0.552795,55,83,0.662651
2010,90,152,0.592105,56,69,0.811594
2011,123,216,0.569444,82,106,0.773585
2012,121,208,0.581731,64,90,0.711111
2013,142,231,0.614719,82,101,0.811881
2014,115,233,0.493562,76,103,0.737864
2015,120,213,0.56338,70,93,0.752688
2016,138,236,0.584746,74,93,0.795699
2017,185,319,0.579937,108,145,0.744828
2018,126,243,0.518519,76,101,0.752475
2019,97,168,0.577381,58,71,0.816901
2020,135,246,0.54878,74,87,0.850575
2021,130,241,0.539419,73,89,0.820225
2022,142,245,0.579592,73,99,0.737374
2023,164,273,0.600733,75,92,0.815217
2024,141,282,0.5,81,100,0.81
2025,178,352,0.505682,94,124,0.758065
2026,80,185,0.432432,51,66,0.772727
