author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ006592,Alison,Hagy,1998,1,1,1,0,with_experienced_coauthor
AFZ015017,Robert,Sauer,1998,1,0,0,0,solo
AFZ002484,Stephen,Cameron,1998,1,1,1,0,with_experienced_coauthor
AFZ010224,Lars,Ljungqvist,1998,1,1,1,0,with_experienced_coauthor
AFZ013354,Tomas,Philipson,1998,1,1,1,0,with_experienced_coauthor
AFZ003059,Henry,Chiu,1998,1,1,0,1,only_with_other_new_coauthors
AFZ008435,Edi,Karni,1998,1,1,0,1,only_with_other_new_coauthors
AFZ008642,Shahidur,Khandker,1998,1,1,0,1,only_with_other_new_coauthors
AFZ013450,Mark,Pitt,1998,1,1,0,1,only_with_other_new_coauthors
AFZ012006,Casey,Mulligan,1998,1,0,0,0,solo
AFZ002830,Amitabh,Chandra,1999,1,1,0,1,only_with_other_new_coauthors
AFZ004042,Stacy,Dickert-Conlin,1999,1,1,0,1,only_with_other_new_coauthors
AFZ001044,Ann,Bartel,1999,1,1,1,0,with_experienced_coauthor
AFZ019119,James,Ziliak,1999,2,1,1,1,with_experienced_coauthor
AFZ012577,Gerald,Oettinger,1999,2,0,0,0,solo
AFZ017649,Jacob,Vigdor,1997,1,1,1,0,with_experienced_coauthor
AFZ005485,Richard,Fullerton,1999,1,1,0,1,only_with_other_new_coauthors
AFZ011066,Preston,McAfee,1999,1,1,0,1,only_with_other_new_coauthors
AFZ017527,Prem,Vashishtha,1999,1,1,1,0,with_experienced_coauthor
AFZ014826,Bernard,Salanie,1999,1,1,1,1,with_experienced_coauthor
AFZ017482,Julie,Valentin,1999,1,1,1,1,with_experienced_coauthor
AFZ016041,Russell,Sobel,1999,1,0,0,0,solo
AFZ002819,William,Chan,1999,1,1,0,1,only_with_other_new_coauthors
AFZ019006,Junsen,Zhang,1999,1,1,0,1,only_with_other_new_coauthors
AFZ011124,James,McDonald,1999,1,1,0,1,only_with_other_new_coauthors
AFZ018550,Christopher,Worswick,1999,1,1,0,1,only_with_other_new_coauthors
AFZ015645,Robert,Shimer,1999,1,1,1,0,with_experienced_coauthor
AFZ016422,Wendy,Stock,1997,1,1,1,0,with_experienced_coauthor
AFZ004460,Lena,Edlund,1999,1,0,0,0,solo
AFZ016208,John,Spielmans,1950,3,0,0,0,solo
AFZ012074,Mary,Murphy,1950,1,0,0,0,solo
AFZ002041,Kurt,Braun,1950,1,0,0,0,solo
AFZ017770,Frank,Vyver,1950,1,0,0,0,solo
AFZ007352,Elmo,Hohman,1950,1,0,0,0,solo
AFZ014042,Albert,Rees,1950,1,0,0,0,solo
AFZ009278,Kenneth,Kurihara,1950,1,0,0,0,solo
AFZ016842,Lorie,Tarshis,1950,1,0,0,0,solo
AFZ008591,Clark,Kerr,1950,1,0,0,0,solo
AFZ002203,O,Brownlee,1950,1,0,0,0,solo
AFZ009438,Robert,Lampman,1950,1,1,0,1,only_with_other_new_coauthors
AFZ018546,Dean,Worcester,1950,1,1,0,1,only_with_other_new_coauthors
