first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,4,18,0,22,0.0,0.181818,0.818182
1951,2,14,0,16,0.0,0.125,0.875
1952,7,11,0,18,0.0,0.388889,0.611111
1953,2,15,0,17,0.0,0.117647,0.882353
1954,0,7,0,7,0.0,0.0,1.0
1955,0,6,1,7,0.142857,0.0,0.857143
1956,2,13,0,15,0.0,0.133333,0.866667
1957,6,17,3,26,0.115385,0.230769,0.653846
1958,4,10,1,15,0.066667,0.266667,0.666667
1959,4,12,0,16,0.0,0.25,0.75
1960,0,12,0,12,0.0,0.0,1.0
1961,3,9,0,12,0.0,0.25,0.75
1962,8,7,2,17,0.117647,0.470588,0.411765
1963,14,7,2,23,0.086957,0.608696,0.304348
1964,6,14,0,20,0.0,0.3,0.7
1965,2,11,0,13,0.0,0.153846,0.846154
1966,6,11,3,20,0.15,0.3,0.55
1967,2,10,2,14,0.142857,0.142857,0.714286
1968,8,11,0,19,0.0,0.421053,0.578947
1969,0,9,0,9,0.0,0.0,1.0
1970,6,15,1,22,0.045455,0.272727,0.681818
1971,11,12,0,23,0.0,0.478261,0.521739
1972,15,13,3,31,0.096774,0.483871,0.419355
1973,10,23,3,36,0.083333,0.277778,0.638889
1974,14,18,5,37,0.135135,0.378378,0.486486
1975,10,16,1,27,0.037037,0.37037,0.592593
1976,10,15,5,30,0.166667,0.333333,0.5
1977,9,7,2,18,0.111111,0.5,0.388889
1978,21,9,4,34,0.117647,0.617647,0.264706
1979,13,18,4,35,0.114286,0.371429,0.514286
1980,13,14,6,33,0.181818,0.393939,0.424242
1981,8,9,5,22,0.227273,0.363636,0.409091
1982,19,11,5,35,0.142857,0.542857,0.314286
1983,15,9,4,28,0.142857,0.535714,0.321429
1984,11,15,5,31,0.16129,0.354839,0.483871
1985,4,17,7,28,0.25,0.142857,0.607143
1986,7,9,9,25,0.36,0.28,0.36
1987,13,7,5,25,0.2,0.52,0.28
1988,8,12,8,28,0.285714,0.285714,0.428571
1989,9,9,6,24,0.25,0.375,0.375
1990,27,6,12,45,0.266667,0.6,0.133333
1991,6,13,9,28,0.321429,0.214286,0.464286
1992,18,10,5,33,0.151515,0.545455,0.30303
1993,15,4,10,29,0.344828,0.517241,0.137931
1994,15,7,4,26,0.153846,0.576923,0.269231
1995,4,9,5,18,0.277778,0.222222,0.5
1996,12,14,13,39,0.333333,0.307692,0.358974
1997,15,4,16,35,0.457143,0.428571,0.114286
1998,10,9,10,29,0.344828,0.344828,0.310345
1999,58,18,28,104,0.269231,0.557692,0.173077
2000,40,20,24,84,0.285714,0.47619,0.238095
2001,36,10,26,72,0.361111,0.5,0.138889
2002,44,11,20,75,0.266667,0.586667,0.146667
2003,30,10,28,68,0.411765,0.441176,0.147059
2004,34,9,29,72,0.402778,0.472222,0.125
2005,30,13,25,68,0.367647,0.441176,0.191176
2006,34,18,33,85,0.388235,0.4,0.211765
2007,26,12,24,62,0.387097,0.419355,0.193548
2008,31,14,30,75,0.4,0.413333,0.186667
2009,46,12,31,89,0.348315,0.516854,0.134831
2010,47,7,36,90,0.4,0.522222,0.077778
2011,51,11,61,123,0.495935,0.414634,0.089431
2012,64,10,47,121,0.38843,0.528926,0.082645
2013,67,15,60,142,0.422535,0.471831,0.105634
2014,38,8,69,115,0.6,0.330435,0.069565
2015,46,8,66,120,0.55,0.383333,0.066667
2016,61,9,68,138,0.492754,0.442029,0.065217
2017,78,17,90,185,0.486486,0.421622,0.091892
2018,58,7,61,126,0.484127,0.460317,0.055556
2019,32,13,52,97,0.536082,0.329897,0.134021
2020,37,6,92,135,0.681481,0.274074,0.044444
2021,31,9,90,130,0.692308,0.238462,0.069231
2022,65,10,67,142,0.471831,0.457746,0.070423
2023,54,10,100,164,0.609756,0.329268,0.060976
2024,37,6,98,141,0.695035,0.262411,0.042553
2025,46,10,122,178,0.685393,0.258427,0.05618
2026,14,8,58,80,0.725,0.175,0.1
