entry_cohort,from_publication_number,to_publication_number,publication_transition,number_of_authors,average_gap_years,median_gap_years,share_same_year
1981-1990,1,2,1 to 2,114,8.342105,5.0,0.114035
1981-1990,2,3,2 to 3,62,8.080645,5.0,0.048387
1981-1990,3,4,3 to 4,37,5.756757,4.0,0.027027
1981-1990,4,5,4 to 5,23,3.826087,2.0,0.173913
1981-1990,5,6,5 to 6,19,6.157895,3.0,0.210526
1981-1990,6,7,6 to 7,13,3.307692,2.0,0.230769
1981-1990,7,8,7 to 8,10,1.6,1.0,0.2
1981-1990,8,9,8 to 9,9,2.555556,3.0,0.111111
1981-1990,9,10,9 to 10,9,1.888889,2.0,0.111111
1981-1990,10,11,10 to 11,8,3.0,2.5,0.25
1981-1990,11,12,11 to 12,8,2.375,1.5,0.25
1981-1990,12,13,12 to 13,8,3.125,2.5,0.0
1981-1990,13,14,13 to 14,6,2.5,2.0,0.0
1981-1990,14,15,14 to 15,4,4.0,4.0,0.25
1981-1990,15,16,15 to 16,2,3.0,3.0,0.0
1981-1990,16,17,16 to 17,2,1.5,1.5,0.5
1981-1990,17,18,17 to 18,2,0.5,0.5,0.5
1981-1990,18,19,18 to 19,2,2.0,2.0,0.0
1981-1990,19,20,19 to 20,2,2.0,2.0,0.0
1981-1990,20,21,20 to 21,1,0.0,0.0,1.0
1981-1990,21,22,21 to 22,1,2.0,2.0,0.0
1981-1990,22,23,22 to 23,1,0.0,0.0,1.0
1981-1990,23,24,23 to 24,1,0.0,0.0,1.0
1981-1990,24,25,24 to 25,1,1.0,1.0,0.0
1981-1990,25,26,25 to 26,1,3.0,3.0,0.0
1981-1990,26,27,26 to 27,1,2.0,2.0,0.0
1981-1990,27,28,27 to 28,1,1.0,1.0,0.0
1981-1990,28,29,28 to 29,1,0.0,0.0,1.0
1981-1990,29,30,29 to 30,1,0.0,0.0,1.0
1981-1990,30,31,30 to 31,1,1.0,1.0,0.0
1981-1990,31,32,31 to 32,1,1.0,1.0,0.0
1991-2000,1,2,1 to 2,180,7.333333,5.0,0.055556
1991-2000,2,3,2 to 3,103,5.514563,4.0,0.067961
1991-2000,3,4,3 to 4,71,4.661972,3.0,0.140845
1991-2000,4,5,4 to 5,52,3.903846,3.0,0.115385
1991-2000,5,6,5 to 6,35,2.771429,2.0,0.114286
1991-2000,6,7,6 to 7,27,1.962963,2.0,0.222222
1991-2000,7,8,7 to 8,21,2.380952,1.0,0.238095
1991-2000,8,9,8 to 9,15,2.866667,2.0,0.066667
1991-2000,9,10,9 to 10,8,2.125,1.0,0.25
1991-2000,10,11,10 to 11,8,2.125,2.0,0.25
1991-2000,11,12,11 to 12,6,3.833333,4.0,0.0
1991-2000,12,13,12 to 13,5,2.6,1.0,0.0
1991-2000,13,14,13 to 14,3,1.666667,2.0,0.333333
1991-2000,14,15,14 to 15,3,0.666667,0.0,0.666667
1991-2000,15,16,15 to 16,3,2.666667,3.0,0.0
1991-2000,16,17,16 to 17,3,0.666667,1.0,0.333333
1991-2000,17,18,17 to 18,3,0.666667,1.0,0.333333
1991-2000,18,19,18 to 19,3,2.333333,2.0,0.0
1991-2000,19,20,19 to 20,3,1.666667,1.0,0.0
1991-2000,20,21,20 to 21,2,1.5,1.5,0.5
1991-2000,21,22,21 to 22,1,1.0,1.0,0.0
2001-2010,1,2,1 to 2,282,5.003546,4.0,0.039007
