from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,9,5.333333,2.0,0.111111
1,2,1 to 2,1951,5,9.4,7.0,0.0
1,2,1 to 2,1952,7,12.428571,8.0,0.0
1,2,1 to 2,1953,4,3.5,3.0,0.0
1,2,1 to 2,1954,1,1.0,1.0,0.0
1,2,1 to 2,1955,1,7.0,7.0,0.0
1,2,1 to 2,1956,2,4.5,4.5,0.0
1,2,1 to 2,1957,2,1.5,1.5,0.0
1,2,1 to 2,1958,4,6.0,4.0,0.0
1,2,1 to 2,1959,2,7.0,7.0,0.0
1,2,1 to 2,1960,5,8.8,5.0,0.2
1,2,1 to 2,1961,2,1.5,1.5,0.0
1,2,1 to 2,1962,3,6.333333,3.0,0.0
1,2,1 to 2,1964,2,2.5,2.5,0.0
1,2,1 to 2,1965,3,3.0,2.0,0.0
1,2,1 to 2,1966,5,10.0,6.0,0.0
1,2,1 to 2,1967,2,6.0,6.0,0.0
1,2,1 to 2,1968,2,2.5,2.5,0.0
1,2,1 to 2,1969,3,4.0,4.0,0.0
1,2,1 to 2,1970,7,7.142857,3.0,0.0
1,2,1 to 2,1971,5,14.0,3.0,0.0
1,2,1 to 2,1972,12,7.666667,5.5,0.083333
1,2,1 to 2,1973,11,6.181818,4.0,0.090909
1,2,1 to 2,1974,7,9.857143,8.0,0.142857
1,2,1 to 2,1975,6,10.833333,8.5,0.0
1,2,1 to 2,1976,11,13.454545,14.0,0.0
1,2,1 to 2,1977,5,7.6,3.0,0.2
1,2,1 to 2,1978,17,5.470588,2.0,0.117647
1,2,1 to 2,1979,19,6.052632,4.0,0.210526
1,2,1 to 2,1980,14,5.071429,3.5,0.142857
1,2,1 to 2,1981,10,5.4,3.0,0.1
1,2,1 to 2,1982,13,14.615385,9.0,0.0
1,2,1 to 2,1983,6,2.0,2.5,0.333333
1,2,1 to 2,1984,16,5.9375,4.0,0.0625
1,2,1 to 2,1985,11,12.818182,9.0,0.0
1,2,1 to 2,1986,11,9.909091,5.0,0.181818
1,2,1 to 2,1987,12,5.166667,4.5,0.166667
1,2,1 to 2,1988,14,6.285714,3.5,0.214286
1,2,1 to 2,1989,7,8.714286,10.0,0.0
1,2,1 to 2,1990,14,9.928571,9.0,0.142857
1,2,1 to 2,1991,15,9.933333,9.0,0.0
1,2,1 to 2,1992,11,6.636364,5.0,0.090909
1,2,1 to 2,1993,13,10.153846,8.0,0.0
1,2,1 to 2,1994,13,6.923077,5.0,0.076923
1,2,1 to 2,1995,10,8.1,6.0,0.0
1,2,1 to 2,1996,17,6.176471,4.0,0.0
1,2,1 to 2,1997,13,8.769231,8.0,0.0
1,2,1 to 2,1998,10,6.0,5.0,0.1
1,2,1 to 2,1999,41,6.707317,5.0,0.121951
1,2,1 to 2,2000,37,6.513514,4.0,0.054054
1,2,1 to 2,2001,28,5.892857,4.5,0.035714
1,2,1 to 2,2002,23,5.956522,4.0,0.0
1,2,1 to 2,2003,27,4.222222,4.0,0.037037
1,2,1 to 2,2004,25,5.24,4.0,0.08
1,2,1 to 2,2005,27,5.296296,4.0,0.111111
1,2,1 to 2,2006,39,5.615385,5.0,0.0
1,2,1 to 2,2007,22,4.0,3.5,0.090909
1,2,1 to 2,2008,23,4.304348,4.0,0.0
1,2,1 to 2,2009,38,5.052632,4.0,0.026316
1,2,1 to 2,2010,30,4.1,3.5,0.033333
1,2,1 to 2,2011,42,4.714286,4.0,0.190476
1,2,1 to 2,2012,37,4.567568,2.0,0.0
1,2,1 to 2,2013,58,3.948276,3.0,0.103448
1,2,1 to 2,2014,41,4.292683,4.0,0.121951
1,2,1 to 2,2015,41,3.731707,3.0,0.097561
1,2,1 to 2,2016,42,3.595238,3.0,0.071429
1,2,1 to 2,2017,56,3.160714,3.0,0.178571
1,2,1 to 2,2018,37,3.72973,4.0,0.135135
1,2,1 to 2,2019,41,3.560976,3.0,0.073171
1,2,1 to 2,2020,37,3.243243,3.0,0.027027
1,2,1 to 2,2021,35,2.857143,3.0,0.085714
1,2,1 to 2,2022,24,2.041667,2.0,0.208333
1,2,1 to 2,2023,35,1.542857,2.0,0.142857
1,2,1 to 2,2024,13,1.153846,1.0,0.153846
1,2,1 to 2,2025,9,0.777778,1.0,0.222222
1,2,1 to 2,2026,3,0.0,0.0,1.0
