ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
JEL L,1950,1930,1949,1,0,0,0,,12,0,0.0
JEL L,1950,1930,1949,5,0,0,0,,12,0,0.0
JEL L,1950,1930,1949,10,0,0,0,,12,0,0.0
JEL L,1951,1931,1950,1,12,1,12,1,11,2,0.181818
JEL L,1951,1931,1950,5,12,1,12,1,11,2,0.181818
JEL L,1951,1931,1950,10,12,2,12,1,11,2,0.181818
JEL L,1952,1932,1951,1,22,1,2,2,15,1,0.066667
JEL L,1952,1932,1951,5,22,2,2,2,15,1,0.066667
JEL L,1952,1932,1951,10,22,3,22,1,15,4,0.266667
JEL L,1953,1933,1952,1,36,1,1,3,8,0,0.0
JEL L,1953,1933,1952,5,36,2,6,2,8,0,0.0
JEL L,1953,1933,1952,10,36,4,6,2,8,0,0.0
JEL L,1954,1934,1953,1,46,1,1,3,16,0,0.0
JEL L,1954,1934,1953,5,46,3,6,2,16,1,0.0625
JEL L,1954,1934,1953,10,46,5,6,2,16,1,0.0625
JEL L,1955,1935,1954,1,62,1,3,3,16,0,0.0
JEL L,1955,1935,1954,5,62,4,9,2,16,0,0.0
JEL L,1955,1935,1954,10,62,7,9,2,16,0,0.0
JEL L,1956,1936,1955,1,76,1,3,3,16,0,0.0
JEL L,1956,1936,1955,5,76,4,11,2,16,0,0.0
JEL L,1956,1936,1955,10,76,8,11,2,16,0,0.0
JEL L,1957,1937,1956,1,95,1,4,3,13,1,0.076923
JEL L,1957,1937,1956,5,95,5,13,2,13,2,0.153846
JEL L,1957,1937,1956,10,95,10,13,2,13,2,0.153846
JEL L,1958,1938,1957,1,106,2,5,3,18,0,0.0
JEL L,1958,1938,1957,5,106,6,14,2,18,5,0.277778
JEL L,1958,1938,1957,10,106,11,14,2,18,5,0.277778
JEL L,1959,1939,1958,1,124,2,10,3,14,0,0.0
JEL L,1959,1939,1958,5,124,7,10,3,14,0,0.0
JEL L,1959,1939,1958,10,124,13,14,2,14,0,0.0
JEL L,1960,1940,1959,1,138,2,10,3,15,0,0.0
JEL L,1960,1940,1959,5,138,7,10,3,15,0,0.0
JEL L,1960,1940,1959,10,138,14,17,2,15,1,0.066667
JEL L,1961,1941,1960,1,151,2,11,3,28,1,0.035714
JEL L,1961,1941,1960,5,151,8,11,3,28,1,0.035714
JEL L,1961,1941,1960,10,151,16,21,2,28,1,0.035714
JEL L,1962,1942,1961,1,177,2,2,4,16,0,0.0
JEL L,1962,1942,1961,5,177,9,11,3,16,1,0.0625
JEL L,1962,1942,1961,10,177,18,25,2,16,2,0.125
JEL L,1963,1943,1962,1,195,2,3,4,15,0,0.0
JEL L,1963,1943,1962,5,195,10,12,3,15,0,0.0
JEL L,1963,1943,1962,10,195,20,27,2,15,3,0.2
JEL L,1964,1944,1963,1,203,3,4,4,16,2,0.125
JEL L,1964,1944,1963,5,203,11,13,3,16,3,0.1875
JEL L,1964,1944,1963,10,203,21,33,2,16,5,0.3125
JEL L,1965,1945,1964,1,216,3,5,4,11,0,0.0
JEL L,1965,1945,1964,5,216,11,15,3,11,0,0.0
JEL L,1965,1945,1964,10,216,22,33,2,11,1,0.090909
JEL L,1966,1946,1965,1,227,3,5,4,14,0,0.0
JEL L,1966,1946,1965,5,227,12,16,3,14,1,0.071429
JEL L,1966,1946,1965,10,227,23,33,2,14,1,0.071429
JEL L,1967,1947,1966,1,246,3,6,4,20,0,0.0
JEL L,1967,1947,1966,5,246,13,16,3,20,0,0.0
JEL L,1967,1947,1966,10,246,25,38,2,20,1,0.05
JEL L,1968,1948,1967,1,268,3,6,4,15,0,0.0
JEL L,1968,1948,1967,5,268,14,17,3,15,1,0.066667
JEL L,1968,1948,1967,10,268,27,45,2,15,3,0.2
JEL L,1969,1949,1968,1,287,3,7,4,8,0,0.0
JEL L,1969,1949,1968,5,287,15,20,3,8,0,0.0
JEL L,1969,1949,1968,10,287,29,48,2,8,0,0.0
