publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
1951,1931,1950,1,AFZ004612,Hugh,Emerson,1
1951,1931,1950,1,AFZ004984,A,Ferguson,1
1951,1931,1950,1,AFZ009862,Harvey,Levin,1
1951,1931,1950,1,AFZ010252,Philip,Locklin,1
1951,1931,1950,1,AFZ010548,Rupert,Maclaurin,1
1951,1931,1950,1,AFZ011519,John,Miller,1
1951,1931,1950,1,AFZ013320,Kirk,Petshek,1
1951,1931,1950,1,AFZ016197,Joseph,Spengler,1
1951,1931,1950,1,AFZ017600,Michael,Verhulst,1
1951,1931,1950,1,AFZ017744,Robert,Voorhis,1
1951,1931,1950,1,AFZ017770,Frank,Vyver,1
1951,1931,1950,1,AFZ019138,George,Zipf,1
1951,1931,1950,5,AFZ004612,Hugh,Emerson,1
1951,1931,1950,5,AFZ004984,A,Ferguson,1
1951,1931,1950,5,AFZ009862,Harvey,Levin,1
1951,1931,1950,5,AFZ010252,Philip,Locklin,1
1951,1931,1950,5,AFZ010548,Rupert,Maclaurin,1
1951,1931,1950,5,AFZ011519,John,Miller,1
1951,1931,1950,5,AFZ013320,Kirk,Petshek,1
1951,1931,1950,5,AFZ016197,Joseph,Spengler,1
1951,1931,1950,5,AFZ017600,Michael,Verhulst,1
1951,1931,1950,5,AFZ017744,Robert,Voorhis,1
1951,1931,1950,5,AFZ017770,Frank,Vyver,1
1951,1931,1950,5,AFZ019138,George,Zipf,1
1951,1931,1950,10,AFZ004612,Hugh,Emerson,1
1951,1931,1950,10,AFZ004984,A,Ferguson,1
1951,1931,1950,10,AFZ009862,Harvey,Levin,1
1951,1931,1950,10,AFZ010252,Philip,Locklin,1
1951,1931,1950,10,AFZ010548,Rupert,Maclaurin,1
1951,1931,1950,10,AFZ011519,John,Miller,1
1951,1931,1950,10,AFZ013320,Kirk,Petshek,1
1951,1931,1950,10,AFZ016197,Joseph,Spengler,1
1951,1931,1950,10,AFZ017600,Michael,Verhulst,1
1951,1931,1950,10,AFZ017744,Robert,Voorhis,1
1951,1931,1950,10,AFZ017770,Frank,Vyver,1
1951,1931,1950,10,AFZ019138,George,Zipf,1
1952,1932,1951,1,AFZ009862,Harvey,Levin,2
1952,1932,1951,1,AFZ010252,Philip,Locklin,2
1952,1932,1951,5,AFZ009862,Harvey,Levin,2
1952,1932,1951,5,AFZ010252,Philip,Locklin,2
1952,1932,1951,10,AFZ009862,Harvey,Levin,2
1952,1932,1951,10,AFZ010252,Philip,Locklin,2
1952,1932,1951,10,AFZ000855,Joe,Bain,1
1952,1932,1951,10,AFZ003391,W,Cooper,1
1952,1932,1951,10,AFZ003516,Reavis,Cox,1
1952,1932,1951,10,AFZ004612,Hugh,Emerson,1
1952,1932,1951,10,AFZ004984,A,Ferguson,1
1952,1932,1951,10,AFZ007678,John,Hutchins,1
1952,1932,1951,10,AFZ010548,Rupert,Maclaurin,1
1952,1932,1951,10,AFZ010690,Sten,Malmquist,1
1952,1932,1951,10,AFZ010732,Alan,Manne,1
1952,1932,1951,10,AFZ010733,Allan,Manne,1
1952,1932,1951,10,AFZ011519,John,Miller,1
1952,1932,1951,10,AFZ011819,James,Morgan,1
1952,1932,1951,10,AFZ012472,J,Nordin,1
1952,1932,1951,10,AFZ013320,Kirk,Petshek,1
1952,1932,1951,10,AFZ016197,Joseph,Spengler,1
1952,1932,1951,10,AFZ017375,David,Tyndall,1
1952,1932,1951,10,AFZ017600,Michael,Verhulst,1
1952,1932,1951,10,AFZ017744,Robert,Voorhis,1
1952,1932,1951,10,AFZ017770,Frank,Vyver,1
1952,1932,1951,10,AFZ019138,George,Zipf,1
1953,1933,1952,1,AFZ010252,Philip,Locklin,3
1953,1933,1952,5,AFZ010252,Philip,Locklin,3
1953,1933,1952,5,AFZ002880,A,Charnes,2
1953,1933,1952,5,AFZ003391,W,Cooper,2
1953,1933,1952,5,AFZ007678,John,Hutchins,2
1953,1933,1952,5,AFZ009862,Harvey,Levin,2
1953,1933,1952,5,AFZ010732,Alan,Manne,2
1953,1933,1952,10,AFZ010252,Philip,Locklin,3
1953,1933,1952,10,AFZ002880,A,Charnes,2
