publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,12,12,1.0,12,12,1.0
1951,10,12,0.833333,9,11,0.818182
1952,14,18,0.777778,13,15,0.866667
1953,10,10,1.0,8,8,1.0
1954,16,21,0.761905,13,16,0.8125
1955,14,16,0.875,14,16,0.875
1956,19,21,0.904762,14,16,0.875
1957,11,14,0.785714,10,13,0.769231
1958,18,23,0.782609,13,18,0.722222
1959,14,17,0.823529,11,14,0.785714
1960,13,18,0.722222,12,15,0.8
1961,26,30,0.866667,24,28,0.857143
1962,18,22,0.818182,13,16,0.8125
1963,8,15,0.533333,7,15,0.466667
1964,13,18,0.722222,11,16,0.6875
1965,11,12,0.916667,10,11,0.909091
1966,19,25,0.76,10,14,0.714286
1967,22,29,0.758621,17,20,0.85
1968,19,25,0.76,12,15,0.8
1969,6,8,0.75,6,8,0.75
1970,13,13,1.0,10,10,1.0
1971,18,22,0.818182,13,15,0.866667
1972,13,16,0.8125,10,12,0.833333
1973,12,12,1.0,12,12,1.0
1974,12,18,0.666667,7,11,0.636364
1975,11,11,1.0,9,9,1.0
1976,15,18,0.833333,12,15,0.8
1977,21,23,0.913043,17,17,1.0
1978,9,14,0.642857,7,9,0.777778
1979,12,12,1.0,8,8,1.0
1980,22,28,0.785714,21,23,0.913043
1981,19,26,0.730769,14,16,0.875
1982,13,15,0.866667,11,11,1.0
1983,23,30,0.766667,16,18,0.888889
1984,19,27,0.703704,14,18,0.777778
1985,25,32,0.78125,15,18,0.833333
1986,23,29,0.793103,21,23,0.913043
1987,17,21,0.809524,12,15,0.8
1988,23,28,0.821429,17,18,0.944444
1989,16,24,0.666667,11,16,0.6875
1990,15,23,0.652174,11,13,0.846154
1991,16,30,0.533333,12,19,0.631579
1992,19,24,0.791667,12,15,0.8
1993,15,16,0.9375,9,10,0.9
1994,30,44,0.681818,16,22,0.727273
1995,15,29,0.517241,10,16,0.625
1996,9,15,0.6,6,7,0.857143
1997,15,23,0.652174,10,11,0.909091
1998,14,16,0.875,9,10,0.9
1999,46,65,0.707692,30,34,0.882353
2000,37,48,0.770833,26,31,0.83871
2001,65,94,0.691489,39,48,0.8125
2002,58,76,0.763158,35,40,0.875
2003,44,60,0.733333,25,33,0.757576
2004,50,68,0.735294,28,36,0.777778
2005,50,83,0.60241,31,43,0.72093
2006,72,94,0.765957,39,42,0.928571
2007,44,77,0.571429,29,39,0.74359
2008,50,75,0.666667,31,40,0.775
2009,52,82,0.634146,33,41,0.804878
2010,78,119,0.655462,48,57,0.842105
2011,100,140,0.714286,59,77,0.766234
2012,100,150,0.666667,53,63,0.84127
2013,66,107,0.616822,40,51,0.784314
2014,97,169,0.573964,62,74,0.837838
2015,99,156,0.634615,56,67,0.835821
2016,96,159,0.603774,59,67,0.880597
2017,101,165,0.612121,53,68,0.779412
2018,95,175,0.542857,58,72,0.805556
2019,91,165,0.551515,53,66,0.80303
2020,90,156,0.576923,55,64,0.859375
2021,74,123,0.601626,43,50,0.86
2022,109,171,0.637427,61,71,0.859155
2023,111,176,0.630682,57,62,0.919355
2024,99,167,0.592814,52,63,0.825397
2025,123,195,0.630769,67,77,0.87013
2026,64,102,0.627451,30,39,0.769231
