from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,2,1.0,1.0,0.0
1,2,1 to 2,1951,4,1.5,1.0,0.0
1,2,1 to 2,1952,8,6.0,5.0,0.125
1,2,1 to 2,1953,2,6.0,6.0,0.0
1,2,1 to 2,1954,2,12.5,12.5,0.0
1,2,1 to 2,1955,4,3.75,1.5,0.0
1,2,1 to 2,1956,3,5.0,5.0,0.0
1,2,1 to 2,1957,2,5.0,5.0,0.0
1,2,1 to 2,1958,4,5.5,5.5,0.0
1,2,1 to 2,1959,4,4.5,4.5,0.0
1,2,1 to 2,1960,1,2.0,2.0,0.0
1,2,1 to 2,1961,4,6.0,4.0,0.25
1,2,1 to 2,1962,6,13.833333,5.5,0.0
1,2,1 to 2,1963,2,4.0,4.0,0.0
1,2,1 to 2,1964,3,18.666667,20.0,0.0
1,2,1 to 2,1965,3,2.333333,2.0,0.0
1,2,1 to 2,1966,3,11.666667,12.0,0.0
1,2,1 to 2,1967,6,10.0,4.0,0.166667
1,2,1 to 2,1968,3,16.333333,12.0,0.0
1,2,1 to 2,1969,2,18.0,18.0,0.0
1,2,1 to 2,1970,3,2.333333,1.0,0.333333
1,2,1 to 2,1971,4,8.5,7.5,0.0
1,2,1 to 2,1972,2,8.0,8.0,0.0
1,2,1 to 2,1973,1,22.0,22.0,0.0
1,2,1 to 2,1974,3,5.333333,7.0,0.0
1,2,1 to 2,1975,3,7.666667,6.0,0.0
1,2,1 to 2,1976,5,8.8,8.0,0.0
1,2,1 to 2,1977,3,6.666667,7.0,0.0
1,2,1 to 2,1978,1,2.0,2.0,0.0
1,2,1 to 2,1979,2,14.5,14.5,0.0
1,2,1 to 2,1980,5,5.0,2.0,0.2
1,2,1 to 2,1981,3,9.0,10.0,0.0
1,2,1 to 2,1982,5,9.0,12.0,0.0
1,2,1 to 2,1983,10,12.3,13.0,0.0
1,2,1 to 2,1984,8,10.25,4.5,0.0
1,2,1 to 2,1985,7,12.0,7.0,0.0
1,2,1 to 2,1986,11,8.636364,6.0,0.272727
1,2,1 to 2,1987,5,10.8,12.0,0.2
1,2,1 to 2,1988,8,8.25,8.5,0.125
1,2,1 to 2,1989,5,7.2,7.0,0.0
1,2,1 to 2,1990,9,9.666667,12.0,0.0
1,2,1 to 2,1991,3,6.333333,4.0,0.0
1,2,1 to 2,1992,8,6.875,6.0,0.0
1,2,1 to 2,1993,7,6.142857,6.0,0.0
1,2,1 to 2,1994,6,5.5,3.5,0.0
1,2,1 to 2,1995,5,7.0,4.0,0.2
1,2,1 to 2,1997,4,2.25,2.0,0.0
1,2,1 to 2,1998,9,9.777778,8.0,0.111111
1,2,1 to 2,1999,21,7.857143,6.0,0.047619
1,2,1 to 2,2000,20,8.75,8.5,0.15
1,2,1 to 2,2001,21,9.952381,7.0,0.047619
1,2,1 to 2,2002,23,7.434783,6.0,0.043478
1,2,1 to 2,2003,18,8.777778,8.0,0.0
1,2,1 to 2,2004,19,7.947368,7.0,0.052632
1,2,1 to 2,2005,26,6.192308,5.0,0.115385
1,2,1 to 2,2006,30,5.533333,4.0,0.066667
1,2,1 to 2,2007,18,4.222222,4.0,0.055556
1,2,1 to 2,2008,20,6.85,6.0,0.0
1,2,1 to 2,2009,14,6.214286,5.0,0.0
1,2,1 to 2,2010,30,3.966667,3.5,0.133333
1,2,1 to 2,2011,33,4.212121,3.0,0.181818
1,2,1 to 2,2012,29,5.275862,4.0,0.034483
1,2,1 to 2,2013,24,4.833333,4.5,0.0
1,2,1 to 2,2014,26,3.269231,3.0,0.153846
1,2,1 to 2,2015,41,4.536585,5.0,0.073171
1,2,1 to 2,2016,18,3.5,3.0,0.111111
1,2,1 to 2,2017,24,4.541667,5.0,0.0
1,2,1 to 2,2018,29,3.413793,4.0,0.068966
1,2,1 to 2,2019,21,2.904762,2.0,0.0
1,2,1 to 2,2020,19,2.631579,2.0,0.157895
1,2,1 to 2,2021,14,2.785714,2.5,0.0
1,2,1 to 2,2022,18,1.944444,2.0,0.166667
1,2,1 to 2,2023,10,2.0,2.0,0.0
1,2,1 to 2,2024,5,1.2,1.0,0.0
1,2,1 to 2,2025,4,0.25,0.0,0.75
