publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
1950,1930,1949,1,0,0,0,,8,0,0.0
1950,1930,1949,5,0,0,0,,8,0,0.0
1950,1930,1949,10,0,0,0,,8,0,0.0
1951,1931,1950,1,8,1,8,1,6,0,0.0
1951,1931,1950,5,8,1,8,1,6,0,0.0
1951,1931,1950,10,8,1,8,1,6,0,0.0
1952,1932,1951,1,14,1,14,1,15,1,0.066667
1952,1932,1951,5,14,1,14,1,15,1,0.066667
1952,1932,1951,10,14,2,14,1,15,1,0.066667
1953,1933,1952,1,26,1,3,2,12,1,0.083333
1953,1933,1952,5,26,2,3,2,12,1,0.083333
1953,1933,1952,10,26,3,3,2,12,1,0.083333
1954,1934,1953,1,38,1,1,3,9,0,0.0
1954,1934,1953,5,38,2,3,2,9,0,0.0
1954,1934,1953,10,38,4,38,1,9,0,0.0
1955,1935,1954,1,47,1,1,3,18,0,0.0
1955,1935,1954,5,47,3,3,2,18,0,0.0
1955,1935,1954,10,47,5,47,1,18,1,0.055556
1956,1936,1955,1,66,1,1,3,18,0,0.0
1956,1936,1955,5,66,4,6,2,18,1,0.055556
1956,1936,1955,10,66,7,66,1,18,1,0.055556
1957,1937,1956,1,85,1,2,3,20,0,0.0
1957,1937,1956,5,85,5,7,2,20,0,0.0
1957,1937,1956,10,85,9,85,1,20,5,0.25
1958,1938,1957,1,106,2,2,3,17,1,0.058824
1958,1938,1957,5,106,6,12,2,17,1,0.058824
1958,1938,1957,10,106,11,12,2,17,1,0.058824
1959,1939,1958,1,122,2,2,3,20,0,0.0
1959,1939,1958,5,122,7,17,2,20,1,0.05
1959,1939,1958,10,122,13,17,2,20,1,0.05
1960,1940,1959,1,140,2,3,3,25,1,0.04
1960,1940,1959,5,140,7,19,2,25,4,0.16
1960,1940,1959,10,140,14,19,2,25,4,0.16
1961,1941,1960,1,160,2,3,4,19,0,0.0
1961,1941,1960,5,160,8,25,2,19,3,0.157895
1961,1941,1960,10,160,16,25,2,19,3,0.157895
1962,1942,1961,1,172,2,3,4,30,1,0.033333
1962,1942,1961,5,172,9,30,2,30,3,0.1
1962,1942,1961,10,172,18,30,2,30,3,0.1
1963,1943,1962,1,206,3,5,4,19,1,0.052632
1963,1943,1962,5,206,11,35,2,19,3,0.157895
1963,1943,1962,10,206,21,35,2,19,3,0.157895
1964,1944,1963,1,219,3,6,4,22,0,0.0
1964,1944,1963,5,219,11,11,3,22,1,0.045455
1964,1944,1963,10,219,22,39,2,22,1,0.045455
1965,1945,1964,1,238,3,7,4,24,0,0.0
1965,1945,1964,5,238,12,44,2,24,3,0.125
1965,1945,1964,10,238,24,44,2,24,3,0.125
1966,1946,1965,1,258,3,8,4,18,1,0.055556
1966,1946,1965,5,258,13,13,3,18,1,0.055556
1966,1946,1965,10,258,26,49,2,18,2,0.111111
1967,1947,1966,1,273,3,3,5,19,0,0.0
1967,1947,1966,5,273,14,15,3,19,0,0.0
1967,1947,1966,10,273,28,53,2,19,2,0.105263
1968,1948,1967,1,289,3,3,5,15,0,0.0
1968,1948,1967,5,289,15,17,3,15,0,0.0
1968,1948,1967,10,289,29,56,2,15,0,0.0
1969,1949,1968,1,310,4,8,4,17,0,0.0
1969,1949,1968,5,310,16,18,3,17,1,0.058824
1969,1949,1968,10,310,31,57,2,17,3,0.176471
1970,1950,1969,1,328,4,9,4,16,0,0.0
1970,1950,1969,5,328,17,20,3,16,0,0.0
1970,1950,1969,10,328,33,60,2,16,1,0.0625
1971,1951,1970,1,345,4,9,4,23,0,0.0
1971,1951,1970,5,345,18,21,3,23,0,0.0
1971,1951,1970,10,345,35,60,2,23,0,0.0
1972,1952,1971,1,364,4,9,4,16,2,0.125
1972,1952,1971,5,364,19,21,3,16,4,0.25
1972,1952,1971,10,364,37,65,2,16,5,0.3125
1973,1953,1972,1,373,4,4,5,17,0,0.0
1973,1953,1972,5,373,19,21,3,17,3,0.176471
1973,1953,1972,10,373,38,67,2,17,3,0.176471
1974,1954,1973,1,374,4,5,5,9,0,0.0
1974,1954,1973,5,374,19,21,3,9,0,0.0
1974,1954,1973,10,374,38,74,2,9,2,0.222222
1975,1955,1974,1,376,4,4,5,6,0,0.0
1975,1955,1974,5,376,19,23,3,6,0,0.0
1975,1955,1974,10,376,38,72,2,6,0,0.0
1976,1956,1975,1,371,4,4,5,11,0,0.0
1976,1956,1975,5,371,19,19,3,11,0,0.0
1976,1956,1975,10,371,38,70,2,11,2,0.181818
1977,1957,1976,1,367,4,7,4,9,1,0.111111
1977,1957,1976,5,367,19,19,3,9,1,0.111111
1977,1957,1976,10,367,37,70,2,9,2,0.222222
1978,1958,1977,1,358,4,7,4,9,1,0.111111
1978,1958,1977,5,358,18,19,3,9,1,0.111111
1978,1958,1977,10,358,36,67,2,9,2,0.222222
1979,1959,1978,1,350,4,6,4,8,0,0.0
1979,1959,1978,5,350,18,20,3,8,0,0.0
1979,1959,1978,10,350,35,65,2,8,1,0.125
1980,1960,1979,1,346,4,5,4,11,0,0.0
1980,1960,1979,5,346,18,20,3,11,0,0.0
1980,1960,1979,10,346,35,60,2,11,2,0.181818
1981,1961,1980,1,337,4,5,4,10,0,0.0
1981,1961,1980,5,337,17,20,3,10,1,0.1
1981,1961,1980,10,337,34,54,2,10,1,0.1
1982,1962,1981,1,334,4,6,4,12,3,0.25
1982,1962,1981,5,334,17,19,3,12,3,0.25
1982,1962,1981,10,334,34,51,2,12,3,0.25
1983,1963,1982,1,315,4,5,4,9,1,0.111111
1983,1963,1982,5,315,16,17,3,9,2,0.222222
1983,1963,1982,10,315,32,48,2,9,2,0.222222
1984,1964,1983,1,314,4,5,4,7,0,0.0
1984,1964,1983,5,314,16,16,3,7,0,0.0
1984,1964,1983,10,314,32,43,2,7,0,0.0
1985,1965,1984,1,303,4,4,4,10,1,0.1
1985,1965,1984,5,303,16,41,2,10,1,0.1
1985,1965,1984,10,303,31,41,2,10,1,0.1
1986,1966,1985,1,294,3,3,4,9,0,0.0
1986,1966,1985,5,294,15,40,2,9,2,0.222222
1986,1966,1985,10,294,30,40,2,9,2,0.222222
1987,1967,1986,1,291,3,5,4,7,0,0.0
1987,1967,1986,5,291,15,37,2,7,0,0.0
1987,1967,1986,10,291,30,37,2,7,0,0.0
1988,1968,1987,1,284,3,5,4,8,0,0.0
1988,1968,1987,5,284,15,35,2,8,0,0.0
1988,1968,1987,10,284,29,35,2,8,0,0.0
1989,1969,1988,1,273,3,5,4,9,2,0.222222
1989,1969,1988,5,273,14,35,2,9,2,0.222222
1989,1969,1988,10,273,28,35,2,9,2,0.222222
1990,1970,1989,1,267,3,4,4,9,1,0.111111
1990,1970,1989,5,267,14,35,2,9,2,0.222222
1990,1970,1989,10,267,27,35,2,9,2,0.222222
1991,1971,1990,1,256,3,3,4,9,0,0.0
1991,1971,1990,5,256,13,31,2,9,0,0.0
1991,1971,1990,10,256,26,31,2,9,0,0.0
1992,1972,1991,1,245,3,3,4,4,0,0.0
1992,1972,1991,5,245,13,27,2,4,0,0.0
1992,1972,1991,10,245,25,27,2,4,0,0.0
1993,1973,1992,1,227,3,5,3,21,1,0.047619
1993,1973,1992,5,227,12,24,2,21,1,0.047619
1993,1973,1992,10,227,23,24,2,21,1,0.047619
1994,1974,1993,1,237,3,5,3,11,0,0.0
1994,1974,1993,5,237,12,22,2,11,1,0.090909
1994,1974,1993,10,237,24,237,1,11,2,0.181818
1995,1975,1994,1,251,3,6,3,13,1,0.076923
1995,1975,1994,5,251,13,22,2,13,1,0.076923
1995,1975,1994,10,251,26,251,1,13,4,0.307692
1996,1976,1995,1,257,3,6,3,10,0,0.0
1996,1976,1995,5,257,13,25,2,10,1,0.1
1996,1976,1995,10,257,26,257,1,10,3,0.3
1997,1977,1996,1,260,3,7,3,18,0,0.0
1997,1977,1996,5,260,13,26,2,18,1,0.055556
1997,1977,1996,10,260,26,26,2,18,1,0.055556
1998,1978,1997,1,272,3,8,3,16,0,0.0
1998,1978,1997,5,272,14,30,2,16,3,0.1875
1998,1978,1997,10,272,28,30,2,16,3,0.1875
1999,1979,1998,1,281,3,12,3,47,3,0.06383
1999,1979,1998,5,281,15,32,2,47,7,0.148936
1999,1979,1998,10,281,29,32,2,47,7,0.148936
2000,1980,1999,1,337,4,5,4,49,1,0.020408
2000,1980,1999,5,337,17,47,2,49,8,0.163265
2000,1980,1999,10,337,34,47,2,49,8,0.163265
2001,1981,2000,1,382,4,7,4,33,5,0.151515
2001,1981,2000,5,382,20,22,3,33,6,0.181818
2001,1981,2000,10,382,39,65,2,33,9,0.272727
2002,1982,2001,1,413,5,8,4,57,6,0.105263
2002,1982,2001,5,413,21,25,3,57,10,0.175439
2002,1982,2001,10,413,42,76,2,57,17,0.298246
2003,1983,2002,1,469,5,13,4,48,6,0.125
2003,1983,2002,5,469,24,33,3,48,7,0.145833
2003,1983,2002,10,469,47,94,2,48,9,0.1875
2004,1984,2003,1,508,6,15,4,30,3,0.1
2004,1984,2003,5,508,26,35,3,30,5,0.166667
2004,1984,2003,10,508,51,104,2,30,10,0.333333
2005,1985,2004,1,540,6,7,5,33,2,0.060606
2005,1985,2004,5,540,27,40,3,33,6,0.181818
2005,1985,2004,10,540,54,112,2,33,12,0.363636
2006,1986,2005,1,565,6,10,5,54,5,0.092593
2006,1986,2005,5,565,29,46,3,54,7,0.12963
2006,1986,2005,10,565,57,119,2,54,16,0.296296
2007,1987,2006,1,620,7,10,5,39,7,0.179487
2007,1987,2006,5,620,31,57,3,39,10,0.25641
2007,1987,2006,10,620,62,137,2,39,14,0.358974
2008,1988,2007,1,660,7,8,6,49,6,0.122449
2008,1988,2007,5,660,33,61,3,49,15,0.306122
2008,1988,2007,10,660,66,145,2,49,20,0.408163
2009,1989,2008,1,709,8,8,7,56,3,0.053571
2009,1989,2008,5,709,36,66,3,56,10,0.178571
2009,1989,2008,10,709,71,160,2,56,20,0.357143
2010,1990,2009,1,774,8,8,7,66,2,0.030303
2010,1990,2009,5,774,39,40,4,66,14,0.212121
2010,1990,2009,10,774,78,173,2,66,27,0.409091
2011,1991,2010,1,840,9,9,7,45,5,0.111111
2011,1991,2010,5,840,42,46,4,45,10,0.222222
2011,1991,2010,10,840,84,88,3,45,13,0.288889
2012,1992,2011,1,891,9,11,7,59,6,0.101695
2012,1992,2011,5,891,45,49,4,59,15,0.254237
2012,1992,2011,10,891,90,90,3,59,20,0.338983
2013,1993,2012,1,975,10,14,7,69,10,0.144928
2013,1993,2012,5,975,49,55,4,69,18,0.26087
2013,1993,2012,10,975,98,99,3,69,19,0.275362
2014,1994,2013,1,1048,11,13,8,65,5,0.076923
2014,1994,2013,5,1048,53,59,4,65,12,0.184615
2014,1994,2013,10,1048,105,112,3,65,20,0.307692
2015,1995,2014,1,1116,12,15,8,87,7,0.08046
2015,1995,2014,5,1116,56,66,4,87,15,0.172414
2015,1995,2014,10,1116,112,127,3,87,21,0.241379
2016,1996,2015,1,1225,13,16,8,70,8,0.114286
2016,1996,2015,5,1225,62,72,4,70,15,0.214286
2016,1996,2015,10,1225,123,138,3,70,24,0.342857
2017,1997,2016,1,1298,13,13,9,84,6,0.071429
2017,1997,2016,5,1298,65,83,4,84,21,0.25
2017,1997,2016,10,1298,130,155,3,84,25,0.297619
2018,1998,2017,1,1437,15,17,9,57,8,0.140351
