publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,8,8,1.0,8,8,1.0
1951,6,6,1.0,6,6,1.0
1952,12,13,0.923077,14,15,0.933333
1953,12,13,0.923077,11,12,0.916667
1954,9,9,1.0,9,9,1.0
1955,19,20,0.95,17,18,0.944444
1956,19,20,0.95,17,18,0.944444
1957,21,26,0.807692,17,20,0.85
1958,16,22,0.727273,13,17,0.764706
1959,18,21,0.857143,18,20,0.9
1960,20,29,0.689655,16,25,0.64
1961,12,19,0.631579,13,19,0.684211
1962,34,41,0.829268,25,30,0.833333
1963,13,21,0.619048,13,19,0.684211
1964,19,24,0.791667,17,22,0.772727
1965,20,28,0.714286,18,24,0.75
1966,15,21,0.714286,14,18,0.777778
1967,16,21,0.761905,15,19,0.789474
1968,21,22,0.954545,15,15,1.0
1969,18,24,0.75,13,17,0.764706
1970,23,26,0.884615,16,16,1.0
1971,22,29,0.758621,21,23,0.913043
1972,20,29,0.689655,13,16,0.8125
1973,12,22,0.545455,11,17,0.647059
1974,8,10,0.8,8,9,0.888889
1975,6,8,0.75,5,6,0.833333
1976,10,14,0.714286,8,11,0.727273
1977,12,14,0.857143,9,9,1.0
1978,8,12,0.666667,8,9,0.888889
1979,9,10,0.9,7,8,0.875
1980,12,14,0.857143,9,11,0.818182
1981,9,13,0.692308,8,10,0.8
1982,12,17,0.705882,10,12,0.833333
1983,10,15,0.666667,6,9,0.666667
1984,8,10,0.8,6,7,0.857143
1985,12,15,0.8,8,10,0.8
1986,13,17,0.764706,8,9,0.888889
1987,10,10,1.0,7,7,1.0
1988,10,11,0.909091,8,8,1.0
1989,10,15,0.666667,6,9,0.666667
1990,9,12,0.75,8,9,0.888889
1991,11,13,0.846154,8,9,0.888889
1992,6,6,1.0,4,4,1.0
1993,27,32,0.84375,19,21,0.904762
1994,22,24,0.916667,11,11,1.0
1995,14,18,0.777778,10,13,0.769231
1996,16,19,0.842105,10,10,1.0
1997,25,29,0.862069,18,18,1.0
1998,20,27,0.740741,12,16,0.75
1999,63,87,0.724138,40,47,0.851064
2000,56,80,0.7,41,49,0.836735
2001,38,59,0.644068,25,33,0.757576
2002,65,105,0.619048,41,57,0.719298
2003,52,69,0.753623,36,48,0.75
2004,39,61,0.639344,26,30,0.866667
2005,34,59,0.576271,25,33,0.757576
2006,67,104,0.644231,43,54,0.796296
2007,43,70,0.614286,29,39,0.74359
2008,60,96,0.625,37,49,0.755102
2009,74,110,0.672727,45,56,0.803571
2010,70,136,0.514706,45,66,0.681818
2011,54,90,0.6,36,45,0.8
2012,87,137,0.635036,49,59,0.830508
2013,88,151,0.582781,52,69,0.753623
2014,83,142,0.584507,50,65,0.769231
2015,115,189,0.608466,70,87,0.804598
2016,85,159,0.534591,51,70,0.728571
2017,152,230,0.66087,74,84,0.880952
2018,66,135,0.488889,44,57,0.77193
2019,56,129,0.434109,38,56,0.678571
2020,119,204,0.583333,66,81,0.814815
2021,108,192,0.5625,59,72,0.819444
2022,93,160,0.58125,51,63,0.809524
2023,96,183,0.52459,51,67,0.761194
2024,129,210,0.614286,69,79,0.873418
2025,119,226,0.526549,62,84,0.738095
2026,44,80,0.55,26,36,0.722222
