author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ008642,Shahidur,Khandker,1998,1,1,0,1,only_with_other_new_coauthors
AFZ013450,Mark,Pitt,1998,1,1,0,1,only_with_other_new_coauthors
AFZ001604,Duncan,Black,1999,1,1,0,1,only_with_other_new_coauthors
AFZ007084,Vernon,Henderson,1999,1,1,0,1,only_with_other_new_coauthors
AFZ017527,Prem,Vashishtha,1999,1,1,1,0,with_experienced_coauthor
AFZ007510,Peter,Howitt,1999,1,0,0,0,solo
AFZ010341,John,Lott,1999,1,0,0,0,solo
AFZ014501,Sherwin,Rosen,1999,1,0,0,0,solo
AFZ015258,Theodore,Schultz,1950,1,0,0,0,solo
AFZ013238,Harvey,Perloff,1950,1,0,0,0,solo
AFZ008534,B,Keirstead,1950,1,0,0,0,solo
AFZ017445,M,Urquhart,1950,1,0,0,0,solo
AFZ000706,Henry,Aubrey,1950,1,0,0,0,solo
AFZ017499,Rupert,Vance,1950,1,0,0,0,solo
AFZ003811,Joseph,Davis,1951,1,0,0,0,solo
AFZ009163,Justus,Kroef,1951,1,0,0,0,solo
AFZ008154,Bruce,Johnston,1951,1,0,0,0,solo
AFZ002252,J,Buchanan,1952,1,0,0,0,solo
AFZ006389,Harold,Groves,1952,1,0,0,0,solo
AFZ015329,Warren,Scoville,1952,2,0,0,0,solo
AFZ005044,Frank,Fetter,1952,1,0,0,0,solo
AFZ016411,George,Stigler,1952,1,0,0,0,solo
AFZ000955,Paul,Baran,1952,1,0,0,0,solo
AFZ017048,Daniel,Thorner,1952,1,0,0,0,solo
AFZ015988,Robert,Smith,1952,1,0,0,0,solo
AFZ007464,Bert,Hoselitz,1952,2,0,0,0,solo
AFZ007648,John,Hunter,1953,1,0,0,0,solo
AFZ010545,W,Mackintosh,1953,1,0,0,0,solo
AFZ007646,Holland,Hunter,1953,1,0,0,0,solo
AFZ014583,Simon,Rottenberg,1953,1,0,0,0,solo
AFZ007518,Elizabeth,Hoyt,1953,1,0,0,0,solo
AFZ018267,Edmund,Whittaker,1954,1,0,0,0,solo
AFZ002483,Rondo,Cameron,1954,1,0,0,0,solo
AFZ016416,Calvin,Stillman,1954,1,0,0,0,solo
AFZ012524,Warren,Nutter,1955,1,0,0,0,solo
AFZ016533,Adolf,Sturmthal,1955,1,0,0,0,solo
AFZ012482,Douglass,North,1955,1,0,0,0,solo
AFZ002239,Henry,Bruton,1955,1,0,0,0,solo
AFZ008013,H,Jenkins,1955,1,0,0,0,solo
AFZ006966,Earl,Heady,1955,1,0,0,0,solo
AFZ010665,Wilfred,Malenbaum,1956,1,0,0,0,solo
