first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,0,8,0,8,0.0,0.0,1.0
1951,0,6,0,6,0.0,0.0,1.0
1952,0,12,0,12,0.0,0.0,1.0
1953,2,10,0,12,0.0,0.166667,0.833333
1954,0,9,0,9,0.0,0.0,1.0
1955,7,12,0,19,0.0,0.368421,0.631579
1956,5,14,0,19,0.0,0.263158,0.736842
1957,8,11,2,21,0.095238,0.380952,0.52381
1958,3,11,2,16,0.125,0.1875,0.6875
1959,0,17,1,18,0.055556,0.0,0.944444
1960,8,11,1,20,0.05,0.4,0.55
1961,0,11,1,12,0.083333,0.0,0.916667
1962,16,16,2,34,0.058824,0.470588,0.470588
1963,0,11,2,13,0.153846,0.0,0.846154
1964,5,14,0,19,0.0,0.263158,0.736842
1965,4,14,2,20,0.1,0.2,0.7
1966,2,10,3,15,0.2,0.133333,0.666667
1967,2,14,0,16,0.0,0.125,0.875
1968,12,7,2,21,0.095238,0.571429,0.333333
1969,9,7,2,18,0.111111,0.5,0.388889
1970,10,8,5,23,0.217391,0.434783,0.347826
1971,2,14,6,22,0.272727,0.090909,0.636364
1972,8,5,7,20,0.35,0.4,0.25
1973,4,4,4,12,0.333333,0.333333,0.333333
1974,0,7,1,8,0.125,0.0,0.875
1975,2,4,0,6,0.0,0.333333,0.666667
1976,4,6,0,10,0.0,0.4,0.6
1977,2,5,5,12,0.416667,0.166667,0.416667
1978,0,6,2,8,0.25,0.0,0.75
1979,4,5,0,9,0.0,0.444444,0.555556
1980,6,5,1,12,0.083333,0.5,0.416667
1981,2,6,1,9,0.111111,0.222222,0.666667
1982,4,5,3,12,0.25,0.333333,0.416667
1983,7,3,0,10,0.0,0.7,0.3
1984,2,4,2,8,0.25,0.25,0.5
1985,7,5,0,12,0.0,0.583333,0.416667
1986,7,3,3,13,0.230769,0.538462,0.230769
1987,8,2,0,10,0.0,0.8,0.2
1988,2,6,2,10,0.2,0.2,0.6
1989,7,3,0,10,0.0,0.7,0.3
1990,2,5,2,9,0.222222,0.222222,0.555556
1991,6,4,1,11,0.090909,0.545455,0.363636
1992,4,2,0,6,0.0,0.666667,0.333333
1993,15,10,2,27,0.074074,0.555556,0.37037
1994,13,3,6,22,0.272727,0.590909,0.136364
1995,7,6,1,14,0.071429,0.5,0.428571
1996,10,2,4,16,0.25,0.625,0.125
1997,14,6,5,25,0.2,0.56,0.24
1998,14,3,3,20,0.15,0.7,0.15
1999,37,13,13,63,0.206349,0.587302,0.206349
2000,25,12,19,56,0.339286,0.446429,0.214286
2001,22,7,9,38,0.236842,0.578947,0.184211
2002,34,9,22,65,0.338462,0.523077,0.138462
2003,27,18,7,52,0.134615,0.519231,0.346154
2004,16,5,18,39,0.461538,0.410256,0.128205
2005,16,7,11,34,0.323529,0.470588,0.205882
2006,32,10,25,67,0.373134,0.477612,0.149254
2007,17,9,17,43,0.395349,0.395349,0.209302
2008,30,8,22,60,0.366667,0.5,0.133333
2009,42,13,19,74,0.256757,0.567568,0.175676
2010,29,8,33,70,0.471429,0.414286,0.114286
2011,20,9,25,54,0.462963,0.37037,0.166667
2012,43,6,38,87,0.436782,0.494253,0.068966
2013,48,10,30,88,0.340909,0.545455,0.113636
2014,50,10,23,83,0.277108,0.60241,0.120482
2015,41,12,62,115,0.53913,0.356522,0.104348
2016,25,8,52,85,0.611765,0.294118,0.094118
2017,67,8,77,152,0.506579,0.440789,0.052632
2018,22,6,38,66,0.575758,0.333333,0.090909
2019,12,11,33,56,0.589286,0.214286,0.196429
2020,49,4,66,119,0.554622,0.411765,0.033613
2021,35,7,66,108,0.611111,0.324074,0.064815
2022,34,9,50,93,0.537634,0.365591,0.096774
2023,49,4,43,96,0.447917,0.510417,0.041667
2024,47,12,70,129,0.542636,0.364341,0.093023
2025,31,9,79,119,0.663866,0.260504,0.07563
2026,18,6,20,44,0.454545,0.409091,0.136364
