author_id,final_first_name,final_last_name,first_top5_publication_year,entry_cohort,doi_full,from_publication_number,to_publication_number,publication_transition,previous_publication_year,publication_year,gap_years
AFZ000022,Girum,Abebe,2021,,10.1257/aer.20220471,1,2,1 to 2,2021,2024,3
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.2307/2971723,1,2,1 to 2,1997,1997,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.90.1.194,2,3,2 to 3,1997,2000,3
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.90.2.126,3,4,3 to 4,2000,2000,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1162/00335530151144104,4,5,4 to 5,2000,2001,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.91.4.938,5,6,5 to 6,2001,2001,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.91.5.1369,6,7,6 to 7,2001,2001,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1162/003355302320935025,7,8,7 to 8,2001,2002,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1162/003355302753650355,8,9,8 to 9,2002,2002,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1111/1467-937x.00242,9,10,9 to 10,2002,2003,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1162/0033553041502144,10,11,10 to 11,2003,2004,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/0002828054201305,11,12,11 to 12,2004,2005,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/000282805774669916,12,13,12 to 13,2005,2005,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/000282806777211766,13,14,13 to 14,2005,2006,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/529000,14,15,14 to 15,2006,2007,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1111/j.1468-0262.2007.00797.x,15,16,15 to 16,2007,2007,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1162/qjec.2007.122.4.1759,16,17,16 to 17,2007,2007,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.97.3.916,17,18,17 to 18,2007,2007,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/589523,18,19,18 to 19,2007,2008,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/595014,19,20,19 to 20,2008,2008,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.98.3.808,20,21,20 to 21,2008,2008,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.99.2.298,21,22,21 to 22,2008,2009,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/658160,22,23,22 to 23,2009,2010,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.100.2.83,23,24,23 to 24,2010,2010,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/qje/qjr018,24,25,24 to 25,2010,2011,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.101.7.3286,25,26,25 to 26,2011,2011,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/qje/qjr048,26,27,26 to 27,2011,2012,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.102.1.131,27,28,27 to 28,2012,2012,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/restud/rdt007,28,29,28 to 29,2012,2013,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/674988,29,30,29 to 30,2013,2014,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.104.5.394,30,31,30 to 31,2014,2014,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.20140044,31,32,31 to 32,2014,2015,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/684511,32,33,32 to 33,2015,2016,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.p20161071,33,34,33 to 34,2016,2016,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/693038,34,35,34 to 35,2016,2017,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.p20171101,35,36,35 to 36,2017,2017,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/700936,36,37,36 to 37,2017,2018,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.20130470,37,38,37 to 38,2018,2018,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.20160696,38,39,38 to 39,2018,2018,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/restud/rdz042,39,40,39 to 40,2018,2019,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/707765,40,41,40 to 41,2019,2020,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.3982/ecta15899,41,42,41 to 42,2020,2020,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/restud/rdab031,42,43,42 to 43,2020,2021,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.3982/ecta19815,43,44,43 to 44,2021,2022,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/restud/rdad043,44,45,44 to 45,2022,2023,1
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1086/739330,45,46,45 to 46,2023,2025,2
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1257/aer.115.6.1709,46,47,46 to 47,2025,2025,0
AFZ000056,Daron,Acemoglu,1997,1991-2000,10.1093/qje/qjag006,47,48,47 to 48,2025,2026,1
AFZ000072,Tasso,Adamopoulos,2014,2011-2020,10.1093/restud/rdab059,1,2,1 to 2,2014,2021,7
AFZ000072,Tasso,Adamopoulos,2014,2011-2020,10.3982/ecta16598,2,3,2 to 3,2021,2022,1
AFZ000072,Tasso,Adamopoulos,2014,2011-2020,10.1093/qje/qjae010,3,4,3 to 4,2022,2024,2
AFZ000096,Alberto,Ades,1995,1991-2000,10.1162/003355399556205,1,2,1 to 2,1995,1999,4
AFZ000099,Achyuta,Adhvaryu,2014,2011-2020,10.1086/724320,1,2,1 to 2,2014,2023,9
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1111/1467-937x.00177,1,2,1 to 2,1997,2001,4
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1111/1468-0262.00312,2,3,2 to 3,2001,2002,1
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1162/0033553053970214,3,4,3 to 4,2002,2005,3
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1162/qjec.2007.122.4.1759,4,5,4 to 5,2005,2007,2
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.98.4.1397,5,6,5 to 6,2007,2008,1
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.100.2.153,6,7,6 to 7,2008,2010,2
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.102.1.131,7,8,7 to 8,2010,2012,2
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.103.1.277,8,9,8 to 9,2012,2013,1
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.p20151067,9,10,9 to 10,2013,2015,2
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1086/684581,10,11,10 to 11,2015,2016,1
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.20150338,11,12,11 to 12,2016,2016,0
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1093/restud/rdy027,12,13,12 to 13,2016,2018,2
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1257/aer.20171745,13,14,13 to 14,2018,2019,1
AFZ000134,Philippe,Aghion,1997,1991-2000,10.1093/restud/rdad016,14,15,14 to 15,2019,2023,4
