from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,2,10.5,10.5,0.0
1,2,1 to 2,1951,3,9.0,10.0,0.0
1,2,1 to 2,1952,3,2.666667,0.0,0.666667
1,2,1 to 2,1953,1,7.0,7.0,0.0
1,2,1 to 2,1954,3,2.666667,3.0,0.0
1,2,1 to 2,1955,8,2.25,2.5,0.25
1,2,1 to 2,1956,5,3.4,2.0,0.2
1,2,1 to 2,1957,5,7.6,3.0,0.0
1,2,1 to 2,1958,3,8.666667,5.0,0.0
1,2,1 to 2,1959,7,7.571429,6.0,0.0
1,2,1 to 2,1960,6,6.166667,5.0,0.0
1,2,1 to 2,1961,5,2.8,2.0,0.2
1,2,1 to 2,1962,9,16.444444,6.0,0.111111
1,2,1 to 2,1963,5,8.0,3.0,0.0
1,2,1 to 2,1964,2,1.5,1.5,0.5
1,2,1 to 2,1965,5,5.4,6.0,0.0
1,2,1 to 2,1966,3,2.333333,1.0,0.0
1,2,1 to 2,1967,4,3.5,3.0,0.0
1,2,1 to 2,1969,6,3.666667,3.5,0.0
1,2,1 to 2,1970,5,4.0,2.0,0.0
1,2,1 to 2,1971,4,3.5,2.0,0.25
1,2,1 to 2,1972,3,13.666667,9.0,0.0
1,2,1 to 2,1973,5,21.6,11.0,0.2
1,2,1 to 2,1977,1,0.0,0.0,1.0
1,2,1 to 2,1978,1,2.0,2.0,0.0
1,2,1 to 2,1979,1,7.0,7.0,0.0
1,2,1 to 2,1980,2,12.5,12.5,0.0
1,2,1 to 2,1982,3,8.0,3.0,0.0
1,2,1 to 2,1983,2,20.0,20.0,0.0
1,2,1 to 2,1984,2,3.0,3.0,0.0
1,2,1 to 2,1985,6,17.666667,17.5,0.0
1,2,1 to 2,1986,3,13.333333,10.0,0.0
1,2,1 to 2,1987,7,10.571429,14.0,0.142857
1,2,1 to 2,1989,4,10.5,7.0,0.0
1,2,1 to 2,1990,3,11.0,12.0,0.0
1,2,1 to 2,1991,8,7.875,8.0,0.0
1,2,1 to 2,1992,3,8.0,8.0,0.0
1,2,1 to 2,1993,11,8.727273,9.0,0.090909
1,2,1 to 2,1994,8,6.375,6.5,0.0
1,2,1 to 2,1995,7,8.0,4.0,0.0
1,2,1 to 2,1996,5,7.2,3.0,0.0
1,2,1 to 2,1997,14,8.285714,7.0,0.071429
1,2,1 to 2,1998,7,8.285714,4.0,0.0
1,2,1 to 2,1999,24,5.416667,3.5,0.0
1,2,1 to 2,2000,21,5.904762,3.0,0.142857
1,2,1 to 2,2001,16,5.375,4.0,0.0
1,2,1 to 2,2002,23,7.434783,5.0,0.086957
1,2,1 to 2,2003,23,6.26087,6.0,0.086957
1,2,1 to 2,2004,13,3.923077,3.0,0.0
1,2,1 to 2,2005,11,4.727273,3.0,0.090909
1,2,1 to 2,2006,23,5.391304,5.0,0.043478
1,2,1 to 2,2007,13,5.615385,5.0,0.0
1,2,1 to 2,2008,26,3.423077,3.0,0.038462
1,2,1 to 2,2009,35,4.685714,4.0,0.085714
1,2,1 to 2,2010,18,5.5,6.0,0.055556
1,2,1 to 2,2011,26,3.846154,3.0,0.076923
1,2,1 to 2,2012,31,5.064516,4.0,0.064516
1,2,1 to 2,2013,36,4.222222,2.0,0.138889
1,2,1 to 2,2014,29,4.344828,5.0,0.103448
1,2,1 to 2,2015,45,3.244444,3.0,0.177778
1,2,1 to 2,2016,20,4.05,3.5,0.0
1,2,1 to 2,2017,40,3.425,2.5,0.025
1,2,1 to 2,2018,29,4.241379,5.0,0.137931
1,2,1 to 2,2019,12,2.25,2.0,0.0
1,2,1 to 2,2020,25,2.96,3.0,0.12
1,2,1 to 2,2021,21,2.571429,3.0,0.142857
1,2,1 to 2,2022,15,2.066667,2.0,0.133333
1,2,1 to 2,2023,11,1.454545,1.0,0.0
1,2,1 to 2,2024,10,0.8,1.0,0.3
1,2,1 to 2,2025,3,0.666667,1.0,0.333333
1,2,1 to 2,2026,1,0.0,0.0,1.0
