ranking_scope,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
All fields,1950,1930,1949,1,0,0,0,,198,0,0.0
All fields,1950,1930,1949,5,0,0,0,,198,0,0.0
All fields,1950,1930,1949,10,0,0,0,,198,0,0.0
All fields,1951,1931,1950,1,178,2,3,3,195,2,0.010256
All fields,1951,1931,1950,5,178,9,26,2,195,21,0.107692
All fields,1951,1931,1950,10,178,18,26,2,195,21,0.107692
All fields,1952,1932,1951,1,311,4,10,4,300,14,0.046667
All fields,1952,1932,1951,5,311,16,22,3,300,23,0.076667
All fields,1952,1932,1951,10,311,32,80,2,300,67,0.223333
All fields,1953,1933,1952,1,494,5,6,6,224,5,0.022321
All fields,1953,1933,1952,5,494,25,30,4,224,22,0.098214
All fields,1953,1933,1952,10,494,50,74,3,224,29,0.129464
All fields,1954,1934,1953,1,628,7,7,7,277,11,0.039711
All fields,1954,1934,1953,5,628,32,45,4,277,36,0.129964
All fields,1954,1934,1953,10,628,63,113,3,277,67,0.241877
All fields,1955,1935,1954,1,793,8,10,8,234,15,0.064103
All fields,1955,1935,1954,5,793,40,45,5,234,35,0.149573
All fields,1955,1935,1954,10,793,80,150,3,234,69,0.294872
All fields,1956,1936,1955,1,935,10,14,8,232,13,0.056034
All fields,1956,1936,1955,5,935,47,59,5,232,33,0.142241
All fields,1956,1936,1955,10,935,94,101,4,232,38,0.163793
All fields,1957,1937,1956,1,1077,11,11,9,244,13,0.053279
All fields,1957,1937,1956,5,1077,54,69,5,244,37,0.151639
All fields,1957,1937,1956,10,1077,108,122,4,244,57,0.233607
All fields,1958,1938,1957,1,1209,13,15,9,233,20,0.085837
All fields,1958,1938,1957,5,1209,61,86,5,233,48,0.206009
All fields,1958,1938,1957,10,1209,121,146,4,233,64,0.274678
All fields,1959,1939,1958,1,1329,14,18,9,277,17,0.061372
