publication_year,history_start_year,history_end_year,top_author_percentage,author_id,final_first_name,final_last_name,rolling_publication_count
1951,1931,1950,1,AFZ008561,Donald,Kemmerer,4
1951,1931,1950,1,AFZ016197,Joseph,Spengler,3
1951,1931,1950,1,AFZ016208,John,Spielmans,3
1951,1931,1950,5,AFZ008561,Donald,Kemmerer,4
1951,1931,1950,5,AFZ016197,Joseph,Spengler,3
1951,1931,1950,5,AFZ016208,John,Spielmans,3
1951,1931,1950,5,AFZ001380,Abram,Bergson,2
1951,1931,1950,5,AFZ001950,Howard,Bowen,2
1951,1931,1950,5,AFZ004002,Donald,Dewey,2
1951,1931,1950,5,AFZ004480,C,Efroymson,2
1951,1931,1950,5,AFZ005044,Frank,Fetter,2
1951,1931,1950,5,AFZ008124,Harry,Johnson,2
1951,1931,1950,5,AFZ009786,Wassily,Leontief,2
1951,1931,1950,5,AFZ010792,Julius,Margolis,2
1951,1931,1950,5,AFZ011409,Lloyd,Metzler,2
1951,1931,1950,5,AFZ011489,Raymond,Mikesell,2
1951,1931,1950,5,AFZ012074,Mary,Murphy,2
1951,1931,1950,5,AFZ012655,Henry,Oliver,2
1951,1931,1950,5,AFZ013238,Harvey,Perloff,2
1951,1931,1950,5,AFZ013320,Kirk,Petshek,2
1951,1931,1950,5,AFZ013367,Cecil,Phipps,2
1951,1931,1950,5,AFZ014027,Melvin,Reder,2
1951,1931,1950,5,AFZ016088,Harold,Somers,2
1951,1931,1950,5,AFZ016411,George,Stigler,2
1951,1931,1950,5,AFZ016494,Paul,Streeten,2
1951,1931,1950,5,AFZ017499,Rupert,Vance,2
1951,1931,1950,5,AFZ017744,Robert,Voorhis,2
1951,1931,1950,5,AFZ018143,Walter,Weisskopf,2
1951,1931,1950,5,AFZ018445,Lawrence,Witt,2
1951,1931,1950,10,AFZ008561,Donald,Kemmerer,4
1951,1931,1950,10,AFZ016197,Joseph,Spengler,3
1951,1931,1950,10,AFZ016208,John,Spielmans,3
1951,1931,1950,10,AFZ001380,Abram,Bergson,2
1951,1931,1950,10,AFZ001950,Howard,Bowen,2
1951,1931,1950,10,AFZ004002,Donald,Dewey,2
1951,1931,1950,10,AFZ004480,C,Efroymson,2
1951,1931,1950,10,AFZ005044,Frank,Fetter,2
1951,1931,1950,10,AFZ008124,Harry,Johnson,2
1951,1931,1950,10,AFZ009786,Wassily,Leontief,2
1951,1931,1950,10,AFZ010792,Julius,Margolis,2
1951,1931,1950,10,AFZ011409,Lloyd,Metzler,2
1951,1931,1950,10,AFZ011489,Raymond,Mikesell,2
1951,1931,1950,10,AFZ012074,Mary,Murphy,2
