publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,178,178,1.0,198,198,1.0
1951,133,185,0.718919,131,195,0.671795
1952,183,289,0.633218,176,300,0.586667
1953,134,240,0.558333,129,224,0.575893
1954,165,289,0.570934,154,277,0.555957
1955,142,268,0.529851,125,234,0.534188
1956,142,255,0.556863,134,232,0.577586
1957,132,287,0.45993,113,244,0.463115
1958,120,265,0.45283,108,233,0.463519
1959,170,339,0.501475,146,277,0.527076
1960,132,291,0.453608,121,281,0.430605
1961,155,323,0.479876,141,303,0.465347
1962,163,360,0.452778,139,294,0.472789
1963,120,282,0.425532,113,255,0.443137
1964,151,304,0.496711,127,270,0.47037
1965,135,308,0.438312,128,273,0.468864
1966,181,334,0.541916,150,282,0.531915
1967,137,309,0.443366,123,246,0.5
1968,147,305,0.481967,128,229,0.558952
1969,150,321,0.46729,133,270,0.492593
1970,185,363,0.509642,166,300,0.553333
1971,179,364,0.491758,157,297,0.52862
1972,223,458,0.4869,198,368,0.538043
1973,158,351,0.450142,143,307,0.465798
1974,152,331,0.459215,139,294,0.472789
1975,163,311,0.524116,154,268,0.574627
1976,165,379,0.435356,155,337,0.459941
1977,177,394,0.449239,152,318,0.477987
1978,161,360,0.447222,142,306,0.464052
1979,143,347,0.412104,131,298,0.439597
1980,209,465,0.449462,193,381,0.506562
1981,136,342,0.397661,125,284,0.440141
1982,133,344,0.386628,116,273,0.424908
1983,145,376,0.385638,121,277,0.436823
1984,138,317,0.435331,124,244,0.508197
1985,163,365,0.446575,136,277,0.490975
1986,125,329,0.379939,115,258,0.445736
1987,122,325,0.375385,115,248,0.46371
1988,121,299,0.404682,111,221,0.502262
1989,99,302,0.327815,84,215,0.390698
1990,133,326,0.407975,114,232,0.491379
1991,148,370,0.4,129,261,0.494253
1992,127,319,0.398119,103,213,0.483568
1993,111,298,0.372483,99,204,0.485294
1994,115,313,0.367412,98,188,0.521277
1995,92,258,0.356589,86,172,0.5
1996,119,286,0.416084,96,172,0.55814
1997,128,297,0.430976,95,179,0.530726
1998,113,267,0.423221,96,162,0.592593
1999,248,532,0.466165,193,329,0.586626
2000,222,564,0.393617,179,350,0.511429
2001,242,599,0.404007,183,362,0.505525
2002,255,659,0.38695,194,397,0.488665
2003,261,620,0.420968,197,373,0.52815
2004,258,636,0.40566,201,371,0.541779
2005,236,606,0.389439,181,340,0.532353
2006,231,602,0.383721,173,337,0.513353
2007,212,612,0.346405,166,354,0.468927
2008,258,687,0.375546,204,376,0.542553
2009,260,708,0.367232,190,381,0.498688
2010,294,731,0.402189,211,369,0.571816
2011,349,841,0.414982,257,442,0.581448
2012,369,891,0.414141,254,438,0.579909
2013,294,783,0.375479,211,392,0.538265
2014,313,872,0.358945,230,410,0.560976
2015,323,865,0.37341,248,427,0.580796
2016,368,955,0.38534,245,440,0.556818
2017,423,1058,0.399811,294,502,0.585657
2018,294,829,0.354644,225,377,0.596817
2019,282,801,0.35206,202,355,0.569014
2020,343,923,0.371614,235,401,0.586035
2021,357,976,0.365779,254,416,0.610577
2022,370,967,0.382627,255,412,0.618932
2023,406,1019,0.39843,275,406,0.67734
2024,395,1031,0.383123,265,407,0.651106
2025,392,1091,0.359303,261,435,0.6
2026,200,565,0.353982,128,216,0.592593
