author_id,final_first_name,final_last_name,first_top5_publication_year,number_of_papers_in_first_year,has_any_coauthor,has_experienced_coauthor,has_other_new_coauthor,first_publication_coauthor_type
AFZ006592,Alison,Hagy,1998,1,1,1,0,with_experienced_coauthor
AFZ015017,Robert,Sauer,1998,1,0,0,0,solo
AFZ006050,Joseph,Golec,1998,1,1,0,1,only_with_other_new_coauthors
AFZ016782,Maurry,Tamarkin,1998,1,1,0,1,only_with_other_new_coauthors
AFZ006506,Marc,Gurgand,1998,1,0,0,0,solo
AFZ002484,Stephen,Cameron,1998,1,1,1,0,with_experienced_coauthor
AFZ011820,John,Morgan,1998,1,1,1,0,with_experienced_coauthor
AFZ003522,Guido,Cozzi,1998,1,0,0,0,solo
AFZ003707,James,Dana,1998,1,0,0,0,solo
AFZ013244,Maria,Perozek,1998,1,0,0,0,solo
AFZ003335,James,Conklin,1998,1,0,0,0,solo
AFZ010224,Lars,Ljungqvist,1998,1,1,1,0,with_experienced_coauthor
AFZ010589,Giovanni,Maggi,1998,2,1,0,1,only_with_other_new_coauthors
AFZ014378,Andres,Rodriguez-Clare,1998,1,1,0,1,only_with_other_new_coauthors
AFZ002963,Yan,Chen,1998,1,1,0,1,only_with_other_new_coauthors
AFZ016814,Fangfang,Tang,1998,1,1,0,1,only_with_other_new_coauthors
AFZ005558,William,Gale,1998,1,0,0,0,solo
AFZ003059,Henry,Chiu,1998,1,1,1,0,with_experienced_coauthor
AFZ005991,Jacob,Goeree,1998,1,1,1,0,with_experienced_coauthor
AFZ017080,Manfred,Tietzel,1998,1,1,1,0,with_experienced_coauthor
AFZ002594,Charles,Carlstrom,1998,1,1,0,1,only_with_other_new_coauthors
AFZ005456,Timothy,Fuerst,1998,1,1,0,1,only_with_other_new_coauthors
AFZ015949,Anthony,Smith,1998,1,1,1,0,with_experienced_coauthor
AFZ008642,Shahidur,Khandker,1998,1,1,1,0,with_experienced_coauthor
AFZ012938,Oded,Palmon,1998,1,1,1,0,with_experienced_coauthor
AFZ013566,Rafael,Porta,1998,1,1,1,0,with_experienced_coauthor
AFZ000306,Sam,Allgood,1998,1,1,1,0,with_experienced_coauthor
AFZ002040,Anton,Braun,1998,1,1,1,0,with_experienced_coauthor
AFZ000126,Rajesh,Aggarwal,1999,1,1,0,1,only_with_other_new_coauthors
AFZ014880,Andrew,Samwick,1999,1,1,0,1,only_with_other_new_coauthors
AFZ016035,Jorge,Soares,1999,1,1,1,0,with_experienced_coauthor
AFZ002830,Amitabh,Chandra,1999,1,1,0,1,only_with_other_new_coauthors
AFZ004042,Stacy,Dickert-Conlin,1999,1,1,0,1,only_with_other_new_coauthors
AFZ001044,Ann,Bartel,1999,1,1,1,0,with_experienced_coauthor
AFZ019119,James,Ziliak,1999,2,1,1,1,with_experienced_coauthor
AFZ012577,Gerald,Oettinger,1999,2,0,0,0,solo
AFZ007566,Mingxin,Huang,1999,1,1,1,0,with_experienced_coauthor
AFZ017649,Jacob,Vigdor,1997,1,1,1,0,with_experienced_coauthor
AFZ004624,Charles,Engel,1999,1,0,0,0,solo
